"Id",Channel,XY,Z,Time,"Tags","Shape","Name",colony two color intensity / Channel 2 / MedianIntensity,colony two color intensity / Channel 2 / MeanColonyIntensity,colony two color intensity / Channel 2 / 75thPercentileIntensity,colony two color intensity / Channel 2 / 40thPercentileIntensity,colony two color intensity / Channel 2 / 25thPercentileIntensity,colony two color intensity / Channel 1 / MedianIntensity,colony two color intensity / Channel 1 / MeanColonyIntensity,colony two color intensity / Channel 1 / 75thPercentileIntensity,colony two color intensity / Channel 1 / 40thPercentileIntensity,colony two color intensity / Channel 1 / 25thPercentileIntensity
"68cc54d0dcdf8b517f5645e5",1,11,1,3,"colony","polygon","",41,42.12429882540584,43,40,39,573,584.1061595231337,589,568,560
"68cc54ebdcdf8b517f5645e8",1,11,1,3,"colony","polygon","",40,42.47544120773974,43,39,38,545,557.5042313416968,561,538,530
"68cc54efdcdf8b517f5645eb",1,11,1,3,"colony","polygon","",39,44.5687944031672,43,38,37,547,565.6126416833885,566,541,532
"68cc54fcdcdf8b517f5645ee",1,11,1,3,"colony","polygon","",54,56.628465874106,57,53,51,736,749.668119168285,763,723,703
"68cc54fedcdf8b517f5645f1",1,11,1,3,"colony","polygon","",42,43.162293406031694,44,41,40,615,622.3730192537059,627,610,602
"68cc5509dcdf8b517f5645f4",1,11,1,3,"colony","polygon","",40,43.339617492304,44,39,38,524,552.8648778464293,552,520,514
"68cc5513dcdf8b517f5645f7",1,11,1,3,"colony","polygon","",40,44.66669267379262,43,39,38,504,520.6143403292502,521,501,496
"68cc551fdcdf8b517f5645fa",1,11,1,3,"colony","polygon","",60,89.07467106370092,73,58,56,709,812.4859171517986,751,701,687
"68cc5523dcdf8b517f5645fd",1,11,1,3,"colony","polygon","",40,43.75096993210475,45,39,38,566,577.3404808092005,583,561,551
"68cc5525dcdf8b517f564600",1,11,1,3,"colony","polygon","",36,36.972564438619486,38,35,34,513,521.8515508955876,525,509,502
"68cc5533dcdf8b517f564603",1,11,1,3,"colony","polygon","",38,40.29186955044729,41,37,36,567,581.7931151624957,582,563,555
"68cc5539dcdf8b517f564606",1,11,1,3,"colony","polygon","",37,39.30660201417382,39,36,35,514,528.3543453935099,529,510,506
"68cc5545dcdf8b517f564609",1,11,1,3,"colony","polygon","",38,40.65671903971894,43,37,36,530,539.1668195569436,542,527,522
"68cc5548dcdf8b517f56460c",1,11,1,3,"colony","polygon","",43,46.862146925832405,47,42,41,571,577.9962417053262,582,566,560
"68cc5558dcdf8b517f56460f",1,11,1,3,"colony","polygon","",69,70.9127258532233,72,68,67,827,837.1476410885567,852,819,807
"68cc5562dcdf8b517f564612",1,11,1,3,"colony","polygon","",38,44.12831702681777,42,38,37,514,542.6687196452453,541,512,508
"68cc5572dcdf8b517f564615",1,11,1,3,"colony","polygon","",43,47.70633744855967,48,42,40,532,557.9190946502058,562,525,517
"68cc5581dcdf8b517f564618",1,11,1,3,"colony","polygon","",38,39.8697662471102,41,38,36,506,517.2555869509375,522,503,500
"68cc559bdcdf8b517f56461b",1,11,1,3,"colony","polygon","",35,36.633354764392294,37,34,33,462,471.2960432907391,474,459,454
"68cc55a9dcdf8b517f56461e",1,11,1,3,"colony","polygon","",37,39.021525799303575,39,36,35,570,574.944982589427,579,567,562
