"Id",Channel,XY,Z,Time,"Tags","Shape","Name",Parent and child / parentId,Parent and child / childId,Parent and child / annotationId,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity,red intensity measurements / TotalIntensity,red intensity measurements / MinIntensity,red intensity measurements / MedianIntensity,red intensity measurements / MeanIntensity,red intensity measurements / MaxIntensity,red intensity measurements / 75thPercentileIntensity,red intensity measurements / 25thPercentileIntensity,green intensity measurements / TotalIntensity,green intensity measurements / MinIntensity,green intensity measurements / MedianIntensity,green intensity measurements / MeanIntensity,green intensity measurements / MaxIntensity,green intensity measurements / 75thPercentileIntensity,green intensity measurements / 25thPercentileIntensity
"665765e940dcff8796124bc8",0,1,1,19,"green blob","polygon","",1,-,0,7725,4,6,7.054794520547945,26,7,5,47321,39,42,43.21552511415525,61,43,41,4343,4,13,13.74367088607595,27,19,8,15698,40,49,49.677215189873415,62,55,44
"665765f340dcff8796124bd0",0,1,1,18,"green blob","polygon","",95,0,1,7276,4,6,6.578661844484629,24,7,5,48235,39,42,43.6121157323689,150,43,41,6451,5,23,22.795053003533567,38,30,16,16244,41,57,57.399293286219084,82,64.5,50.5
"665765fc40dcff8796124c64",0,1,1,17,"green blob","polygon","",132,1,95,6930,3,6,7.743016759776537,36,7,5,40712,40,43,45.48826815642458,149,44,42,3785,5,16,16.897321428571427,33,25,10,12264,41,53,54.75,101,62,48
"6657660440dcff8796124cb1",0,1,1,16,"green blob","polygon","",149,95,132,7000,4,6,6.6350710900473935,24,7,5,47136,40,43,44.67867298578199,145,44,42,3904,5,15,14.40590405904059,22,19,11,14503,42,53,53.51660516605166,63,58,49
"6657660d40dcff8796124cc0",0,1,1,15,"green blob","polygon","",207,132,149,6792,4,5,5.775510204081633,17,6,5,51443,40,43,43.74404761904762,127,43,42,4609,5,13,12.838440111420613,21,17,9,19024,41,52,52.991643454039,94,59,47
"6657661540dcff8796124cc3",0,1,1,14,"green blob","polygon","",223,149,207,6511,4,5,6.671106557377049,28,6,5,43853,41,44,44.931352459016395,78,45,43,3933,5,20,20.27319587628866,39,31,8,13955,44,66,71.93298969072166,159,83.75,53
"6657661c40dcff8796124ccd",0,1,1,13,"green blob","polygon","",273,207,223,5775,4,5,5.563583815028902,19,6,5,45112,41,43,43.460500963391134,55,44,42,4630,5,20,20.57777777777778,41,29,11,15545,43,68,69.08888888888889,117,84,54
"6657662440dcff8796124d33",0,1,1,12,"green blob","polygon","",308,223,273,7202,4,6,6.176672384219554,18,7,5,52490,41,44,45.01715265866209,91,45,43,4059,5,13,13.135922330097088,22,17,9,17128,43,55,55.43042071197411,69,61,50
"6657663040dcff87961252e0",0,1,1,11,"green blob","polygon","",313,273,308,7992,4,5,7.272065514103731,35,7,5,52978,42,44,48.2056414922657,88,47,43,3269,4,10,11.311418685121108,22,15,7,15656,42,53,54.173010380622834,72,60,48
"6657663940dcff8796125791",0,1,1,10,"green blob","polygon","",350,308,313,10015,3,6,8.75437062937063,33,10,5,58307,41,46,50.96765734265734,109,53,44,3386,4,13,12.923664122137405,23,17,8,15358,43,58,58.61832061068702,75,66,52
