"Id",Channel,XY,Z,Time,"Tags","Shape","Name",A594 / TotalIntensity,A594 / MinIntensity,A594 / MedianIntensity,A594 / MeanIntensity,A594 / MaxIntensity,A594 / 75thPercentileIntensity,A594 / 25thPercentileIntensity,YFP / TotalIntensity,YFP / MinIntensity,YFP / MedianIntensity,YFP / MeanIntensity,YFP / MaxIntensity,YFP / 75thPercentileIntensity,YFP / 25thPercentileIntensity,YFP blob Blob Blob metrics / Perimeter,YFP blob Blob Blob metrics / Centroid / y,YFP blob Blob Blob metrics / Centroid / x,YFP blob Blob Blob metrics / Area
"65de6b983f73fc2469eac2ab",0,1,1,1,"YFP blob","polygon","",7101497112,1182,2426,3156.842485876108,40310,3709,1694,16120877016,3338,5924,7166.2451833849955,65535,8620,4343,5504.273135136862,3664.698183764751,6234.902637953419,2250064.1686347746
"65de6b983f73fc2469eac2ac",0,1,1,1,"YFP blob","polygon","",3692757743,1100,1981,2454.63495993757,40179,2659,1559,8544723978,3314,4922,5679.814290329314,65535,6196,4033,4460.629082157056,4484.999846107157,4654.144612179394,1504304.2642577197
"65de6b983f73fc2469eac2ae",0,1,1,1,"YFP blob","polygon","",5186457696,1021,1867,2886.697758915775,55438,3153,1493,10555567357,3063,4374,5875.0566223718815,59571,6358,3757,4860.00329807649,9678.31406678223,5761.4998372446435,1796642.1467735253
"65de6b983f73fc2469eac2af",0,1,1,1,"YFP blob","polygon","",4882275606,1069,2957,3937.268233635695,65535,4633,1866,10951256452,3191,6997,8831.544473619695,65535,10533,4614,4008.4479924016023,6846.793160794441,4032.9304342667974,1240003.7659425566
"65de6b983f73fc2469eac2b0",0,1,1,1,"YFP blob","polygon","",3195435059,1039,3646,4604.386552987185,39425,6374,2034,4438497511,2876,5484,6395.547985729066,65189,7621,4201,3052.303365494045,6604.123141538475,5187.734831932723,694024.7750695416
"65de6b983f73fc2469eac2b1",0,1,1,1,"YFP blob","polygon","",1624005762,1120,1672,2085.526525517431,36461,2158,1530,3883333945,3112,4268,4986.925625045749,60980,5300,3825,3197.364081089765,5832.631510880876,4577.039001984346,778732.375910206
"65de6b983f73fc2469eac2b2",0,1,1,1,"YFP blob","polygon","",652381660,1003,1389,1546.793135497577,10595,1510,1310,1716077558,2833,3670,4068.809945846492,27177,3937,3540,2461.2829375567608,8370.650249077204,4393.695844810353,421805.34873158525
"65de6b983f73fc2469eac2b3",0,1,1,1,"YFP blob","polygon","",1456387793,1031,1666,2202.616715163761,20235,2446,1407,3076814322,2980,4019,4653.322890830117,35277,4932,3709,3126.177555911243,4762.150254592348,8051.332863101141,661280.8369277648
"65de6b983f73fc2469eac2b4",0,1,1,1,"YFP blob","polygon","",1071747443,1090,1454,1763.0092760746693,22707,1619,1351,3063533636,3367,4144,5039.46918941682,65535,4638,3949,3006.408461840708,3757.6404708368445,2879.9246489608336,607956.1877527373
"65de6b983f73fc2469eac2b5",0,1,1,1,"YFP blob","polygon","",1209204149,1051,1365,1490.6730306467123,14143,1445,1298,3480853240,3171,4002,4291.09844917281,26144,4233,3828,3502.5550133479474,2512.657429558986,4187.392418456445,811245.6645914004
"65de6b983f73fc2469eac2b6",0,1,1,1,"YFP blob","polygon","",3040884230,1126,2095,3072.4971532093714,65535,3580,1602,6194729406,3315,4998,6259.1295903551645,65535,7137,4171,3651.9253224307313,2103.3885676203136,7224.174424739762,989753.3247315647
"65de6b983f73fc2469eac2b7",0,1,1,1,"YFP blob","polygon","",2711276281,1157,2023,2485.070274218946,33874,2769,1670,6704076258,3524,5379,6144.7447246903375,56620,6808,4629,4430.225328165324,1397.5142571243941,6388.903903353698,1091081.6323086505
"65de6b983f73fc2469eac2b8",0,1,1,1,"YFP blob","polygon","",1457596389,1041,1474,2029.1374460034551,22117,1795,1382,3439237340,3221,3956,4787.80362311073,47388,4672,3812,3243.4155089457404,2197.534494552854,8525.68811006273,718365.0683836835
"65de6b983f73fc2469eac2b9",0,1,1,1,"YFP blob","polygon","",787967203,1183,1548,1746.4315306070432,23291,1700,1450,2095317005,3496,4370,4644.010144352564,27804,4834,4102,2653.4437159820454,1104.76704339008,8726.290058844545,451178.5532928188
"65de6b983f73fc2469eac2ba",0,1,1,1,"YFP blob","polygon","",3051565085,1089,2075,2950.6156710464866,31852,3539,1556,6611381263,3009,4883,6392.668882522265,65535,7103,4046,3679.206282431832,2742.1796270668515,10692.658963332598,1034159.0954899207
"65de6b983f73fc2469eac2bb",0,1,1,1,"YFP blob","polygon","",1070232914,987,1343,1538.8052756593856,33448,1453,1257,2899135608,3081,3719,4168.443252010076,53254,3902,3594,3036.7730425541017,3322.743798651194,8916.316232029232,695719.8944511359
"65de6b983f73fc2469eac2bc",0,1,1,1,"YFP blob","polygon","",1128065277,1005,1459,1595.3202080584465,8036,1659,1344,3007169703,2913,3938,4252.766833684765,21523,4455,3718,3209.706008503589,3247.068680544602,10003.634945157344,707086.7102727467
"65de6b983f73fc2469eac2bd",0,1,1,1,"YFP blob","polygon","",2804725630,1178,1834,2611.075235182677,65535,2736,1613,6440574591,3591,4925,5995.889449944841,65535,6275,4499,4027.206677674821,1330.222204517667,10157.07353250706,1074186.2095699136
"65de6b983f73fc2469eac2be",0,1,1,1,"YFP blob","polygon","",7224497072,1151,2339,3426.871900540274,65535,3894,1750,16344952572,3487,5977,7753.073760903903,65535,8823,4730,5291.263757830558,3523.3344555316107,12745.21152559712,2108301.076204497
"65de6b983f73fc2469eac2bf",0,1,1,1,"YFP blob","polygon","",967165854,1108,1491,2098.3651049870473,48819,2003,1394,2324313833,2998,3779,5042.83626229622,65535,5004,3600,2615.163835679393,5787.194163994431,10757.033569024119,460953.1303222974
"65de6b983f73fc2469eac2c0",0,1,1,1,"YFP blob","polygon","",680272411,1162,1597,2612.513579630554,34407,2625,1459,1355466598,3251,4039,5205.524782057682,32737,5271,3738,1864.0725788771822,5148.396861286619,9926.3843344544,260331.0425136289
"65de6b983f73fc2469eac2c1",0,1,1,1,"YFP blob","polygon","",783460719,988,1478,1779.2338555103377,16263,1744,1387,2032270753,3057,3879,4615.272775789397,61702,4495,3699,2465.6898897857386,4774.079321550855,10790.947775964338,440475.1703012625
"65de6b983f73fc2469eac2c2",0,1,1,1,"YFP blob","polygon","",2499909101,1135,1694,2452.661038749529,25788,2755,1512,5952400985,3251,4390,5839.901129638642,47470,6525,3982,3701.6736514800536,4600.832499778465,11861.681799882408,1019165.5135306752
"65de6b983f73fc2469eac2c3",0,1,1,1,"YFP blob","polygon","",4061686287,1197,2387,3498.2750905642633,65535,3774,1785,9049569462,3450,5905,7794.270948638048,65535,8706,4679,4187.938332101243,5437.318013505409,13684.772380731605,1160963.2237411237
"65de6b983f73fc2469eac2c4",0,1,1,1,"YFP blob","polygon","",1714214666,1189,1835,2377.8516650506513,25991,2484,1612,4271823666,3589,4877,5925.607345726021,57170,6136,4340,3288.2428846177963,4683.459567043255,13218.53195061617,720886.1131378938
