"Id",Channel,XY,Z,Time,"Tags","Shape","Name",red intensity measurements / TotalIntensity,red intensity measurements / MinIntensity,red intensity measurements / MedianIntensity,red intensity measurements / MeanIntensity,red intensity measurements / MaxIntensity,red intensity measurements / 75thPercentileIntensity,red intensity measurements / 25thPercentileIntensity,green intensity measurements / TotalIntensity,green intensity measurements / MinIntensity,green intensity measurements / MedianIntensity,green intensity measurements / MeanIntensity,green intensity measurements / MaxIntensity,green intensity measurements / 75thPercentileIntensity,green intensity measurements / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,green blob Parent and child / parentId,green blob Parent and child / childId,green blob Parent and child / annotationId
"668c8da68c33857f1c36abca",0,1,1,29,"green blob","polygon","",10245665,13,67,76.87381357903345,628,98,44,27842264,117,198,208.9021076088506,912,237,168,928638,12,46,57.00662983425414,370,71,30,3249299,117,180,199.465868631062,636,224,152,67,104.91757624940827,98,57,44,198,244.54890106174344,237,185,168,43,-,42
"668c8daa8c33857f1c36abcd",0,1,1,29,"green blob","polygon","",3179999,10,45,53.34852704334988,758,63,31,12430301,97,191,208.53410616024695,936,244,152,450759,11,28,41.52164701547531,466,45,18,1794277,96,141,165.27975313190862,799,188,118,45,73.03566666666667,63,39,31,191,257.7040303030303,244,175,152,45,-,44
"668c8daf8c33857f1c36abd0",0,1,1,29,"green blob","polygon","",2254267,14,38,44.88515222109392,494,56,27,9720855,134,184,193.5538498297593,875,212,165,354567,13,31,36.42562153277173,152,47,20,1779308,133,180,182.79309636326278,397,204,150,38,60.25695099818512,56,33,27,184,218.83016333938295,212,176,165,41,-,40
"668c8dbc8c33857f1c36abd6",0,1,1,29,"green blob","polygon","",24191344,9,54,62.79861170600772,705,80,35,71054427,89,167,184.45107353960455,1328,213,136,1039234,9,35,41.86576964911574,301,52,20,3713167,87,135,149.5857470893929,630,164,110,54,86.25113473538248,80,46,35,167,225.8583360295817,213,154,136,47,-,46
"668c8dc08c33857f1c36abd9",0,1,1,29,"green blob","polygon","",12675967,9,51,60.26962119807342,938,79,32,36633227,84,161,174.1776950470947,1334,205,128,764740,8,35,40.827505205274676,338,55,18,2776521,84,133,148.2313277454487,593,175,105,51,84.65511923633606,79,43,32,161,213.98114101592114,205,148,128,39,-,38
"668c8fe18c33857f1c36abdf",0,1,1,29,"green blob","polygon","",13471821,18,132,144.62036649383273,964,181,96,25990536,120,274,279.0091140381952,734,328,225,1219411,17,77,82.77294325278305,555,106,51,3163077,115,210,214.7079147434157,447,252.25,167,132,188.41702323618014,181,118,96,274,328.36588828980945,328,254,225,55,-,54
"668c8ff28c33857f1c36abeb",0,1,1,29,"green blob","polygon","",5381041,20,126,135.54600871558478,496,167,91,12113052,157,298,305.122345651024,752,337,262,974706,22,103,116.18858028370485,557,144,72,2416054,129,277,288.00262248182145,774,327,226,126,171.91846134163504,167,112,91,298,341.56258262612477,337,285,262,61,-,60
"668c8ff58c33857f1c36abee",0,1,1,29,"green blob","polygon","",2390172,16,32,42.82925081083018,525,50,22,15179448,163,238,271.9989965416525,1491,304,198,415464,16,27,39.66243436754176,612,44,21,2489653,166,215,237.67570405727923,1426,263,188,32,58.662095323741006,50,28,22,238,330.33565647482015,304,220,198,63,-,62
"668c904c8c33857f1c36ac0c",0,1,1,29,"green blob","polygon","",8872460,14,47,55.62635970934352,403,70,31,36049624,131,218,226.01503438849915,846,256,185,754876,14,37,42.995728199578515,287,53,24,3486522,130,192,198.5830153215242,454,223,164,47,73.62334288117727,70,40,31,218,258.21829778624897,256,205,185,68,-,67
"668c904f8c33857f1c36ac0f",0,1,1,29,"green blob","polygon","",5694644,14,46,54.59764913424479,520,68,31,22783049,144,208,218.4334816206784,916,241,185,717400,14,42,52.20112057047224,498,62.5,27,3010921,140,207,219.0876082369206,1009,246,180,46,72.26491686225249,68,40,31,208,245.2964199530594,241,198,185,66,-,69
