"Id",Channel,XY,Z,Time,"Tags","Shape","Name",line Blob Parent and child / parentId,line Blob Parent and child / childId,line Blob Parent and child / annotationId,red / TotalIntensity,red / MinIntensity,red / MedianIntensity,red / MeanIntensity,red / MaxIntensity,red / 75thPercentileIntensity,red / 25thPercentileIntensity,green / TotalIntensity,green / MinIntensity,green / MedianIntensity,green / MeanIntensity,green / MaxIntensity,green / 75thPercentileIntensity,green / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity
"660cb2b76cebf97155c8e881",0,1,1,18,"green blob, start, line","polygon","",-,-,-,1359509,38,59,63.303641273980254,170,72,51,11731650,423,539,546.267926988266,836,589,496,59,73.43284542383786,72,55,51,539,587.9199774811002,589,524,496,417668,36,50,51.097137264497185,128,54,45,4061457,416,497,496.87509175434303,705,527,461
"660cb2bb6cebf97155c8e884",0,1,1,18,"green blob, start, line","polygon","",-,-,-,8914287,25,42,45.01642233477929,535,50,36,85403999,309,413,431.28322972583993,2086,466,379,42,52.379107679894375,50,40,36,413,479.30462847502383,466,399,379,720756,24,35,36.56989192754579,106,38,32,7382381,306,366,374.5690293774418,718,401,339
"660cb2bf6cebf97155c8e887",0,1,1,18,"green blob, start, line","polygon","",-,-,-,1754706,25,35,39.0142742796158,189,43,31,17851619,312,373,396.91433208822485,2102,423,342,35,45.66889645666099,43,33,31,373,441.8809292143031,423,359,342,308569,25,30,32.33797945923286,140,33,29,3326344,307,341,348.6002934395305,961,355,325
"660cb2d16cebf97155c8e88a",0,1,1,19,"green blob, start, line","polygon","",-,-,-,1599451,39,63,68.50777401807512,268,77,53,12636926,409,528,541.2655159121086,1408,579,495,63,79.74318550169441,77,59,53,528,579.8206129364962,579,513,495,520221,37,49,50.384600484261505,112,53,44,4870144,394,466,471.6846489104116,692,504,431
"660cb2d76cebf97155c8e88d",0,1,1,19,"green blob, start, line","polygon","",-,-,-,12898847,26,45,47.64416232967536,583,53,38,115527413,290,409,426.72083935094724,2309,465,367,45,56.306068941221106,53,42,38,409,483.72204682799924,465,392,367,1018034,26,35,38.00761620309875,186,40,33,9553727,290,349,356.6819861862983,694,388,317
"660cb2dc6cebf97155c8e890",0,1,1,19,"green blob, start, line","polygon","",-,-,-,2465114,25,36,39.61040588745702,130,45,31,23590550,292,360,379.0620882475817,2342,413,326,36,46.76920331876171,45,34,31,360,425.15636244684333,413,345,326,385390,25,31,32.560831361946605,87,34,29,3938311,292,327,332.74003041568096,566,346,305
"660cb2e86cebf97155c8e893",0,1,1,20,"green blob, start, line","polygon","",-,-,-,2241528,39,63,73.07821210836893,795,81,53,16410383,395,514,535.0106934437454,1449,566,484,63,88.50757228086277,81,58,53,514,579.9459614502065,566,500,484,441429,37,51,52.246301337436385,131,55,46,3968035,382,473,469.645520179903,765,504,433
"660cb2ed6cebf97155c8e896",0,1,1,20,"green blob, start, line","polygon","",-,-,-,16218835,26,49,53.23777527580921,355,59,41,135896823,277,427,446.07670794914804,4497,490,372,49,64.10791868137103,59,46,41,427,513.6710930614772,490,405,372,1087160,26,36,39.10225515232169,188,41,33,9776970,277,343,351.6516203287415,749,384,309
"660cb2f96cebf97155c8e899",0,1,1,20,"green blob, start, line","polygon","",-,-,-,3051025,25,39,42.36769749906267,225,48,33,27352743,280,359,379.8306278033133,1272,416,321,39,50.91196702373451,48,36,33,359,431.8976055450536,416,343,321,464986,25,31,32.854235851056316,144,34,30,4548641,279,314,321.3905885677948,1110,331,297
"660cb30c6cebf97155c8e89c",0,1,1,21,"green blob, start, line","polygon","",-,-,-,2245562,43,69,84.33402185751305,1131,92,55,14693815,405,519,551.8389228978104,1955,581,478,69,106.91000869158253,92,63,55,519,611.5188874774353,581,501,478,606264,40,52,55.34130534002738,136,58,49,5118985,384,470,467.2738475581926,746,490,436
