"Id",Channel,XY,Z,Time,"Tags","Shape","Name",red intensity measurements / TotalIntensity,red intensity measurements / MinIntensity,red intensity measurements / MedianIntensity,red intensity measurements / MeanIntensity,red intensity measurements / MaxIntensity,red intensity measurements / 75thPercentileIntensity,red intensity measurements / 25thPercentileIntensity,green intensity measurements / TotalIntensity,green intensity measurements / MinIntensity,green intensity measurements / MedianIntensity,green intensity measurements / MeanIntensity,green intensity measurements / MaxIntensity,green intensity measurements / 75thPercentileIntensity,green intensity measurements / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,red 90 / 90.0thPercentileIntensity,colony Blob Parent and child / parentId,colony Blob Parent and child / childId,colony Blob Parent and child / annotationId,colony Blob Blob metrics / Perimeter,colony Blob Blob metrics / Centroid / y,colony Blob Blob metrics / Centroid / x,colony Blob Blob metrics / Area,red annulus / TotalIntensity,red annulus / MinIntensity,red annulus / MedianIntensity,red annulus / MeanIntensity,red annulus / MaxIntensity,red annulus / 75thPercentileIntensity,red annulus / 25thPercentileIntensity,green annulus / TotalIntensity,green annulus / MinIntensity,green annulus / MedianIntensity,green annulus / MeanIntensity,green annulus / MaxIntensity,green annulus / 75thPercentileIntensity,green annulus / 25thPercentileIntensity,green 90 / 90.0thPercentileIntensity
"663e304840dcff8796f21303",0,1,1,28,"green blob, colony","polygon","",61658355,25,63,75.27876840356161,1178,90,45,289686786,221,330,353.6789859681809,3998,388,288,63,100.09497214031053,90,55,45,330,409.1575597141677,388,313,288,127,13,-,12,4217.65765765766,3514.0017365431763,1630.0664200111698,819087.8013148285,1746882,24,36,44.16895069532238,413,47,31,11638028,220,270,294.26113780025287,1686,298,252,461
"663e304840dcff8796f21304",0,1,1,28,"green blob, colony","polygon","",88730381,27,94,110.1909500497987,1079,139,65,358100043,234,408,444.71108436966773,2554,515,338,94,150.29695837350408,139,81,65,408,540.1301992853248,515,378,338,192,17,-,16,4296.936936936938,5501.728568002864,2313.979666966945,805197.5002029059,1997904,27,44,50.27564860716173,944,57,35,12101450,233,291,304.52326429955457,1966,322,265,636
"663e304840dcff8796f21305",0,1,1,28,"green blob, colony","polygon","",70168464,25,61,76.9306698826883,1244,90,44,407105396,229,384,446.33855498300625,5764,503,311,61,105.0265634732525,90,53,44,384,564.0409686213285,503,352,311,137,23,-,22,4534.774774774775,3895.133247911641,5510.680741380855,912108.8223358502,2184792,25,37,51.78950362679562,1057,53,32,14019876,228,274,332.3348030152183,5313,332,253,694
"663e304840dcff8796f21306",0,1,1,28,"green blob, colony","polygon","",42962704,25,52,75.23826402485368,1848,86,35,209338621,229,313,366.60342508694936,5778,399,261,52,107.72721390245856,86,44,35,313,451.3741683350685,399,289,261,141,-,-,-,4550.630630630629,3761.9143970569817,3987.968574100915,570885.0904959006,1945860,24,32,45.526777567207134,834,47,30,12784074,226,253,299.1056362743034,4419,308,245,528
"663e304840dcff8796f21307",0,1,1,28,"green blob, colony","polygon","",14677859,25,85,115.57824323792275,1449,151,38,66244219,230,429,521.6285601795346,5237,633,272,85,178.58568637897355,151,65,38,429,723.9640087610253,633,362,272,236,9,-,8,2029.5495495495488,2885.9677886694226,3188.5922141835044,127023.97532667796,872608,25,31,46.402977931401225,444,45,29,5592105,231,248,297.3733049720819,1845,298,241,896
"663e304840dcff8796f21308",0,1,1,28,"green blob, colony","polygon","",96279863,26,71,85.0641542607236,1161,102,51,514100914,236,410,454.2129381101736,4859,520,337,71,114.32224570549816,102,62,51,410,557.3530199367084,520,379,337,145,21,-,20,5026.306306306305,5099.192450278399,4496.396596463222,1132090.9666423178,2202178,25,41,46.77424013933434,294,52,34,14787124,235,294,314.07837556551476,1224,336,265,661
"663e304840dcff8796f21309",0,1,1,28,"green blob, colony","polygon","",137031122,30,95,125.1145834950171,2037,154,63,726749552,267,565,663.5497555341499,9769,782,441,95,178.7033395223013,154,80,63,565,862.3768123734552,782,512,441,240,1,-,0,5406.846846846859,882.5943506189077,2579.157508532686,1095448.226604986,3101367,30,51,61.312436984757724,507,67,40,22198791,262,398,438.8587272403772,2477,520,320,1079
"663e304840dcff8796f2130a",0,1,1,28,"green blob, colony","polygon","",30645904,27,62,77.64786484171907,1240,88,46,186891415,265,428,473.5288386988887,6347,523,361,62,103.03885517780952,88,55,46,428,569.4552132895443,523,401,361,129,49,-,48,3012.612612612604,1422.7673768763984,6203.110793292496,394333.7066796527,1463978,28,45,51.81672742717588,434,57,39,10860451,266,372,384.39992213216294,1483,430,317,665
"663e304840dcff8796f2130b",0,1,1,28,"green blob, colony","polygon","",27192291,19,70,91.30260957740425,2471,98,54,185972541,160,572,624.4335316594253,9077,693,453,70,122.48301522312262,98,64,54,572,766.6600493263192,693,524,453,148,45,-,44,2869.9099099099103,2999.7100688700566,7555.961195471547,297792.9713497283,1486200,0,46,55.29017857142857,494,59,41,11997761,0,395,446.345275297619,3250,473,353,893
"663e304840dcff8796f2130c",0,1,1,28,"green blob, colony","polygon","",18176861,44,109,127.228357644819,906,156,78,109585910,396,734,767.0430747263208,4414,883,578,109,168.1719779612973,156,96,78,734,926.7202949946621,883,682,578,214,15,-,14,1950.2702702702718,5147.438278577744,454.1032013095353,142862.68971674377,1467247,43,73,79.99820075241263,406,97,54,11253527,394,572,613.5721607327845,1771,733,450,1085
