"geneID"	"FC_X"	"FC_Y.x"	"LogFC"	"FC_Y.y"
"SERPINE1"	6.53	4.9	0.08	9.9
"NNMT"	5.96	3.61	1.76	5.34
"COL1A1"	5.85	3.95	1.95	8.71
"AQP1"	5.05	2.36	1.76	3.85
"TSC22D3"	4.89	3.89	0.96	-0.6
"LTBP1"	4.53	3.1	2.18	3.65
"SRGN"	4.4	2.96	-0.06	7.31
"NPTX2"	4.34	3.77	0.29	0.36
"NRP1"	4.24	2.37	0.43	6.69
"FKBP5"	4.11	3.8	1.36	-0.53
"NGFR"	3.92	1.99	-0.31	5.48
"C10orf10"	3.91	3.33	0.8	5.23
"FN1"	3.88	2.47	0.68	4.66
"NRCAM"	3.86	2.62	0.26	2.48
"COL6A3"	3.85	3.83	2.72	2.95
"SUSD5"	3.85	2.17	0	3.06
"ZBTB16"	3.81	3.11	0.82	0.5
"MDN1"	3.79	1.89	0.73	1.05
"PMEPA1"	3.72	2.88	-0.14	4.44
"DPYSL2"	3.71	2.33	0.65	5.43
"BGN"	3.7	1.79	1.96	4.7
"WISP1"	3.63	2.67	1.53	5.98
"WNT5A"	3.57	2.34	0.97	4.91
"SNED1"	3.54	2.3	2.34	1.61
"IGF2"	3.48	2.66	2.61	-0.16
"PECAM1"	3.48	1.36	0.98	3.42
"IGFBP7"	3.47	2.1	1.07	6.49
"FSCN1"	3.45	2.28	0.85	4.38
"CSF1"	3.42	2.7	0.41	6.11
"AOX1"	3.41	2.32	0.33	4.09
"FAM167A"	3.38	3.38	1.15	5.31
"CEMIP"	3.37	1.88	0.6	7.12
"MYOF"	3.36	1.84	0.58	6.1
"SIRPB1"	3.3	0.67	-0.41	1.78
"HGF"	3.28	2.33	1.28	2.8
"PIK3R1"	3.28	1.46	-0.58	2.75
"TFPI"	3.28	2.15	0.88	3.57
"GOLGA3"	3.26	-2.13	-1.22	6.11
"DKK1"	3.23	2.61	0.01	7.53
"OLFML3"	3.21	1.52	0.7	4.87
"ITGA11"	3.19	1.69	1.28	6.92
"AXL"	3.16	3.12	-0.23	8.28
"ID3"	3.16	3.1	-0.35	6.33
"F2R"	3.12	2.41	0.56	6.83
"IL1R1"	3.11	2.77	1.58	1.88
"OLFML2B"	3.11	2.28	1.48	6.33
"LINC00890"	3.1	2.65	-0.26	-0.23
"TTC39C"	3.1	2.54	0.99	4.11
"SCN3A"	3.04	1.7	0.97	2.61
"COL1A2"	3.03	2.33	1.68	4.29
"CCDC80"	3.02	2.36	1.76	6.05
"KIAA1217"	3.02	1.84	1.12	2.79
"GBF1"	3.01	2.38	-0.73	1.52
"PSMD5-AS1"	3.01	1.08	-1.05	2.73
"ANGPT1"	2.97	2.38	0.67	4.38
"PDGFRB"	2.93	0.04	0.38	5.03
"BIRC3"	2.91	2.1	-0.45	3.61
"CPA4"	2.91	1.27	-0.17	10.98
"EDIL3"	2.91	2.38	0.91	5.52
"TGM2"	2.91	1.57	2.04	4.35
"MATN3"	2.9	3.15	-0.61	3.48
"PRODH"	2.9	1.91	0.35	-0.18
"TNFRSF1B"	2.9	1.04	0.97	6.27
"COL5A1"	2.89	2.76	1.27	6.15
"ITGA10"	2.89	2.18	0.51	-2.2
"RP13-582O9.6"	2.87	1.72	-2.01	3.47
"TMIGD3"	2.86	2.65	0.41	-0.59
"CYP4F3"	2.83	2.06	0.19	0.98
"ITGA5"	2.82	2.2	0.47	4.53
"MGP"	2.81	2.11	0.76	-1.61
"PRUNE2"	2.8	1.7	0.69	1.74
"FOXF1"	2.78	2.57	0.74	6.12
"MT1X"	2.78	2.88	0.06	0.63
"RP11-286N22.8"	2.77	0.39	-0.23	3.5
"ADCY10"	2.76	2.82	-0.06	0.51
"TFPI2"	2.73	2	0.17	6.47
"SHROOM2"	2.7	2.37	0.78	3.31
"COL3A1"	2.68	2.4	4.77	1.27
"SNAP25"	2.68	2.25	0.37	7.06
"TMEM119"	2.68	1.73	1.9	2.99
"CEBPD"	2.67	2.31	-0.71	2.05
"ARHGAP22"	2.66	0.87	-0.25	4.35
"GORASP1"	2.65	0.6	-0.34	3.26
"SCN8A"	2.65	2.51	-0.03	1.52
"THBS1"	2.65	1.67	0.89	5.99
"GPR1"	2.64	2.44	1	4.29
"RANBP3L"	2.64	0.81	1.45	1.94
"ITPRIP"	2.62	1.9	-0.38	3.37
"ARAP2"	2.61	1.05	-1.08	1.37
"ARHGAP35"	2.61	2.03	0.1	0.52
"EFHD1"	2.61	2.04	0.39	1.29
"RAB31"	2.61	2.34	0.51	5.53
"AL022067.1"	2.6	2.59	-0.18	3.73
"ID1"	2.6	2.43	-0.05	3.45
"ITK"	2.59	1.8	-0.19	0.52
"CHST7"	2.57	2.32	0.78	0.97
"PPT2-EGFL8"	2.57	0.11	-0.19	0.92
"CLDN11"	2.54	2.16	0.71	5.72
"CTCF"	2.54	1.81	-0.52	2.45
"ARRDC4"	2.51	2.43	-1.32	6.33
"F2RL2"	2.51	1.96	0.58	6.53
"RP11-561B11.2"	2.51	1.27	0.46	2.08
"STEAP3"	2.51	0.74	0.99	3.38
"DMPK"	2.5	1.54	0.48	4.19
"ADAMTS2"	2.48	2.69	0.45	0.09
"ABCA6"	2.47	1.61	1.87	0.4
"MXRA8"	2.47	1.12	0.65	1
"SH3RF3"	2.47	2.05	2.71	2.67
"CLCC1"	2.45	1.2	-1.44	2.37
"TCF4"	2.45	0.21	-0.55	3.96
"ABI3BP"	2.44	2.15	1.4	4.65
"CCL2"	2.44	1.89	0.78	6.85
"FAT4"	2.44	1.79	0.52	3.24
"ADAM17"	2.42	1.52	2	1.76
"CMKLR1"	2.42	1.26	1.66	2.32
"PTX3"	2.42	3.26	0.67	3.44
"ANKHD1-EIF4EBP3"	2.41	-0.07	0.89	1.35
"COL8A1"	2.41	2.02	1.15	2.6
"GPR176"	2.41	1.76	0.25	6.09
