geneID	FC_X	FC_Y
DDX58	4.63	1.93
RP11-124L9.1	3.65	0.55
MDN1	3.58	1.63
PIK3C2A	3.36	2.1
KLHL15	3.25	1.26
EDIL3	3.13	2.18
SAP130	2.93	0.01
RP11-122K13.12	2.87	1.7
SERPINE1	2.74	3.21
FLVCR2	2.66	0.61
NAXD	2.66	1.7
C10orf107	2.64	1.05
CPA4	2.64	3.24
ABCG2	2.63	1.62
NRP1	2.6	1.67
CIITA	2.58	-0.09
ZBED6	2.54	0.24
ITGA1	2.49	2.08
KIAA1217	2.48	0.6
STC2	2.48	2.18
C10orf10	2.45	2.17
CEP120	2.45	1.07
REEP2	2.45	0.76
SLC38A4	2.44	2.2
DNAJC6	2.43	0.46
FMN2	2.43	1.71
PCDH15	2.41	1.14
OPRL1	2.39	0.82
CDKL1	2.35	0.77
AHRR	2.33	1.66
EVI5	2.33	0.7
MYOF	2.32	2.58
PZP	2.27	2.02
C1orf167	2.25	0.97
SH2D4A	2.25	0.85
AXL	2.21	2.42
LDLRAD4	2.21	0.43
CDH13	2.2	1.17
FAM167A	2.2	1.45
CCSER1	2.16	0.9
DMPK	2.16	0.93
MORN2	2.16	1.63
EREG	2.15	1.79
THBS1	2.15	1.4
TRIM9	2.15	0.89
DKK1	2.14	2.68
FN1	2.14	1.65
GREM2	2.14	2.51
MASP1	2.14	0.76
CANX	2.13	0.08
DDX3X	2.11	1.54
OLFML2A	2.11	1.07
ZNF275	2.11	2.73
FGF7	2.1	1.76
GCNT1	2.1	1.54
C22orf46	2.09	0.19
SLC43A2	2.09	0.33
ANGPT1	2.08	1.49
CNOT6L	2.08	0.07
ARPC4-TTLL3	2.07	1.46
CAPN5	2.07	0.55
SPIB	2.07	0.94
ACSL4	2.05	2.26
BLOC1S5-TXNDC5	2.05	0.11
OTOF	2.05	0.59
ACP2	2.04	1.49
NDUFAF4P1	2.04	1.27
ITIH4	2.03	1.11
MMAA	2.03	1.21
SMAD3	2.03	1.21
MEGF11	2.02	0.06
SEMA4D	2.02	0.34
SKI	2.02	-0.22
SYNCRIP	2.02	-0.15
RAB27B	2.01	1.96
COL1A1	2	3
RP5-1021I20.4	2	0.81
MAP3K5	1.99	0.14
SLC17A7	1.99	0.87
F3	1.98	1.57
NRCAM	1.97	0.66
SERHL	1.97	1.02
SLC22A4	1.97	0.74
ADAP1	1.96	0.23
CPZ	1.96	1.51
GALNT4	1.96	0.47
NGFR	1.96	1.6
CECR1	1.94	1.3
CFTR	1.94	0.38
STEAP3	1.94	0.86
SDC1	1.93	1.16
ZNF382	1.93	0.37
BCAR1	1.92	-0.35
CCBE1	1.92	1.58
IL9R	1.92	2.07
NEGR1	1.92	0.89
PLEKHS1	1.92	1.46
CRIM1	1.91	2.31
JUP	1.91	-0.53
LIN7A	1.91	1.52
SLIT1	1.91	0.72
BDNF	1.9	1.28
FTH1P20	1.9	1.13
KPNA4	1.9	0.19
SERPINB2	1.9	1.75
DDAH1	1.89	1.77
FPGT-TNNI3K	1.89	-0.02
ZNF767P	1.89	0.31
ADAM1A	1.88	1.81
B3GALT5	1.88	1.88
CTSO	1.88	0.88
RGMA	1.88	-0.12
EPHB3	1.87	0.23
IL17REL	1.87	0.93
EPGN	1.85	1.54
GOLGA3	1.85	2.39
IYD	1.85	0.18
RP1-130H16.18	1.85	0.14
DYSF	1.84	0.91
GALNT12	1.84	0.62
GTF2H2B	1.84	1.29
KAT6B	1.84	-0.51
TSSC2	1.84	0.43
COL1A2	1.83	1.25
FTH1P23	1.83	1.38
MAP1B	1.83	1.42
NEXN	1.82	1.13
SLC9A7	1.82	0.46
ARHGAP22	1.81	1.07
SRPK3	1.81	1.31
CTD-2574D22.4	1.8	1.16
DPF3	1.8	1.1
PHLDB2	1.8	1
FBXL17	1.79	1.33
FSCN1	1.79	2.16
SLC5A2	1.79	0.39
ZFAND4	1.79	-0.23
MAOA	1.78	0.29
RAPGEF5	1.78	1.09
RP4-635E18.9	1.78	1.78
AC073410.1	1.77	1.08
CDK15	1.77	1.91
F2RL2	1.77	1.71
SLC9A4	1.77	-0.38
FAM159A	1.76	-0.44
FAT4	1.76	1.98
MYLK3	1.76	0.27
RP1-122P22.2	1.76	-0.96
FAM103A2P	1.75	0.48
NTRK3	1.75	0.62
PRH1-PRR4	1.75	-0.16
ABCC1	1.74	0.55
PCDHGB5	1.74	1.24
RBFOX2	1.74	0.84
HMBS	1.73	0.67
STON2	1.73	0.71
CUL7	1.72	-0.22
FAM157B	1.72	1.74
GRAMD4P3	1.72	-0.97
PAQR6	1.72	0.15
RAB31	1.72	2.29
SPDYE8P	1.72	1.2
SYNGAP1	1.72	2.54
BMPER	1.7	1.22
PRND	1.7	1.23
RP11-229P13.2	1.7	0.6
SPDYE12P	1.7	0.23
TNFSF14	1.7	-0.17
ZNF605	1.7	0.03
BORCS8-MEF2B	1.69	1.78
CEP78	1.69	0.63
FAM129A	1.69	0.3
ITGA11	1.69	0.97
MANEA	1.69	0.49
RUNDC3A	1.69	0.18
MAML1	1.68	-0.28
PITX2	1.68	0.09
RANBP3L	1.68	1.25
RGPD2	1.68	-0.97
TRPV6	1.68	0.12
ADORA2A	1.67	0.36
CFP	1.67	1.04
SNAP25	1.67	2.68
COL5A1	1.66	1.64
DEPTOR	1.66	0.59
KIAA1644	1.66	1.31
TNXB	1.66	1.55
ZNF691	1.66	0.32
BIRC3	1.65	0.36
FBXO31	1.65	0.79
HLF	1.65	1.28
SLC12A8	1.65	1.63
SPP2	1.65	0.36
HHIP	1.64	1.62
ISY1-RAB43	1.64	1.1
ARHGAP30	1.63	1.17
ARMCX1	1.63	0.42
IFITM10	1.63	0.16
RP11-458D21.5	1.63	1.7
DCLK2	1.62	1.49
EGFR	1.62	1.38
FLNC	1.62	0.97
MED12L	1.62	-0.49
NUAK1	1.62	1.02
PCDHB18P	1.62	1.11
RUNX2	1.62	-0.25
SEMA3D	1.62	-0.35
TMPRSS3	1.62	0.07
CAPN12	1.61	-0.06
NCL	1.61	0.1
TOX	1.61	0.93
ID3	1.6	2.42
PAH	1.6	1.45
RP11-552F3.12	1.6	0.62
RP11-632K20.7	1.6	1.07
STAT5B	1.6	-1.43
TMEM59L	1.6	1.67
ARSJ	1.59	0.77
C14orf132	1.59	1.14
HRG	1.59	0.09
RP11-479O9.4	1.59	0.66
RP11-745O10.4	1.59	1.19
ZNF573	1.59	0.46
AGER	1.58	1.05
AMPH	1.58	0.25
ARSE	1.58	0.09
BCAT1	1.58	0.55
HEG1	1.58	1.52
IL1R1	1.58	0.22
IL6ST	1.58	1.91
ITCH	1.58	0.37
KIAA0408	1.58	1.76
MYO5C	1.58	-0.29
NME9	1.58	0.03
RP4-669L17.8	1.58	0.95
SRGN	1.58	2.23
TRPM6	1.58	0.8
WISP2	1.58	2.02
ANXA1	1.57	0.65
GPR176	1.57	1.46
INO80	1.57	2.98
LTBP2	1.57	0.85
MTMR9LP	1.57	-0.48
MYLK	1.57	1.99
RPL3P4	1.57	0.64
SIK3	1.57	0.34
SLC25A24P2	1.57	0.93
SPOCK1	1.57	2.67
ZBED1	1.57	2.42
CPED1	1.56	0.73
NTRK2	1.56	1.56
PRKCA	1.56	0.98
S1PR3	1.56	1.19
SLC4A4	1.56	0.33
SMAGP	1.56	0.85
KCP	1.55	-1.31
MROH7	1.55	-0.11
PDZRN3	1.55	0.93
PRKCH	1.55	0.2
RDH10	1.55	1.49
ARHGEF28	1.54	-0.97
CNKSR3	1.54	0.12
CTSZ	1.54	1.16
IL6	1.54	1.2
OGN	1.54	-0.38
RPL7P9	1.54	1.37
SIRT4	1.54	1.12
EGFEM1P	1.53	-0.04
PTPRF	1.53	0.18
RP11-762I7.5	1.53	1.51
SEPT14	1.53	0.87
ZNF542P	1.53	0.02
ARL4C	1.52	2.02
CEMP1	1.52	0.58
GPER1	1.52	0.16
KCNC3	1.52	0.68
MAMLD1	1.52	0.38
MRC2	1.52	1.24
NLRP3	1.52	1.05
SLC9A3	1.52	0.49
ABCG1	1.51	0.77
CLDN11	1.51	1.47
PAPSS2	1.51	0.58
RAP1GAP2	1.51	1.09
STAC3	1.51	1.01
ZNF620	1.51	0.85
ATXN1L	1.5	-0.64
DNASE1L3	1.5	1.03
EEF1GP5	1.5	0.43
ITGA2	1.5	0.82
OASL	1.5	0.82
TGFA	1.5	0.94
AC002075.4	1.49	1.46
DGCR5	1.49	1.32
HMGA2	1.49	0.31
NDUFA4L2	1.49	-0.21
RP11-1277A3.2	1.49	1.14
SYCP3	1.49	0.95
TSLP	1.49	0.79
USP13	1.49	0.4
CCL26	1.48	1.48
CHKB-CPT1B	1.48	-0.29
CLDND2	1.48	0.12
HTR3B	1.48	-0.01
NIPSNAP3B	1.48	0.04
RP1-199J3.7	1.48	0.29
SMIM5	1.48	0.31
ANKRD18B	1.47	0.49
BZW1P2	1.47	3.52
KCND3	1.47	1.26
LRRC7	1.47	0.82
MYO9A	1.47	0.45
NNMT	1.47	1.03
PDCD1LG2	1.47	1.1
RP11-392P7.1	1.47	1.1
SHISA9	1.47	0.62
SPDYE6	1.47	0.86
TSHR	1.47	0.64
ZNF286B	1.47	-0.06
CCDC80	1.46	1.38
DNM1P46	1.46	0.18
LOXL2	1.46	1.49
NR2F1	1.46	1.31
TNFRSF1B	1.46	1.54
ATP6V1G2-DDX39B	1.45	1.81
CCNI2	1.45	-0.32
DDHD1	1.45	0.07
MYRIP	1.45	1.58
SH3RF2	1.45	1
UTRN	1.45	0.84
APBA2	1.44	0.15
CPAMD8	1.44	-0.54
LPAR3	1.44	1.03
LRRC46	1.44	1.49
MID1	1.44	1.57
PRH2	1.44	0.61
RUNX1T1	1.44	0.9
ZFHX4	1.44	1.63
ADAMTS15	1.43	0.99
BCL3	1.43	-0.02
CPOX	1.43	1.34
MARCH10	1.43	0.82
SMG1P1	1.43	-0.08
SPDYE3	1.43	-0.32
TCEANC	1.43	0.91
AKR1E2	1.42	1.32
CBX5P1	1.42	0.13
EEF1A1P8	1.42	1.07
GPR141	1.42	0.6
ID1	1.42	0.24
NME5	1.42	0.71
PPP2R2B	1.42	-0.07
TTC7A	1.42	0.97
ALPK2	1.41	1.23
ARGFXP2	1.41	1.26
BGN	1.41	0.75
CCL5	1.41	1.81
HMGB1P41	1.41	1.03
MAP6D1	1.41	0.5
MLXIPL	1.41	0.51
MTCO3P11	1.41	0.64
PLCXD2	1.41	0.33
SLFN13	1.41	0.37
THRB	1.41	0.19
DNAH11	1.4	0.52
EXTL3	1.4	0.91
FOLR3	1.4	0.96
HEATR4	1.4	0.44
IGFBP7	1.4	2.47
KIF5C	1.4	0.71
RAD54L2	1.4	0.14
RP11-1212A22.4	1.4	-0.34
SNX9	1.4	-0.24
SPOCK2	1.4	0.15
AMOTL2	1.39	0.97
CCDC61	1.39	1.42
CTCF	1.39	0.15
MFSD8	1.39	-0.39
NEB	1.39	1.13
SAMD11	1.39	1.71
TLE1	1.39	0.42
ASXL1	1.38	-0.04
ATR	1.38	0.97
CSF2RA	1.38	0.11
DDX20	1.38	1.04
FERMT3	1.38	0.11
FRG1DP	1.38	-0.37
FST	1.38	1.19
PLPPR4	1.38	0.18
PTPDC1	1.38	-0.12
PTPN21	1.38	1.23
RP11-152F13.13	1.38	1.33
SPOCD1	1.38	1.24
CEBPG	1.37	0.02
FBXO27	1.37	0.61
FGD6	1.37	1.34
FGFRL1	1.37	0.9
IGFBP3	1.37	1.15
RP13-1056D16.2	1.37	0.54
SEMA6B	1.37	0.42
SRSF12	1.37	1.58
TBXA2R	1.37	-0.43
ZBTB18	1.37	2.18
CREB3L1	1.36	0.62
CXorf56	1.36	0.31
DISP1	1.36	-1.04
PCDH11Y	1.36	-0.37
RP4-569D19.5	1.36	0.84
AC016739.2	1.35	0.72
CRISPLD2	1.35	1.17
KIAA1109	1.35	0.69
LIME1	1.35	0.98
MAS1	1.35	0.36
PCDHAC2	1.35	0.58
PRSS12	1.35	0.08
RP11-231C14.4	1.35	0.91
SQRDL	1.35	0.88
TTC39C	1.35	0.54
AFAP1	1.34	1.24
FOXF1	1.34	1.17
PALLD	1.34	1.23
PLEKHG5	1.34	-0.04
RARRES1	1.34	0.42
RPL26P19	1.34	0.02
SDHAP3	1.34	0.68
DGKB	1.33	0.14
HSPA12A	1.33	1.1
MEIOB	1.33	-0.1
RP11-444D3.1	1.33	0.66
SMO	1.33	0.97
WNT10B	1.33	0.98
CXCL12	1.32	1.48
HIST1H2BN	1.32	0.23
OBFC1	1.32	-0.86
PALM2	1.32	-0.2
PARD3B	1.32	0.37
RPL17P17	1.32	0.32
SMIM3	1.32	0.47
TFPI2	1.32	1.62
VWF	1.32	0.49
ACTBL2	1.31	0.8
CCT8P1	1.31	0.28
COLQ	1.31	0.61
FAM221A	1.31	0.41
GIPC2	1.31	1.59
MED28P3	1.31	0.85
MIA2	1.31	1.27
PDGFC	1.31	1.08
SCN8A	1.31	-0.51
TNFAIP3	1.31	0.84
ZIK1	1.31	1.31
AARD	1.3	0.2
ADAMTS16	1.3	0.69
C5AR1	1.3	-0.34
CR2	1.3	0.14
DNASE1L2	1.3	0.41
EEF2K	1.3	0.93
F2R	1.3	1.73
F2RL1	1.3	0.33
OAS2	1.3	1.24
TAS2R18	1.3	1.05
TMEM178B	1.3	1.82
TRIM60P14	1.3	0.64
ALS2CR11	1.29	0.93
ATP2A3	1.29	0.43
EIF3FP3	1.29	0.9
FAM47E	1.29	-0.16
PCDHGA6	1.29	-0.37
RP11-15G8.1	1.29	0.44
SERTAD4	1.29	0.27
TACC2	1.29	0.85
TSC22D1	1.29	0.65
TUBB8P1	1.29	0.99
USP53	1.29	0.43
BCL2L15	1.28	1.28
CTNNA2	1.28	0.06
ECHDC2	1.28	0.3
EFEMP2	1.28	1.03
GLDN	1.28	0.17
MOCOS	1.28	0.19
NEK10	1.28	0.57
PCDHGA10	1.28	0.18
RAB4B-EGLN2	1.28	0.43
RP11-326C3.14	1.28	0.74
SPINT2	1.28	1.09
ABI3BP	1.27	0.18
AC069282.6	1.27	0.52
ASPA	1.27	0.99
C20orf144	1.27	0.91
INAFM2	1.27	0.03
PLEKHG1	1.27	0.8
PRIMA1	1.27	1.09
SEMA3B	1.27	1.42
TPTE2P2	1.27	0.63
CTD-2207O23.3	1.26	1.26
CYP2D6	1.26	0.84
ENC1	1.26	0.65
HLA-H	1.26	0.89
IRF1	1.26	0.76
KCTD19	1.26	-0.78
LRRC73	1.26	1.07
LYPD6	1.26	1.05
PRKG1	1.26	1.65
PVRIG2P	1.26	1.26
