geneID	FC_X	FC_Y
SDK2	2.81	0.8
TMEM189-UBE2V1	2.79	2.78
MOGS	2.77	0.92
TRPV6	2.77	0.22
LINC00933	2.75	1.39
RP11-63A1.4	2.75	0.77
HIST2H2AA3	2.64	1.05
HSPB8	2.55	1.05
ERCC8	2.54	1.16
RP11-298I3.5	2.5	1.26
LINC00890	2.46	1.98
PRG2	2.35	1.55
ZNF275	2.32	2.5
HSPA1A	2.25	0.64
PHYHD1	2.22	1.71
EEFSEC	2.21	2.54
TCEANC	2.19	0.68
BSN	2.18	1.83
NDUFA4L2	2.17	0.51
TRIM66	2.17	1.03
ITGB1P1	2.14	0.88
FAM169A	2.12	1.44
SNX9	2.11	0.2
SPAST	2.08	1.03
CANX	2.07	3
CCDC69	2.07	1.1
GIGYF1	2.05	1.12
RGPD1	2.05	1.07
CDS1	2.04	1.7
RP11-423H2.1	2.04	0.85
EIF4A1P2	2.03	1.01
ABCA1	2.02	0.56
ERO1B	2.02	0.41
SCART1	2.02	0.82
TXNDC5	2.02	-0.04
STS	1.99	1.05
MTMR9LP	1.98	0.13
STX16-NPEPL1	1.97	0.28
ITPR1	1.95	1.27
AC016712.2	1.94	1.86
ATP6AP1L	1.93	0.26
CASP1	1.93	1.86
COLEC12	1.93	1.41
RP11-613M10.8	1.93	0.82
CUL7	1.92	1.22
CTD-2545G14.7	1.91	0.71
COX6A1P2	1.9	1.28
GS1-259H13.2	1.9	0.95
PRODH	1.9	1.12
CDRT4	1.89	1.06
AD000671.6	1.87	1.87
CRELD1	1.87	-0.21
DISP2	1.87	0.34
HTN1	1.87	1.64
HSPA1B	1.86	0.68
ST6GALNAC2	1.86	0.72
AC090602.2	1.85	0.82
ARHGAP8	1.84	0.67
CCDC38	1.84	0.38
HIST2H3C	1.83	1.01
SCNN1D	1.83	0.18
ARL10	1.82	0.29
MAML1	1.82	0.75
RP11-543P15.1	1.81	0.13
AKR1C1	1.8	0.74
KLHL15	1.79	-0.1
PRPH	1.77	0.71
RP11-435F13.2	1.76	1.18
AGGF1P2	1.75	0.81
ERICH6	1.75	0.85
MYH3	1.75	0.55
RSL24D1	1.74	0.88
AK8	1.73	0.34
CDH18	1.73	1.04
FAM63A	1.72	1.2
SIDT1	1.72	1.37
RP11-793H13.10	1.71	1.06
UTS2	1.71	1.12
AP005901.1	1.7	1.27
KAT6B	1.7	-0.66
BCL9L	1.69	0.88
OSBPL10	1.69	1.36
RPS19P1	1.69	1.08
SERPINB10	1.69	1.48
AC007192.4	1.68	1.58
PLGLB2	1.67	0.54
RPL26P19	1.66	1.2
SLC4A11	1.66	0.66
TPM4	1.66	0.15
FAM132A	1.65	0.73
SDCBP2	1.65	1.49
SULT1A1	1.65	-0.06
EFTUD1P1	1.64	0.97
HLA-DQB1	1.64	-0.11
NUPR1	1.64	0.55
RAB36	1.64	0.77
SPDYE2B	1.63	0.65
UNC5CL	1.63	0.38
CCDC36	1.62	0.94
KLF4	1.62	0.27
PIGV	1.62	0.72
CLMP	1.61	-0.01
ZNF271P	1.61	0.97
