geneID	FC_X	FC_Y
SERPINE1	6.53	4.9
NNMT	5.96	3.61
COL1A1	5.85	3.95
AQP1	5.05	2.36
TSC22D3	4.89	3.89
LTBP1	4.53	3.1
SRGN	4.4	2.96
NPTX2	4.34	3.77
NRP1	4.24	2.37
FKBP5	4.11	3.8
NGFR	3.92	1.99
C10orf10	3.91	3.33
FN1	3.88	2.47
NRCAM	3.86	2.62
COL6A3	3.85	3.83
SUSD5	3.85	2.17
ZBTB16	3.81	3.11
MDN1	3.79	1.89
PMEPA1	3.72	2.88
DPYSL2	3.71	2.33
BGN	3.7	1.79
WISP1	3.63	2.67
WNT5A	3.57	2.34
SNED1	3.54	2.3
IGF2	3.48	2.66
PECAM1	3.48	1.36
IGFBP7	3.47	2.1
FSCN1	3.45	2.28
CSF1	3.42	2.7
AOX1	3.41	2.32
FAM167A	3.38	3.38
CEMIP	3.37	1.88
MYOF	3.36	1.84
SIRPB1	3.3	0.67
HGF	3.28	2.33
PIK3R1	3.28	1.46
TFPI	3.28	2.15
GOLGA3	3.26	-2.13
DKK1	3.23	2.61
OLFML3	3.21	1.52
ITGA11	3.19	1.69
AXL	3.16	3.12
ID3	3.16	3.1
F2R	3.12	2.41
IL1R1	3.11	2.77
OLFML2B	3.11	2.28
LINC00890	3.1	2.65
TTC39C	3.1	2.54
SCN3A	3.04	1.7
COL1A2	3.03	2.33
CCDC80	3.02	2.36
KIAA1217	3.02	1.84
GBF1	3.01	2.38
PSMD5-AS1	3.01	1.08
ANGPT1	2.97	2.38
PDGFRB	2.93	0.04
BIRC3	2.91	2.1
CPA4	2.91	1.27
EDIL3	2.91	2.38
TGM2	2.91	1.57
MATN3	2.9	3.15
PRODH	2.9	1.91
TNFRSF1B	2.9	1.04
COL5A1	2.89	2.76
ITGA10	2.89	2.18
RP13-582O9.6	2.87	1.72
TMIGD3	2.86	2.65
CYP4F3	2.83	2.06
ITGA5	2.82	2.2
MGP	2.81	2.11
PRUNE2	2.8	1.7
FOXF1	2.78	2.57
MT1X	2.78	2.88
RP11-286N22.8	2.77	0.39
ADCY10	2.76	2.82
TFPI2	2.73	2
SHROOM2	2.7	2.37
COL3A1	2.68	2.4
SNAP25	2.68	2.25
TMEM119	2.68	1.73
CEBPD	2.67	2.31
ARHGAP22	2.66	0.87
GORASP1	2.65	0.6
SCN8A	2.65	2.51
THBS1	2.65	1.67
GPR1	2.64	2.44
RANBP3L	2.64	0.81
ITPRIP	2.62	1.9
ARAP2	2.61	1.05
ARHGAP35	2.61	2.03
EFHD1	2.61	2.04
RAB31	2.61	2.34
AL022067.1	2.6	2.59
ID1	2.6	2.43
ITK	2.59	1.8
CHST7	2.57	2.32
PPT2-EGFL8	2.57	0.11
CLDN11	2.54	2.16
CTCF	2.54	1.81
ARRDC4	2.51	2.43
F2RL2	2.51	1.96
RP11-561B11.2	2.51	1.27
STEAP3	2.51	0.74
DMPK	2.5	1.54
ADAMTS2	2.48	2.69
ABCA6	2.47	1.61
MXRA8	2.47	1.12
SH3RF3	2.47	2.05
CLCC1	2.45	1.2
TCF4	2.45	0.21
ABI3BP	2.44	2.15
CCL2	2.44	1.89
FAT4	2.44	1.79
ADAM17	2.42	1.52
CMKLR1	2.42	1.26
PTX3	2.42	3.26
ANKHD1-EIF4EBP3	2.41	-0.07
COL8A1	2.41	2.02
GPR176	2.41	1.76
PARM1	2.41	2.41
MT2A	2.38	2.34
FAM160A1	2.37	0.78
PCSK2	2.36	1.83
