"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy5 children,cy7 children,a594 children,cy3 children
"6790f6657ddbe0f3a7363a2c",0,1,3,1,"DAPI_DMout blob","polygon","",3,0,0,0
"6790f6657ddbe0f3a7363a2d",0,1,3,1,"DAPI_DMout blob","polygon","",3,5,0,0
"6790f6657ddbe0f3a7363a2e",0,1,3,1,"DAPI_DMout blob","polygon","",2,2,0,0
"6790f6657ddbe0f3a7363a2f",0,1,3,1,"DAPI_DMout blob","polygon","",1,0,0,0
"6790f6657ddbe0f3a7363a30",0,1,3,1,"DAPI_DMout blob","polygon","",4,0,0,1
"6790f6657ddbe0f3a7363a31",0,1,3,1,"DAPI_DMout blob","polygon","",0,0,0,1
"6790f6657ddbe0f3a7363a32",0,1,3,1,"DAPI_DMout blob","polygon","",1,0,1,0
"6790f6657ddbe0f3a7363a33",0,1,3,1,"DAPI_DMout blob","polygon","",0,1,0,0
"6790f6657ddbe0f3a7363a34",0,1,3,1,"DAPI_DMout blob","polygon","",2,0,1,0
"6790f6657ddbe0f3a7363a35",0,1,3,1,"DAPI_DMout blob","polygon","",0,2,0,0
"6790f6657ddbe0f3a7363a36",0,1,3,1,"DAPI_DMout blob","polygon","",0,1,0,0
"6790f6657ddbe0f3a7363a37",0,1,3,1,"DAPI_DMout blob","polygon","",3,2,4,0
"6790f6657ddbe0f3a7363a38",0,1,3,1,"DAPI_DMout blob","polygon","",3,2,1,2
"6790f6657ddbe0f3a7363a39",0,1,3,1,"DAPI_DMout blob","polygon","",1,0,0,0
"6790f6657ddbe0f3a7363a3a",0,1,3,1,"DAPI_DMout blob","polygon","",1,1,1,0
"6790f6657ddbe0f3a7363a3b",0,1,3,1,"DAPI_DMout blob","polygon","",7,2,1,0
"6790f6657ddbe0f3a7363a3c",0,1,3,1,"DAPI_DMout blob","polygon","",1,2,1,0
"6790f6657ddbe0f3a7363a3d",0,1,3,1,"DAPI_DMout blob","polygon","",2,3,0,0
"6790f6657ddbe0f3a7363a3e",0,1,3,1,"DAPI_DMout blob","polygon","",1,2,0,0
"6790f6657ddbe0f3a7363a3f",0,1,3,1,"DAPI_DMout blob","polygon","",0,1,0,0
"6790f6657ddbe0f3a7363a40",0,1,3,1,"DAPI_DMout blob","polygon","",0,2,4,1
