"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"66299fa3233defd8bb09fc7b",0,27,1,1,"cell","polygon","",64,1,7,0,569.2236273925371,897.5635651214175,422.46855467282785,20131.079782599958
"66299fa7233defd8bb09fc96",0,27,1,1,"cell","polygon","",29,0,12,1,662.6750810100318,903.4591574275886,671.8550218161669,17261.638228548636
"66299fab233defd8bb0a00be",0,27,1,1,"cell","polygon","",77,1,26,0,609.9800736558152,835.3912587307855,752.2402619214964,18781.188829988143
"66299faf233defd8bb0a0171",0,27,1,1,"cell","polygon","",36,0,18,0,667.7753667451643,866.9911413860469,846.0172568921388,15352.407615751581
"66299fb4233defd8bb0a0c6c",0,27,1,1,"cell","polygon","",148,9,6,2,786.7825285099925,532.960002430617,817.5852982714994,18182.679725812366
"66299fbe233defd8bb0a15fd",0,29,1,1,"cell","polygon","",197,1,39,8,959.5627280479375,635.8151699257689,771.5001612740381,34611.23983703032
"6629a032233defd8bb0a5e58",0,36,1,1,"cell","polygon","",92,2,33,2,1241.3197922268703,780.3768087364634,159.17690697302643,43585.29519335907
"6629a036233defd8bb0a6267",0,36,1,1,"cell","polygon","",35,1,19,1,586.7183176238952,945.4034026748507,638.946661956545,22042.54864933932
"6629a048233defd8bb0a6798",0,47,1,1,"cell","polygon","",83,0,18,2,526.2726583304604,588.5214559737536,192.3345528408287,19268.68053862494
"6629a04f233defd8bb0a6875",0,50,1,1,"cell","polygon","",151,5,48,10,1004.2626868820176,171.00186564019103,220.0932553063145,49575.75804457829
"6629a060233defd8bb0a70e0",0,53,1,1,"cell","polygon","",122,10,100,1,1182.3249776842408,447.0064657285212,355.7757382546237,42013.14562427509
"6629a06a233defd8bb0a753d",0,53,1,1,"cell","polygon","",132,8,127,1,1210.988262457125,423.48524276334086,163.12512586464854,41553.855915311455
"6629a077233defd8bb0a7ac9",0,53,1,1,"cell","polygon","",68,2,31,3,724.2642106735857,538.2788560227748,155.3976357558726,25999.110143174352
"6629a07c233defd8bb0a7d4a",0,53,1,1,"cell","polygon","",106,10,24,7,861.8667919129164,559.741970292554,393.6402135199885,30787.630627368922
