Id,Channel,XY,Z,Time,Tags,Shape,Name,cy5,a594
68c1be10b0e03a9ab1f4d9c8,0,1,4,1,DAPI blob,polygon,,0,5
68c1be10b0e03a9ab1f4d9c9,0,1,4,1,DAPI blob,polygon,,1,1
68c1be10b0e03a9ab1f4d9ca,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9cb,0,1,4,1,DAPI blob,polygon,,0,2
68c1be10b0e03a9ab1f4d9cc,0,1,4,1,DAPI blob,polygon,,1,2
68c1be10b0e03a9ab1f4d9cd,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9ce,0,1,4,1,DAPI blob,polygon,,1,2
68c1be10b0e03a9ab1f4d9cf,0,1,4,1,DAPI blob,polygon,,0,3
68c1be10b0e03a9ab1f4d9d0,0,1,4,1,DAPI blob,polygon,,2,2
68c1be10b0e03a9ab1f4d9d1,0,1,4,1,DAPI blob,polygon,,0,2
68c1be10b0e03a9ab1f4d9d2,0,1,4,1,DAPI blob,polygon,,1,0
68c1be10b0e03a9ab1f4d9d3,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9d4,0,1,4,1,DAPI blob,polygon,,1,2
68c1be10b0e03a9ab1f4d9d5,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9d6,0,1,4,1,DAPI blob,polygon,,3,3
68c1be10b0e03a9ab1f4d9d7,0,1,4,1,DAPI blob,polygon,,1,2
68c1be10b0e03a9ab1f4d9d8,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9d9,0,1,4,1,DAPI blob,polygon,,1,0
68c1be10b0e03a9ab1f4d9da,0,1,4,1,DAPI blob,polygon,,1,0
68c1be10b0e03a9ab1f4d9db,0,1,4,1,DAPI blob,polygon,,0,3
68c1be10b0e03a9ab1f4d9dc,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9dd,0,1,4,1,DAPI blob,polygon,,0,2
68c1be10b0e03a9ab1f4d9de,0,1,4,1,DAPI blob,polygon,,1,1
68c1be10b0e03a9ab1f4d9df,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9e0,0,1,4,1,DAPI blob,polygon,,1,1
68c1be10b0e03a9ab1f4d9e1,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9e2,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9e3,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9e4,0,1,4,1,DAPI blob,polygon,,4,1
68c1be10b0e03a9ab1f4d9e5,0,1,4,1,DAPI blob,polygon,,1,1
68c1be10b0e03a9ab1f4d9e6,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9e7,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9e8,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9e9,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9ea,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9eb,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9ec,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9ed,0,1,4,1,DAPI blob,polygon,,0,3
68c1be10b0e03a9ab1f4d9ee,0,1,4,1,DAPI blob,polygon,,5,1
68c1be10b0e03a9ab1f4d9ef,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9f0,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9f1,0,1,4,1,DAPI blob,polygon,,2,0
68c1be10b0e03a9ab1f4d9f2,0,1,4,1,DAPI blob,polygon,,1,0
68c1be10b0e03a9ab1f4d9f3,0,1,4,1,DAPI blob,polygon,,2,1
68c1be10b0e03a9ab1f4d9f4,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9f5,0,1,4,1,DAPI blob,polygon,,1,16
68c1be10b0e03a9ab1f4d9f6,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4d9f7,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9f8,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9f9,0,1,4,1,DAPI blob,polygon,,1,0
68c1be10b0e03a9ab1f4d9fa,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9fb,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9fc,0,1,4,1,DAPI blob,polygon,,2,0
68c1be10b0e03a9ab1f4d9fd,0,1,4,1,DAPI blob,polygon,,1,10
68c1be10b0e03a9ab1f4d9fe,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4d9ff,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4da00,0,1,4,1,DAPI blob,polygon,,2,1
68c1be10b0e03a9ab1f4da01,0,1,4,1,DAPI blob,polygon,,1,5
68c1be10b0e03a9ab1f4da02,0,1,4,1,DAPI blob,polygon,,4,13
68c1be10b0e03a9ab1f4da03,0,1,4,1,DAPI blob,polygon,,2,5
68c1be10b0e03a9ab1f4da04,0,1,4,1,DAPI blob,polygon,,3,3
68c1be10b0e03a9ab1f4da05,0,1,4,1,DAPI blob,polygon,,3,2
68c1be10b0e03a9ab1f4da06,0,1,4,1,DAPI blob,polygon,,2,1
68c1be10b0e03a9ab1f4da07,0,1,4,1,DAPI blob,polygon,,3,7
68c1be10b0e03a9ab1f4da08,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4da09,0,1,4,1,DAPI blob,polygon,,0,5
68c1be10b0e03a9ab1f4da0a,0,1,4,1,DAPI blob,polygon,,3,4
68c1be10b0e03a9ab1f4da0b,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4da0c,0,1,4,1,DAPI blob,polygon,,3,9
68c1be10b0e03a9ab1f4da0d,0,1,4,1,DAPI blob,polygon,,0,1
68c1be10b0e03a9ab1f4da0e,0,1,4,1,DAPI blob,polygon,,1,1
68c1be10b0e03a9ab1f4da0f,0,1,4,1,DAPI blob,polygon,,2,1
68c1be10b0e03a9ab1f4da10,0,1,4,1,DAPI blob,polygon,,0,0
68c1be10b0e03a9ab1f4da11,0,1,4,1,DAPI blob,polygon,,1,4
68c1be10b0e03a9ab1f4da12,0,1,4,1,DAPI blob,polygon,,1,1
68c1be10b0e03a9ab1f4da13,0,1,4,1,DAPI blob,polygon,,4,0
68c1be10b0e03a9ab1f4da14,0,1,4,1,DAPI blob,polygon,,5,2
68c1be10b0e03a9ab1f4da15,0,1,4,1,DAPI blob,polygon,,4,4
68c1be10b0e03a9ab1f4da16,0,1,4,1,DAPI blob,polygon,,4,11
