"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy7,cy5,a594,cy3
"65e7fe8851aff2647611b552",0,2,1,1,"cell","polygon","",361.8279645534163,30.958228530362916,73.29392741645707,5566,32,1,49,7
"65e7fe8851aff2647611b553",0,2,1,1,"cell","polygon","",318.0359542166126,19.77010546566354,684.3156412106222,4851.5,50,1,14,3
"65e7fe8851aff2647611b554",0,2,1,1,"cell","polygon","",489.2950314449944,91.77809047321242,134.26881384198458,12792,22,2,6,3
"65e7fe8851aff2647611b555",0,2,1,1,"cell","polygon","",473.03647839789437,186.78202935085983,33.97626121665016,11107,36,3,15,13
"65e7fe8851aff2647611b556",0,2,1,1,"cell","polygon","",595.977623561435,201.8026385624384,514.3399423762227,13189,40,3,22,1
"65e7fe8851aff2647611b557",0,2,1,1,"cell","polygon","",988.2439795342079,217.03424901890833,353.86648658749976,29431.5,283,25,82,16
"65e7fe8851aff2647611b558",0,2,1,1,"cell","polygon","",581.3139354251177,314.590084367569,556.7095236544079,15349.5,81,10,19,8
"65e7fe8851aff2647611b559",0,2,1,1,"cell","polygon","",851.8985410691847,348.79428167020524,268.3702420382166,29437.5,293,14,67,10
"65e7fe8851aff2647611b55a",0,2,1,1,"cell","polygon","",614.4272049750898,360.57610105306844,97.35927962511455,19277,81,12,43,9
"65e7fe8851aff2647611b55b",0,2,1,1,"cell","polygon","",521.6478408012338,425.8481034968979,484.0958121827411,9456,54,3,12,2
"65e7fe8851aff2647611b55c",0,2,1,1,"cell","polygon","",706.5835087246403,590.5585034013606,287.77260828381986,19355,174,4,125,2
"65e7fe8851aff2647611b55d",0,2,1,1,"cell","polygon","",450.12123898806186,583.7116073456693,378.59701909804124,9538.5,123,2,51,8
"65e7fe8851aff2647611b55e",0,2,1,1,"cell","polygon","",453.64605105533496,638.7385765663449,716.2623130796896,8805,16,4,13,0
"65e7fe8851aff2647611b55f",0,2,1,1,"cell","polygon","",482.10554767489583,681.3075933075933,104.34718964625506,13856.5,25,24,16,2
"65e7fef551aff2647611b576",0,1,1,1,"cell","polygon","",730.875334388152,88.44534725583755,57.74113131871931,14461,49,11,52,10
