Id,Channel,XY,Z,Time,Tags,Shape,Name,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy3,cy7,cy5,a594
657395c4c0be8a8ce0f10aa9,0,1,0,0,cell,polygon,,834.4359618817638,525.8461645536589,172.3107016,27148.682427936503,4,85,9,7
657395cfc0be8a8ce0f10b57,0,4,0,0,cell,polygon,,1003.4607412475802,430.45315995955735,694.0306975,32073.659987650277,6,179,15,0
657395d4c0be8a8ce0f10bb3,0,4,0,0,cell,polygon,,906.2437703344528,755.8636539,694.5079437151849,33218.05365468165,2,140,8,1
657395e2c0be8a8ce0f10cd0,0,6,0,0,cell,polygon,,1328.0921529735183,362.6237012,275.75096867222777,105431.48242370415,2,613,38,12
657395e7c0be8a8ce0f10d32,0,6,0,0,cell,polygon,,1363.8312993965462,745.9908727,880.6168970871901,57973.25821397765,5,358,34,10
657395f1c0be8a8ce0f10e11,0,8,0,0,cell,polygon,,745.6342919024914,141.6895548883869,514.0244660463899,25966.53688851597,1,154,8,0
657395f8c0be8a8ce0f10ea3,0,9,0,0,cell,polygon,,1237.4343018210038,442.38709048332123,641.5883874489226,50904.53548686538,6,125,11,2
6573960fc0be8a8ce0f114ab,0,9,0,0,cell,polygon,,945.3179698173036,673.9602902338419,328.07603618123625,27860.64357205928,3,148,10,2
65739614c0be8a8ce0f11619,0,9,0,0,cell,polygon,,1177.1760239910882,840.7273965680527,740.9787657083167,52687.42100861841,2,232,24,5
6573961bc0be8a8ce0f1185a,0,10,0,0,cell,polygon,,801.6947653076503,559.6252961234314,360.65650019982024,34498.89921002051,3,187,8,15
6573961fc0be8a8ce0f1197f,0,10,0,0,cell,polygon,,697.1558014643293,881.0438236022113,751.9552446239691,19616.117497965522,3,117,7,1
65739626c0be8a8ce0f11b9e,0,10,0,0,cell,polygon,,833.5240535475112,753.3621658326186,331.7790891967574,24680.284748923383,4,107,5,7
65739634c0be8a8ce0f11fa9,0,11,0,0,cell,polygon,,910.9760005929974,925.0059543540018,770.4486011965588,22120.13837660386,0,234,9,3
65739639c0be8a8ce0f12110,0,12,0,0,cell,polygon,,827.6559306273189,568.0519842794888,597.0096217078309,33042.46839463318,2,105,14,4
6573963cc0be8a8ce0f121cb,0,12,0,0,cell,polygon,,745.9685059,733.7518961681342,831.4473094720965,39763.62499115103,4,67,8,2
65739661c0be8a8ce0f12640,0,15,0,0,cell,polygon,,930.6227175149855,226.62547025801658,497.27142497493537,29575.81806244468,4,162,27,4
65739668c0be8a8ce0f12643,0,16,0,0,cell,polygon,,762.3527541164593,135.4588557443947,710.5945148580812,24886.76477613581,0,193,17,0
6573966cc0be8a8ce0f12646,0,16,0,0,cell,polygon,,630.7086087651451,678.3796520915794,262.58358479444263,15820.695351873968,10,150,10,9
65739677c0be8a8ce0f12649,0,16,0,0,cell,polygon,,613.6410727222627,531.8632229,360.5156164339737,18136.00069441918,6,162,19,6
657396afc0be8a8ce0f1264c,0,20,1,0,cell,polygon,,611.8992210056037,383.4454222,359.1393460185164,19648.299547094637,4,111,9,39
657396b3c0be8a8ce0f1264f,0,20,1,0,cell,polygon,,578.6313268579489,434.70356491998194,629.6124413666753,19783.979066222993,13,62,6,44
657396b6c0be8a8ce0f12652,0,20,1,0,cell,polygon,,853.7493979094395,860.6567068154849,697.7601509761517,28227.776388524246,0,202,13,6
657396bdc0be8a8ce0f12655,0,22,1,0,cell,polygon,,1054.5193050226742,530.6590117457747,364.38830587896155,21415.737685265725,2,121,13,6
657396c2c0be8a8ce0f12658,0,22,1,0,cell,polygon,,1010.3333512426224,858.0915528612001,597.8959424,27215.200394725667,2,150,14,4
657396cbc0be8a8ce0f1265b,0,22,1,0,cell,polygon,,506.9894352138352,719.1341308353946,240.3634673551268,11861.273483420431,0,99,0,0
6575c9e7c0be8a8ce0fb9173,0,23,1,0,cell,polygon,,1354.6480622690315,318.43976095207165,715.3196712154694,42460.73633414827,5,199,29,4
6575c9f2c0be8a8ce0fb9176,0,24,1,0,cell,polygon,,572.8536633200877,591.3045345588682,375.5718245274913,13257.192129452353,2,42,10,1
6575c9f8c0be8a8ce0fb9179,0,24,1,0,cell,polygon,,453.8237966773162,435.2013406386838,892.5584898,11585.25183257724,1,34,8,1
6575ca03c0be8a8ce0fb917c,0,25,1,0,cell,polygon,,725.3383493345964,790.0216943098984,290.7885610099592,30437.001865781993,3,118,10,3
6575ca0ac0be8a8ce0fb917f,0,25,1,0,cell,polygon,,793.5831543583561,943.8493419379987,855.8542455814398,30679.668968328268,1,302,10,8
6575ca19c0be8a8ce0fb9182,0,27,1,0,cell,polygon,,801.1591632681011,417.89332937508715,547.5042191749405,25766.86146405608,3,120,15,10
6575ca1ec0be8a8ce0fb9185,0,27,1,0,cell,polygon,,753.7195859079354,810.5609456130967,325.85934552137144,32755.553885159734,2,255,10,10
6575ca26c0be8a8ce0fb9188,0,28,1,0,cell,polygon,,629.4376643469676,588.5197332,797.7202215088937,20773.86569693758,1,160,17,12
6575ca2bc0be8a8ce0fb918b,0,28,1,0,cell,polygon,,593.7366722516807,909.7524160591246,693.2009913793196,19562.031837068524,0,128,6,0
6575ca39c0be8a8ce0fb918e,0,31,1,0,cell,polygon,,1266.4847283965194,375.1276229949416,939.8575177383058,69335.21695,9,166,19,6
6575ca45c0be8a8ce0fb9191,0,34,1,0,cell,polygon,,642.8786042002181,388.4499958319509,922.523425,19597.771175191076,1,147,19,3
6575ca4ec0be8a8ce0fb9194,0,36,1,0,cell,polygon,,1095.593437541652,674.0196075717942,384.22057997543556,50373.54592670597,2,208,13,42
6575ca56c0be8a8ce0fb9197,0,37,1,0,cell,polygon,,873.1195016608561,563.5936332582606,261.24435667512796,21332.480561709945,5,118,8,2
6575ca5ec0be8a8ce0fb919a,0,38,1,0,cell,polygon,,955.7233782823264,814.9950848055847,629.6076417738512,49638.03635,4,521,27,10
6575ca6dc0be8a8ce0fb919d,0,39,1,0,cell,polygon,,1104.2549900617316,675.7670565577373,738.0898172345529,33940.35799350757,2,163,15,2
6575ca71c0be8a8ce0fb91a0,0,39,1,0,cell,polygon,,603.1721681305701,580.2422283877945,910.3257100211081,22222.36004790375,1,106,13,3
6575ca7dc0be8a8ce0fb91a3,0,41,1,0,cell,polygon,,697.8249041787368,801.3865153934661,578.6322790297324,28861.76801323843,1,195,14,3
6575ca88c0be8a8ce0fb91a6,0,42,1,0,cell,polygon,,811.8136316741436,737.1341131531974,329.80910617027683,27021.041934641773,2,142,13,0
6575ca8cc0be8a8ce0fb91a9,0,42,1,0,cell,polygon,,744.6981054388831,184.6047158632796,792.6208913708224,25933.84526234288,2,144,19,2
6575caadc0be8a8ce0fb91ac,0,42,1,0,cell,polygon,,70.54871829221172,79.30451162838271,182.58081700043647,22.398737245087457,0,0,0,0
65762c6975bbf88263eccb30,0,45,0,0,cell,polygon,,764.0275868909979,745.7776095818969,321.6753698961718,22994.209619121462,4,141,9,26
65762c6d75bbf88263eccb33,0,45,0,0,cell,polygon,,1140.054808080929,434.91643141262267,871.3546051420276,36380.844225303306,1,314,23,16
65762c8075bbf88263eccb36,0,47,0,0,cell,polygon,,796.3721184002762,144.57888971825238,649.1424913052819,20135.963561036235,4,165,16,1
65762c8775bbf88263eccb39,0,49,0,0,cell,polygon,,835.4035275512043,258.8599320050893,861.3267464173507,41554.33867,3,351,37,6
65762c9575bbf88263eccb3c,0,50,0,0,cell,polygon,,974.1107307435959,734.0225242864899,787.8930213,27800.099439598478,1,110,17,3
