"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"659c4cdb93b1bd8fbca38dd7",0,11,1,0,"cell","polygon","",4,2,6,0,878.0985747940503,583.8358143045206,107.7834139019893,44859.488437563436
"659c4cde93b1bd8fbca38dda",0,11,1,0,"cell","polygon","",0,3,4,0,766.6462712882743,774.7586752903654,111.78272872671191,35766.23724139609
"659c4ce793b1bd8fbca38ddd",0,13,1,0,"cell","polygon","",46,11,40,3,972.3246979255584,357.9663390691339,940.1746233636247,52560.35756606721
"659c4cef93b1bd8fbca38de0",0,13,1,0,"cell","polygon","",23,0,19,1,537.7163935004039,155.181454754283,911.5362436738008,12902.011497835576
"659c4cf393b1bd8fbca38de3",0,13,1,0,"cell","polygon","",15,0,12,0,712.1441392967753,88.90019626492858,287.2925197743776,25480.591838243545
"659c4d0093b1bd8fbca38de6",0,15,1,0,"cell","polygon","",11,4,16,0,864.7176410242405,143.63167061901643,544.512926500342,13787.984450488524
"659c4d0993b1bd8fbca38de9",0,15,1,0,"cell","polygon","",29,0,36,0,741.1623094140281,425.1818424553851,814.7580273383619,13674.261098365232
"659c4d0c93b1bd8fbca38dec",0,15,1,0,"cell","polygon","",24,0,18,0,462.0211319252286,511.2935264998466,922.2691647167171,15230.910230206931
"659c4d1893b1bd8fbca38def",0,15,1,0,"cell","polygon","",24,0,28,0,922.1169126709707,338.17739029365214,893.7911012820125,26336.675961171786
"659c4d1d93b1bd8fbca38df2",0,15,1,0,"cell","polygon","",6,1,9,1,629.2234651360646,350.3377453806372,220.59103755166797,19110.383129028756
"659c4d2e93b1bd8fbca38df5",0,15,1,0,"cell","polygon","",0,0,8,1,1031.3478283908141,888.8313598846352,459.4349716840911,31800.985831250495
"659c4d3e93b1bd8fbca38df8",0,28,1,0,"cell","polygon","",15,2,11,0,696.3980329738417,244.37641919641086,933.6836391190039,20663.387281635733
"659c4d4293b1bd8fbca38dfb",0,28,1,0,"cell","polygon","",43,5,21,0,671.4900609425026,314.8924182628077,804.2528042565302,26118.463204319796
"659c4d4b93b1bd8fbca38dfe",0,30,1,0,"cell","polygon","",8,2,10,0,774.1758050956003,690.0044843687293,310.5176634253509,23973.75742260972
"659c4d4f93b1bd8fbca38e01",0,30,1,0,"cell","polygon","",11,0,18,1,766.1735781570875,493.2515294618416,438.9425731599127,21826.135657511866
"659c4d5493b1bd8fbca38e04",0,30,1,0,"cell","polygon","",10,0,5,0,700.3653264799781,590.7985525232623,447.2003626642061,12617.460118911673
"659c4d6e93b1bd8fbca38e07",0,45,1,0,"cell","polygon","",0,0,3,0,693.5690959759361,627.4053652235019,57.10565000186561,21515.34042809795
"659c4d7793b1bd8fbca38e0a",0,48,1,0,"cell","polygon","",16,0,18,0,616.1506311754845,53.76909761025283,940.4686941355143,18733.006278927263
"659c6fad93b1bd8fbca7ae67",0,62,0,0,"cell","polygon","",0,0,6,0,979.0513397826224,558.0581623344317,128.05029753291925,27360.67212751287
"659c6fb293b1bd8fbca7ae6a",0,62,0,0,"cell","polygon","",0,0,8,0,856.4728808110196,632.839249428976,465.2205252469769,30037.787876107923
"659c6fb693b1bd8fbca7ae6d",0,62,0,0,"cell","polygon","",0,4,21,1,1052.7927456642356,511.7448077423188,283.0409392115322,53352.77605169566
"659c6fc493b1bd8fbca7ae73",0,72,0,0,"cell","polygon","",0,4,36,0,926.1981938528446,504.346241435877,528.5785492008706,30965.070593421013
