"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"659dad8c93b1bd8fbcc068c7",0,2,0,0,"cell","polygon","",0,4,9,0,567.0366181677798,374.0945059728184,76.07369813867477,15649.20008850292
"659dad9393b1bd8fbcc068d8",0,2,0,0,"cell","polygon","",0,2,8,10,860.2811744562584,45.28928441256195,662.3103363520592,23464.511378893763
"659dadaa93b1bd8fbcc0690d",0,4,0,0,"cell","polygon","",0,19,8,2,388.1234124686415,437.0814245796336,248.012493050115,8171.193667219365
"659dadaf93b1bd8fbcc06914",0,4,0,0,"cell","polygon","",0,11,5,1,304.82414397712597,479.69444791457937,209.9086434533592,5946.816899343996
"659dadb593b1bd8fbcc06925",0,4,0,0,"cell","polygon","",0,22,21,2,653.7324672706469,412.293001280617,113.40067073035361,25903.312874443167
"659dae1293b1bd8fbcc06980",0,20,0,0,"cell","polygon","",0,4,40,5,940.3552530401629,848.9280698276569,300.36728578657346,55434.16391320068
"659dae1e93b1bd8fbcc06983",0,21,0,0,"cell","polygon","",0,96,43,9,778.7343522958543,667.4573075941315,610.6436759197454,27837.83575678839
"659dae2393b1bd8fbcc06986",0,21,0,0,"cell","polygon","",0,48,18,6,571.6347039265557,585.2325027458637,926.2353571947792,13061.7785311836
"659dae3593b1bd8fbcc06989",0,30,0,0,"cell","polygon","",0,117,17,7,513.7271881426935,117.60734196672122,840.3920177468627,15667.777596224152
"659dae3a93b1bd8fbcc0698c",0,30,0,0,"cell","polygon","",0,86,11,15,491.16617077316124,89.87044853804122,579.9732463930749,12210.794382314416
"659dae3f93b1bd8fbcc0698f",0,31,0,0,"cell","polygon","",0,76,17,18,477.51141652781536,407.75938172947485,359.45807578819245,12820.494756201759
"659dae4593b1bd8fbcc06992",0,31,0,0,"cell","polygon","",0,87,22,16,643.5256700615676,317.4843279763669,612.4484676834921,16300.308160323151
