"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"65a7f6868804a571e38f3360",0,4,0,0,"cell","polygon","",193,6,30,15,976.2168916490313,240.5590057970591,780.4288935730154,14638.62843354647
"65a7f68e8804a571e38f336d",0,4,0,0,"cell","polygon","",249,10,42,27,1264.95291951259,210.86385825491905,784.5187486319186,23014.39851109368
"65a7f6ae8804a571e38f3390",0,8,0,0,"cell","polygon","",933,36,36,191,1409.4595544412794,410.91644610918235,668.5833591796483,59518.97735793056
"65a7f6e88804a571e38f33b1",0,8,0,0,"cell","polygon","",907,14,38,79,1469.8045798862204,485.08864004817616,795.4205825884179,55956.79620873184
"65a7f6fe8804a571e38f33c0",0,9,0,0,"cell","polygon","",330,13,24,18,1984.464247835454,342.5712732292799,644.7580475395062,55668.73292635558
"65a7f7078804a571e38f33c9",0,10,0,0,"cell","polygon","",192,12,34,3,700.6384135139723,611.3179470293898,506.30319408042817,14798.439765027952
"65a7f7108804a571e38f33cf",0,10,0,0,"cell","polygon","",140,5,6,1,593.8101204024986,564.0002600127083,333.16273486113806,14993.839334192282
"65a7f71c8804a571e38f33db",0,14,0,0,"cell","polygon","",161,7,28,4,608.8686371356569,77.8792692108133,184.95145134829312,22745.5842126213
"65a7f7238804a571e38f33e4",0,15,0,0,"cell","polygon","",235,3,14,17,890.0114592406968,854.4668197674185,587.917208877728,34823.87396155051
"65a7f72d8804a571e38f33ea",0,16,0,0,"cell","polygon","",372,6,66,20,1375.9955339080238,762.5136067213897,301.99336503123993,52351.64058384072
"65a7f7358804a571e38f33f3",0,17,0,0,"cell","polygon","",270,7,14,2,804.7824631610246,270.39299004580096,630.9449142285727,17981.90834718647
"65a7f7398804a571e38f33f9",0,17,0,0,"cell","polygon","",206,2,16,4,615.9012834413475,135.0542630282986,666.6105095001552,15324.877092261084
