"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"65b9b3813f73fc2469e3ad0f",0,0,0,0,"cell","polygon","",73,0,2,4,445.1965869006172,295.20810803981703,692.1861815385149,9746.610797756244
"65b9b3853f73fc2469e3b013",0,0,0,0,"cell","polygon","",38,0,5,0,629.6934442969763,626.2717634835238,318.4486911155961,12558.102594384849
"65b9b3893f73fc2469e3b1cd",0,0,0,0,"cell","polygon","",61,0,3,1,515.6222659675745,351.05866951207935,289.0579650413597,12776.186670303823
"65b9b38f3f73fc2469e3b886",0,0,0,0,"cell","polygon","",72,0,1,5,475.78560950171584,765.1892174710772,683.3528922455421,10011.670319788875
"65b9b3963f73fc2469e3bcac",0,0,0,0,"cell","polygon","",72,0,5,0,471.60190852587385,538.0861231797229,610.8530396736614,9646.532673427148
"65b9b39c3f73fc2469e3c3e7",0,1,0,0,"cell","polygon","",60,0,1,0,561.0848951517316,129.00438092381555,179.3165396222711,15561.127127824706
"65b9b39f3f73fc2469e3c771",0,1,0,0,"cell","polygon","",67,0,6,2,386.2134450409502,459.0219338276197,173.64108910005416,8383.642056893274
"65b9b3a43f73fc2469e3c77f",0,1,0,0,"cell","polygon","",27,1,1,0,436.25446564277905,544.0241276262354,861.5515159920822,8264.047563647391
"65b9b3a63f73fc2469e3ce92",0,1,0,0,"cell","polygon","",38,0,0,0,433.31953254349037,271.29356824499104,809.3074532796246,11288.85781122691
"65b9b3a93f73fc2469e3ce95",0,1,0,0,"cell","polygon","",38,0,2,0,457.27217764461756,518.2782811120936,949.837120967216,9952.213474949365
"65b9b3ac3f73fc2469e3d3bd",0,1,0,0,"cell","polygon","",6,0,3,0,363.3230154119816,582.8103734450432,348.7466135015929,7590.505901495983
"65b9b3b23f73fc2469e3d6f6",0,2,0,0,"cell","polygon","",9,1,2,0,399.247876247674,224.01266365427225,120.81865745248626,9742.525976355058
"65b9b3b53f73fc2469e3dac4",0,2,0,0,"cell","polygon","",37,0,3,0,467.06991614609535,483.8099983649929,696.8526111055273,10184.367491250201
"65b9b3b83f73fc2469e3db03",0,2,0,0,"cell","polygon","",38,0,6,0,461.7510829090612,598.4016016837227,851.4452927905949,10315.308710610505
"65b9b3bc3f73fc2469e3e24d",0,2,0,0,"cell","polygon","",51,0,1,0,553.6601174278057,494.27220332527025,164.77150346433066,10372.49621022713
"65b9b3c13f73fc2469e3e5cc",0,2,0,0,"cell","polygon","",36,1,7,0,450.19769792113124,100.33684410462988,948.7370566510077,13996.640531169807
"65b9b3cf3f73fc2469e3f35b",0,3,0,0,"cell","polygon","",56,0,3,0,329.0870416846455,425.4834881649276,403.9566520738285,6404.319153495522
