"Id",Channel,XY,Z,Time,"Tags","Shape","Name",A594 / TotalIntensity,A594 / MinIntensity,A594 / MedianIntensity,A594 / MeanIntensity,A594 / MaxIntensity,A594 / 75thPercentileIntensity,A594 / 25thPercentileIntensity,YFP / TotalIntensity,YFP / MinIntensity,YFP / MedianIntensity,YFP / MeanIntensity,YFP / MaxIntensity,YFP / 75thPercentileIntensity,YFP / 25thPercentileIntensity,YFP blob Blob Blob metrics / Perimeter,YFP blob Blob Blob metrics / Centroid / y,YFP blob Blob Blob metrics / Centroid / x,YFP blob Blob Blob metrics / Area,red 90 / 90.0thPercentileIntensity,green 90 / 90.0thPercentileIntensity
"65de6e893f73fc2469eac410",0,1,1,1,"YFP blob","polygon","",11949664382,1038,1992,2633.4135534032703,41913,3112,1530,31534819660,3048,5462,6949.502416307436,65535,8522,3983,7803.296961114094,8524.72976211964,6509.339564368008,4537345.307735605,4625,12177
"65de6e893f73fc2469eac411",0,1,1,1,"YFP blob","polygon","",8485402669,1087,2210,2674.4908761165902,46630,3217,1543,17176178936,2984,4783,5413.712895288171,65535,6150,3864,6516.039464193515,4891.898049752455,6482.010409620038,3172533.6579727954,4625,8031
"65de6e893f73fc2469eac412",0,1,1,1,"YFP blob","polygon","",1416766521,1103,2004,2548.2512212757383,23558,2916,1565,3214619750,3315,5052,5781.9397779760275,38173,6704,4013,2733.3243774267835,4050.2739846228556,8076.933149394345,555981.7649012955,4354,8896
"65de6e893f73fc2469eac415",0,1,1,1,"YFP blob","polygon","",7582765686,1158,2317,2993.268268362707,44684,3539,1760,15119510976,3320,5062,5968.370158289296,65535,6767,4196,5902.353572937764,4186.7232806252305,11507.103041556487,2533594.981803653,5211,9093
"65de6e893f73fc2469eac417",0,1,1,1,"YFP blob","polygon","",1833911283,1207,1892,2498.966139687246,45655,2664,1617,4654455747,3574,5273,6342.3609518333,65535,6944,4473,3360.765542795752,6146.5364109420225,13849.225639981538,733827.7459070234,4087,9699
"65de6e893f73fc2469eac41a",0,1,1,1,"YFP blob","polygon","",2866179713,1198,2517,3807.009868914778,65535,4684,1665,4148643515,3232,4691,5510.445396211027,40243,6341,3869,3368.578112699975,7670.567824084947,12193.367744082656,752862.3796568384,7918,8618
"65de6e893f73fc2469eac41b",0,1,1,1,"YFP blob","polygon","",450506733,1110,1479,2009.217433770404,22340,2137,1377,1165937050,3230,4055,5199.969003657123,31679,5677,3782,1887.8976422488438,7145.823067092366,11593.280871739562,224438.21884109543,2997,7564
"65de6e893f73fc2469eac41c",0,1,1,1,"YFP blob","polygon","",595643720,1130,1559,2319.9004494574574,30505,2018.75,1464,1161775087,3259,3897,4524.856816252132,27067,4464,3745,1871.0070464986948,6951.516657909566,12926.716614522535,256887.09551859216,3542,5944
"65de6e893f73fc2469eac41d",0,1,1,1,"YFP blob","polygon","",8471042597,1200,3105,4372.175840482191,65535,5271,2017,12405555003,3200,5398,6402.903450290556,65535,7183,4394,5257.228162625035,4978.805909988598,3305.54192847426,1937555.2563243897,8869,9849
"65de6e893f73fc2469eac41e",0,1,1,1,"YFP blob","polygon","",1491238524,1087,1668,2095.336653112152,65535,2162,1505,4325220440,3105,4851,6077.359707964378,65535,6802,4039,3129.9604232454594,4257.113464724729,4521.641263850107,711668.0230341052,3104,9817
"65de6e893f73fc2469eac41f",0,1,1,1,"YFP blob","polygon","",4927967006,0,2080,2528.428077848195,26649,2900,1611,11077783083,0,5072,5683.75919588471,56762,6371,4365,5517.819300489487,2568.6294252275356,4800.465752081722,1949203.3157832318,4112,8124
"65de6e893f73fc2469eac420",0,1,1,1,"YFP blob","polygon","",2104086021,1089,1532,1935.8758339152685,20814,1786,1425,4863069590,3146,3883,4474.293733226239,65535,4335,3710,3860.2875604304368,5696.707438980193,4700.563264198771,1086962.8168177586,2946,5781
"65de6e893f73fc2469eac421",0,1,1,1,"YFP blob","polygon","",3518592621,1106,1654,2392.233431916456,30056,2548,1472,7200598850,3059,4159,4895.569096570667,40675,5193,3891,4431.818381278528,6467.95071097966,2378.549604329457,1471064.6799483416,4296,6958
"65de6e893f73fc2469eac423",0,1,1,1,"YFP blob","polygon","",8590982198,1225,2866,3900.0300063691693,61768,4711,1888,14927087077,3251,5682,6776.418128481083,65535,7632,4542,5648.328630526909,7668.924011053508,1609.9664600321626,2202903.7327770283,7505,10425
"65de6e893f73fc2469eac424",0,1,1,1,"YFP blob","polygon","",22519743328,1184,4623,5654.790047958289,65535,7483,2707,34342504569,3335,7749,8623.528706798556,65535,10506,5591,7433.10186275856,9425.225784691256,10625.17892343961,3982227.1273095505,10738,13528
"65de6e893f73fc2469eac426",0,1,1,1,"YFP blob","polygon","",6157353462,1092,1832,2619.226435440434,65535,2807,1518,13485351348,3132,4498,5736.423767105136,65535,6390,3853,5698.177756334002,11079.417231663952,9326.493635612771,2350578.6437859023,4749,9335
"65de6e893f73fc2469eac428",0,1,1,1,"YFP blob","polygon","",7519109439,1079,2840,3349.6735859874398,65535,3958,2036,18535349907,3293,7266,8257.277340382736,65535,9830,5278,5903.992956671269,11257.197421112833,2109.208794772716,2244627.443557092,5563,13002
