"Id",Channel,XY,Z,Time,"Tags","Shape","Name",green blob Parent and child / parentId,green blob Parent and child / childId,green blob Parent and child / annotationId,red intensity measurements / TotalIntensity,red intensity measurements / MinIntensity,red intensity measurements / MedianIntensity,red intensity measurements / MeanIntensity,red intensity measurements / MaxIntensity,red intensity measurements / 75thPercentileIntensity,red intensity measurements / 25thPercentileIntensity,green intensity measurements / TotalIntensity,green intensity measurements / MinIntensity,green intensity measurements / MedianIntensity,green intensity measurements / MeanIntensity,green intensity measurements / MaxIntensity,green intensity measurements / 75thPercentileIntensity,green intensity measurements / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity
"668cc0c38c33857f1c36b36c",0,1,1,29,"green blob","polygon","",3,-,2,5083801,6,31,52.48715645584257,719,65,13,14200187,94,126,146.60830287637572,702,166,106,684500,6,11,18.92818626773221,378,20,9,4054493,94,104,112.11716395210574,316,115,100,31,82.90055463837207,65,22,13,126,178.22411842178485,166,116,106
"668cc0c88c33857f1c36b36f",0,1,1,29,"green blob","polygon","",9,-,8,13674422,7,25,29.166438088819024,387,36,17,113088386,95,210,241.20839687655302,1294,292,155,555936,6,15,20.597087918194955,254,24,10,4197019,95,138,155.49698047497313,710,182,107,25,39.38879388771238,36,21,17,210,310.8545991264925,292,187,155
"668cc0cd8c33857f1c36b372",0,1,1,29,"green blob","polygon","",1,-,0,1845865,8,17,22.50067043736896,339,28,12,13060780,109,144,159.20790872299966,911,178,126,224350,7,12,15.896690994118897,165,16,10,1945439,109,128,137.8473039042018,573,143,119,17,31.543456136779973,28,14,12,144,187.8402198249542,178,135,126
"668cc0de8c33857f1c36b375",0,1,1,29,"green blob","polygon","",15,-,14,6216874,7,26,32.11825668261332,346,38,19,33959922,102,161,175.44725720957626,1111,196,138,560857,7,22,29.87254327563249,328,37,11,2824184,103,138,150.42258322237018,732,164,119,26,42.982002128972816,38,23,19,161,205.2815074558775,196,152,138
"668cc0ea8c33857f1c36b387",0,1,1,29,"green blob","polygon","",11,-,10,6147661,8,62,67.83925359464142,393,87,41,16278689,93,171,179.63484181370765,635,209,138,606174,8,40,49.15854350823129,296,70,19,2053019,93,147,166.4924985808126,484,204,107,62,89.7360354871873,87,53,41,171,213.0213418116742,209,157,138
"668cc1218c33857f1c36b39c",0,1,1,29,"green blob","polygon","",5,-,4,5890706,7,26,42.63961896765134,734,54,14,20499207,99,137,148.38261757062924,680,163,123,745997,7,14,22.56494252873563,413,23,11,4417681,99,129,133.6261645493043,514,143,117,26,64.02459183154468,54,20,14,137,169.26057931946494,163,131,123
"668cc1888c33857f1c36b3b1",0,1,1,1,"green blob","polygon","",-,0,1,1577,10,16,16.091836734693878,21,18,14,15400,144,157.5,157.14285714285714,169,162,152,7568,8,10,9.944809461235216,17,10,9,107254,136,140,140.9382391590013,154,141,139,16,18.134615384615383,18,15,14,157.5,162.03846153846155,162,155.8,152
"668cc1d08c33857f1c36b3b7",0,1,1,1,"green blob","polygon","",-,2,3,4468,10,22,22.79591836734694,36,27,18.75,26668,122,134.5,136.0612244897959,153,141,130,8628,6,9,9.705286839145106,20,11,8,106226,114,119,119.48931383577053,129,121,117,22,27.037735849056602,27,21,18.75,134.5,141.43396226415095,141,133,130
"668cc2408c33857f1c36b3bd",0,1,1,29,"green blob","polygon","",7,-,6,3050780,14,50,60.161309406428714,334,81,25,12497485,120,235,246.45010845986985,607,275,210,553157,11,20,25.73661192016005,174,26,17,4335805,93,200,201.7310287070209,329,217,184,50,85.67816690987422,81,40,25,235,277.96119102216664,275,223,210
"668cc2718c33857f1c36b3c0",0,1,1,1,"green blob","polygon","",-,4,5,4750,13,49.5,47.5,76,64,35,19724,158,199.5,197.24,229,215.25,180.5,9185,10,12,13.084045584045585,43,13,11,111181,153,157,158.37749287749287,194,159,156,49.5,58.65573770491803,64,42,35,199.5,210.44262295081967,215.25,192,180.5
"668cc2958c33857f1c36b3c6",0,1,1,1,"green blob","polygon","",-,6,7,3280,21,46,44.93150684931507,67,56,34,19089,246,262,261.4931506849315,276,269,254,12548,16,18,19.454263565891473,54,19,17,153287,230,237,237.65426356589148,263,240,235,46,53.022222222222226,56,41,34,262,266.3777777777778,269,258.6,254
"668cc30d8c33857f1c36b3cc",0,1,1,1,"green blob","polygon","",-,8,9,4112,7,13,13.35064935064935,23,15,11,38708,111,124,125.67532467532467,151,129,120,8586,6,8,8.092365692742696,12,8,8,119236,109,112,112.38077285579642,120,113,111,13,15.833333333333334,15,12,11,124,131.53205128205127,129,122,120
"668cc3b78c33857f1c36b3d2",0,1,1,1,"green blob","polygon","",-,10,11,2342,11,18,18.440944881889763,23,20,17,15826,118,124,124.61417322834646,131,127,122,8224,7,8,8.939130434782609,18,9,8,105487,111,114,114.65978260869565,124,115,113,18,19.83783783783784,20,18,17,124,126.54054054054055,127,123.4,122
"668cc41d8c33857f1c36b3d5",0,1,1,1,"green blob","polygon","",-,12,13,5086,10,25,24.689320388349515,37,29,20,27516,119,133,133.5728155339806,148,138.75,129,13540,7,10,11.642304385210663,28,15,8,143776,117,122,123.62510748065348,144,127,119,25,27.89763779527559,29,23,20,133,137.1811023622047,138.75,131,129
"668cc47f8c33857f1c36b3d8",0,1,1,1,"green blob","polygon","",-,14,15,3269,9,16,15.27570093457944,21,18,13,31176,128,145,145.6822429906542,163,153,139,8370,7,9,9.019396551724139,16,9,8,118429,124,127,127.61745689655173,142,128,126,16,17.945945945945947,18,15,13,145,152.46846846846847,153,143,139
"668cc4b58c33857f1c36b3de",0,1,1,29,"green blob","polygon","",13,-,12,9767125,8,68,80.38786008230453,522,104,44,29888482,101,223,245.9957366255144,959,297,173,815960,8,43,53.44949561116206,276,66,27,2924097,101,168,191.54310231887857,637,216,138,68,111.83290002363508,104,58,44,223,308.33381588277,297,202,173
