"Id",Channel,XY,Z,Time,"Tags","Shape","Name",red blob intensity measurements / TotalIntensity,red blob intensity measurements / MinIntensity,red blob intensity measurements / MedianIntensity,red blob intensity measurements / MeanIntensity,red blob intensity measurements / MaxIntensity,red blob intensity measurements / 75thPercentileIntensity,red blob intensity measurements / 25thPercentileIntensity,green blob intensity measurements / TotalIntensity,green blob intensity measurements / MinIntensity,green blob intensity measurements / MedianIntensity,green blob intensity measurements / MeanIntensity,green blob intensity measurements / MaxIntensity,green blob intensity measurements / 75thPercentileIntensity,green blob intensity measurements / 25thPercentileIntensity,green red two color intensity / Channel 2 / MedianIntensity,green red two color intensity / Channel 2 / MeanColonyIntensity,green red two color intensity / Channel 2 / 75thPercentileIntensity,green red two color intensity / Channel 2 / 40thPercentileIntensity,green red two color intensity / Channel 2 / 25thPercentileIntensity,green red two color intensity / Channel 1 / MedianIntensity,green red two color intensity / Channel 1 / MeanColonyIntensity,green red two color intensity / Channel 1 / 75thPercentileIntensity,green red two color intensity / Channel 1 / 40thPercentileIntensity,green red two color intensity / Channel 1 / 25thPercentileIntensity,red annulus intensity measurements / TotalIntensity,red annulus intensity measurements / MinIntensity,red annulus intensity measurements / MedianIntensity,red annulus intensity measurements / MeanIntensity,red annulus intensity measurements / MaxIntensity,red annulus intensity measurements / 75thPercentileIntensity,red annulus intensity measurements / 25thPercentileIntensity,green annulus intensity measurements / TotalIntensity,green annulus intensity measurements / MinIntensity,green annulus intensity measurements / MedianIntensity,green annulus intensity measurements / MeanIntensity,green annulus intensity measurements / MaxIntensity,green annulus intensity measurements / 75thPercentileIntensity,green annulus intensity measurements / 25thPercentileIntensity,colony Blob Parent and child / parentId,colony Blob Parent and child / childId,colony Blob Parent and child / annotationId
"6675e7fdefb2f5d02e2c142d",0,1,1,28,"colony, line","polygon","",1778948,25,43,55.274297787720606,478,57,34,12207418,245,314,379.30083271190654,2782,373,279,43,73.76141605166052,57,38,34,314,465.0417435424354,373,297,279,351865,25,30,33.826667948471446,154,36,28,2942715,244,268,282.8989617381273,1277,291,256,33,-,32
"6675e7fdefb2f5d02e2c142e",0,1,1,28,"colony, line","polygon","",4643066,29,47,52.14877295445611,306,58,39,35619509,284,379,400.0618745437188,1436,433,341,47,63.2510714063891,58,44,39,379,453.1939711393139,433,363,341,567033,29,38,40.91737624476836,160,44,34,4775090,282,337,344.5728099292827,951,360,306,37,-,36
"6675e7fdefb2f5d02e2c142f",0,1,1,28,"colony, line","polygon","",3497646,33,46,51.55880185146968,397,56,41,26270600,315,374,387.2549308647071,967,404,356,46,60.19848193342646,56,43,41,374,414.91497772975254,404,367,356,545580,33,41,44.01258470474347,301,46,38,4535469,311,366,365.8816553727009,910,381,332,35,-,34
"6675e7fdefb2f5d02e2c1430",0,1,1,28,"colony, line","polygon","",15138038,21,35,47.04395170688503,1523,51,28,114898106,218,311,357.0648290007303,3439,405,249,35,62.31935329138568,51,32,28,311,442.27137496120315,405,282,249,910768,22,28,33.93829184677299,250,35,26,7799962,220,246,290.6529289014756,1295,304,235,27,-,26
"6675e7fdefb2f5d02e2c1431",0,1,1,28,"colony, line","polygon","",27611080,23,53,67.0440346255175,1758,75,41,172755459,233,371,419.4773610790729,6392,463,313,53,89.08533111431049,75,48,41,371,509.7343864886165,463,346,313,1269406,24,35,42.331877146763595,521,46,29,9262752,232,275,308.89225330976757,2985,322,251,29,-,28
"6675e7fdefb2f5d02e2c1432",0,1,1,28,"colony, line","polygon","",8197309,37,81,88.2788481213048,606,101,63,59906623,379,633,645.1492402296003,3645,727,517,81,110.81572915857353,101,74,63,633,758.1227177375496,727,585,517,903238,37,69,65.9009193054137,171,75,51,7572150,378,571.5,552.469721289946,1213,644,435,31,-,30
"6675e7fdefb2f5d02e2c1433",0,1,1,28,"colony, line","polygon","",3751107,22,38,46.41367747683094,343,52,32,23807785,226,273,294.58153404521215,1377,313,255,38,58.6332075810653,52,35,32,273,328.543070151801,313,265,255,420414,22,29,32.701773490976976,157,34,27,3315225,224,247,257.87375544492846,653,263,238,-,-,-
"6675e7fdefb2f5d02e2c1434",0,1,1,28,"colony, line","polygon","",7178140,23,39,59.75907024758987,805,69,29,46685254,235,308,388.6615994272299,3099,451,256,39,86.78906423297525,69,32,29,308,505.1460690179675,451,272,256,524885,24,29,33.63138335362338,378,32,27,4234473,232,254,271.3188312936503,933,267,247,5,-,4
"6675e7fdefb2f5d02e2c1435",0,1,1,28,"colony, line","polygon","",19274415,34,78,91.97081180125113,1056,109,58,124808772,331,552,595.5440972271927,6256,687,451,78,120.28465914421444,109,70,58,552,716.670095267337,687,507,451,1339317,33,57,63.586241276171485,185,77,43,10347172,328,456,491.2487300004748,1009,584,382,7,-,6
"6675e7fdefb2f5d02e2c1436",0,1,1,28,"colony, line","polygon","",4156633,33,47,56.76134098047248,230,64,41,30266534,307,385,413.307851973235,1154,448,359,47,70.1372514736737,64,43,41,385,461.4725996603057,448,373,359,637899,33,42,50.31145989431343,224,49,39,4988513,304,373,393.4468806688225,1069,395,337,9,-,8
"6675e7fdefb2f5d02e2c1437",0,1,1,28,"colony, line","polygon","",50793515,21,50,64.2047267285032,1348,73,37,312457111,217,340,394.9563920932149,6652,436,279,50,88.29321945316804,73,44,37,340,496.7304001657352,436,314,279,1397960,21,30,34.8062941938054,205,38,27,10839426,216,246,269.8791455034359,1100,283,235,3,-,2
"6675e7fdefb2f5d02e2c1438",0,1,1,28,"colony, line","polygon","",50280263,22,61,75.86759604488658,1755,94,39,274035531,224,364,413.49061694156205,7521,483,278,61,107.36641242858349,94,51,39,364,527.7082744645521,483,328,278,1598817,23,32,43.01942688012915,465,48,29,10875012,223,256,292.61434145028926,1744,312,240,1,-,0
"6675e7fdefb2f5d02e2c1439",0,1,1,28,"colony, line","polygon","",6784950,23,38,53.73068729855793,1287,59,29,38246841,226,266,302.8805008037885,2961,321,242,38,74.52016890435196,59,34,29,266,354.75889498490864,321,254,242,589867,23,29,37.166341125322916,236,39,27,4214067,224,243,265.51994203263814,838,270,237,13,-,12
"6675e7fdefb2f5d02e2c143a",0,1,1,28,"colony, line","polygon","",3855540,22,31,36.294608816801436,934,39,27,34592114,228,294,325.63719888166133,2476,369,247,31,44.05167542080538,39,29,27,294,388.08085010487633,369,269,247,506878,22,29,33.67960132890366,236,34,27,4201510,227,255,279.1700996677741,621,293,246,11,-,10
"6675e7fdefb2f5d02e2c143b",0,1,1,28,"colony, line","polygon","",2411606,24,42,55.79838037945396,1256,61,33,12903956,237,282,298.56446089773254,1386,314,264,42,74.17954687175224,61,38,33,282,326.87557680315945,314,274,264,418937,23,30,33.43204851967121,162,35,28,3330199,235,261,265.7568430292874,458,271,251,23,-,22
"6675e7fdefb2f5d02e2c143c",0,1,1,28,"colony, line","polygon","",9657274,22,38,45.210052010917146,511,51,29,78188436,232,326,366.0353075010884,5167,412,263,38,58.45902442009915,51,34,29,326,449.7086287847656,412,299,263,642651,22,28,31.756238572911005,301,32,26,5916861,232,257,292.37836635865,4001,283,243,21,-,20
"6675e7fdefb2f5d02e2c143d",0,1,1,28,"colony, line","polygon","",28927045,28,57,68.2106493053263,811,77,44,228572565,287,470,538.9794592580715,5656,618,386,57,89.26225218569142,77,51,44,470,675.071705630904,618,432,386,1929287,28,56,69.71226738934055,562,84,40,14595574,284,451,527.3920144534778,2069,657,352,15,-,14
"6675e7fdefb2f5d02e2c143e",0,1,1,28,"colony, line","polygon","",20072634,32,68,77.02616704081045,600,89,54,145699877,310,520,559.1046528137531,2093,662,437,68,97.321310153551,89,62,54,520,667.0192060391628,662,483,437,1479560,31,63,69.24509758038096,357,87,42,11641486,306,487,544.834838770066,1517,693,372,17,-,16
"6675e7fdefb2f5d02e2c143f",0,1,1,28,"colony, line","polygon","",5935571,37,72,106.90869956772335,1664,120,53,35024563,371,538,630.8458753602306,4841,687,448,72,148.2093533413874,120,64,53,538,772.5767152031539,687,495,448,680070,38,49,55.789171452009846,199,66,44,5861797,369,427,480.8693191140279,999,559,396,19,-,18
"6675e7fdefb2f5d02e2c1440",0,1,1,28,"colony, line","polygon","",37875504,32,68,78.58363365886754,1061,92,49,273427998,302,515,567.3050747234827,6143,670,410,68,102.87146967517226,92,59,49,515,698.5004921632468,670,465,410,2545322,32,64,80.0138945647732,226,99,43,19893416,298,496,625.3627990317815,1733,713,374,25,-,24
"6675e7fdefb2f5d02e2c1441",0,1,1,1,"colony, line","polygon","",5455,33,55,59.94505494505494,102,74.5,43,45224,407,481,496.967032967033,616,546,448.5,55,74.22,74.5,50,43,481,539.86,546,464,448.5,22446,22,27,30.622100954979537,104,32,25,284391,371,381,387.98226466575716,524,393,378,-,28,29
"6675e7fdefb2f5d02e2c1442",0,1,1,27,"colony, line","polygon","",36596127,20,44,56.84252488288579,1480,63,34,248179429,216,330,385.4819218534488,6202,417,278,44,76.320382859001,63,40,34,330,476.1966096902348,417,308,278,1246914,20,28,33.628576822460154,225,35,26,10322121,217,248,278.38186035222094,2813,285,238,-,-,-
