"geneID"	"LogFC"
"COL3A1"	4.77
"CTD-2207O23.3"	4.55
"LBP"	3.71
"FLRT2"	3.4
"HIST2H2AA3"	3.26
"UGT1A8"	3.2
"LSP1"	2.78
"ZNF423"	2.78
"RP11-566K11.2"	2.76
"AGPS"	2.74
"SHC3"	2.74
"COL6A3"	2.72
"SH3RF3"	2.71
"KIF6"	2.7
"KIAA1462"	2.66
"AC037459.4"	2.65
"IGF2"	2.61
"PLEKHF2"	2.6
"SFRP4"	2.6
"FAM156B"	2.59
"POM121L9P"	2.58
"RP11-834C11.12"	2.56
"POSTN"	2.5
"RP11-745O10.4"	2.43
"ITGB1P1"	2.4
"ZRSR1"	2.4
"SPDYE10P"	2.39
"ATG9B"	2.35
"CTC-429P9.4"	2.34
"SNED1"	2.34
"BCAS1"	2.33
"PLEKHA7"	2.29
"PTGIR"	2.28
"GPRC5C"	2.25
"PALM2-AKAP2"	2.24
"CFH"	2.2
"CADM3"	2.19
"LTBP1"	2.18
"SPECC1L-ADORA2A"	2.18
"MEA1"	2.17
"RAPGEF5"	2.15
"ACSL5"	2.14
"RP1-152L7.5"	2.14
"TRANK1"	2.14
"C10orf54"	2.13
"SLC22A4"	2.09
"CUL7"	2.08
"BORCS8-MEF2B"	2.07
"POC1B-GALNT4"	2.07
"PHF8"	2.05
"APCDD1"	2.04
"TGM2"	2.04
"GJA1"	2.03
"RAP1GAP2"	2.03
"PDIA3P1"	2.02
"AC005255.3"	2.01
"DEPTOR"	2.01
"ADAM17"	2
"AMMECR1L"	2
"APOC1"	1.99
"RASSF8"	1.99
"IFITM10"	1.98
"PLEKHG1"	1.98
"SLC25A25"	1.98
"APOL3"	1.97
"CORO2B"	1.97
"ZNF287"	1.97
"BGN"	1.96
"PRR5L"	1.96
"ADAMTS6"	1.95
"COL1A1"	1.95
"RP11-63A1.4"	1.94
"RP4-539M6.19"	1.94
"CH17-258A22.4"	1.93
"INMT"	1.93
"COL6A1"	1.92
"FAM161B"	1.9
"TMEM119"	1.9
"TNXB"	1.89
"WBP1LP2"	1.89
"ABCA6"	1.87
"GPC6"	1.86
"PHGDH"	1.86
"ADAM12"	1.84
"ARF6"	1.84
"LY6K"	1.84
"POMT1"	1.84
"SUSD2"	1.84
"C3AR1"	1.83
"IP6K3"	1.83
"DNAJC5B"	1.82
"FERMT3"	1.82
"RP11-203J24.9"	1.81
"RPL18AP3"	1.81
"ZNF677"	1.81
"IFNAR1"	1.8
"MASP1"	1.8
"CHST15"	1.79
"LRRC32"	1.79
"KCNK15"	1.78
"ZBED1"	1.78
"AQP1"	1.76
"CCDC80"	1.76
"FAM72D"	1.76
"NNMT"	1.76
"RP11-529K1.3"	1.76
"ITGB4"	1.75
"PAPPA"	1.74
"RP11-834C11.7"	1.74
"SCD"	1.74
"AL513122.1"	1.73
"INTS2"	1.73
"MMAA"	1.72
"P2RY6"	1.72
"ABHD14A-ACY1"	1.69
"SNAI1"	1.69
"COL1A2"	1.68
"HEATR3"	1.68
"CPA5"	1.67
"SNX10"	1.67
"SPON1"	1.67
"ZNF600"	1.67
"CMKLR1"	1.66
"S1PR1"	1.66
"COL14A1"	1.65
"IGF1"	1.65
"IL4R"	1.65
"LPIN2"	1.65
"PCOLCE"	1.65
"SLC12A8"	1.65
"ASB5"	1.64
"C14orf105"	1.64
"MAOA"	1.64
"SCNN1A"	1.64
"CDK15"	1.63
"TBC1D26"	1.63
"DNAH10"	1.62
"TNFSF13"	1.62
"ROR2"	1.6
"UBE2T"	1.59
"IL1R1"	1.58
"OBFC1"	1.58
"ZBTB24"	1.58
"AGAP13P"	1.57
"CHRNE"	1.57
"MAATS1"	1.56
"AKNA"	1.55
"LINC00933"	1.55
"TRIM60P14"	1.55
"WASH1"	1.55
"TMEM239"	1.54
"DPP4"	1.53
"FAM109A"	1.53
"OLFM2"	1.53
"WISP1"	1.53
"CTC-432M15.3"	1.52
"GALNTL6"	1.52
"P2RY2"	1.52
"SCN9A"	1.52
"SLA"	1.52
"GNE"	1.51
"INTS6L"	1.51
"MUC17"	1.51
"PKD1P5"	1.51
"WISP2"	1.51
"COL6A2"	1.5
"CYP19A1"	1.5
"IL1R2"	1.5
"MOGS"	1.5
"AC007405.6"	1.49
"ADTRP"	1.49
"SNX32"	1.49
"BST1"	1.48
"CCDC188"	1.48
"MINOS1-NBL1"	1.48
"MSH5"	1.48
"OLFML2B"	1.48
"RP11-468E2.2"	1.48
"TRIM22"	1.48
"ANKRD20A3"	1.47
"APOL5"	1.47
"KCTD12"	1.47
"ZNF232"	1.47
"C7orf25"	1.46
"CLU"	1.46
"JUP"	1.46
"NTN4"	1.46
"PPARGC1B"	1.46
"TMEM178B"	1.46
"ANKFN1"	1.45
"CCDC162P"	1.45
"IFI44L"	1.45
"RANBP3L"	1.45
"SHROOM1"	1.45
"TSPOAP1"	1.45
"AP5Z1"	1.44
"RNF152"	1.44
"ZNF233"	1.44
"CASP8"	1.43
"CDC42EP5"	1.43
"CXorf56"	1.43
"DISP2"	1.43
"KCNN3"	1.43
"MMP11"	1.43
"PTGER2"	1.43
"RALGPS1"	1.43
"SMN1"	1.43
"ZNF385B"	1.43
"ARHGAP28"	1.42
"COL18A1"	1.42
"ESR1"	1.42
"PLAC1"	1.42
"C1R"	1.41
"CCDC103"	1.41
"IL18BP"	1.41
"PMS2P1"	1.41
"SPDYE8P"	1.41
"TM4SF18"	1.41
"TMEM47"	1.41
"ABI3BP"	1.4
"LEPR"	1.4
"MFSD8"	1.4
"MROH7-TTC4"	1.4
"NIPSNAP3B"	1.4
"THSD1"	1.4
"HIST1H3H"	1.39
"IDE"	1.39
"ITGAV"	1.39
"PTGFR"	1.39
"RP1-27O5.3"	1.39
"TTC7A"	1.39
"ZNF20"	1.39
"ZNF815P"	1.39
"CCR7"	1.38
"CST7"	1.38
"FBN1"	1.38
"KRT7"	1.38
"PRKCQ"	1.38
"RTN4RL2"	1.38
"SCG5"	1.38
