geneID	FC_X	FC_Y
THBS2	3.82	-1.9
FURIN	2.83	-0.72
AMMECR1L	2.81	-2.16
DCLRE1B	2.72	-1.19
SDK2	2.67	-2.54
CPS1	2.49	-2.53
PTPRQ	2.48	0.19
MAST2	2.39	-0.25
ENO1P1	2.34	-1.09
ST8SIA5	2.33	-0.59
KDM6A	2.31	-1.43
NBPF20	2.28	0
RP11-1070B7.1	2.15	-0.72
RP11-156P1.2	2.12	-0.89
KRT34	2.1	2.25
CCNJL	2.03	-1.32
SCN9A	2.03	-0.63
TRANK1	2.03	-0.2
GSK3B	2	-0.18
MYH15	2	-1.17
MMEL1	1.98	-0.85
KMT2B	1.96	-1.08
NXF3	1.96	0.73
POMGNT2	1.9	-0.73
VPS28	1.89	-1.2
FAM65B	1.88	-2.09
C22orf46	1.87	0.45
WI2-1896O14.1	1.87	-0.75
MORN3	1.82	-0.16
CDH18	1.81	-0.43
MKRN3	1.81	-1.84
CORIN	1.8	-1.22
HOXC6	1.8	0.05
ADGRL2	1.79	-1.03
SPDYE5	1.79	-2.04
ITPKC	1.77	-0.36
FAM9C	1.76	-1.44
FLI1	1.76	0.61
TH	1.76	0.61
UGT1A8	1.76	0
LARS2	1.75	-1.26
CACNA1E	1.74	0.14
EXTL3	1.74	0.01
GIPC2	1.74	0.87
LRRK2	1.74	-0.04
PMFBP1	1.74	0
SLC5A2	1.74	-0.46
CD37	1.73	-1.15
OMG	1.73	-0.22
C9orf131	1.72	-1.49
CSF1R	1.71	-0.21
INTS6L	1.71	-1.13
SCUBE1	1.71	-0.25
ISY1-RAB43	1.69	-1.29
SHE	1.69	-0.91
IQSEC2	1.66	0.41
TMEM265	1.66	-1.03
TRIM60P14	1.65	-0.72
NAXD	1.64	0.95
RP11-274B21.2	1.64	-0.53
RP11-439C15.6	1.64	-0.68
HSD11B1	1.62	0.94
POC1B-GALNT4	1.62	-1.07
GRB14	1.61	-1.32
TG	1.61	1.44
CCR4	1.6	-1.3
COL3A1	1.6	2.54
ELAVL2	1.6	-0.61
MTCP1	1.6	-1.83
RP4-583P15.15	1.59	-1.82
COL4A3	1.58	-0.44
CRTAM	1.58	-0.29
RAPGEF6	1.57	-0.09
COMP	1.56	-1.31
AC007192.4	1.55	0.68
ATP7A	1.55	-0.31
CLMP	1.55	-1.46
LRRC7	1.55	0.25
GTF2IP12	1.53	-0.68
PTPRC	1.53	1.55
CAMKV	1.52	-0.48
PGBD1	1.52	-0.01
TMEM216	1.52	-1.36
HHIPL2	1.51	1.89
CCR1	1.5	-0.86
PSG1	1.49	2.03
RPL9P9	1.49	-1.47
CDH12	1.48	0
HCG4P5	1.48	-0.35
FAM46D	1.47	-0.84
LNX2	1.47	1.36
C2orf70	1.46	-2.71
COL6A6	1.46	-0.02
GOLGA8A	1.46	-0.87
PLXDC1	1.46	1.28
PSORS1C1	1.46	0.44
CMKLR1	1.45	2.73
EMC3-AS1	1.45	0.1
PTPN6	1.44	-1.62
SRSF12	1.44	-0.6
TMEM52B	1.44	-1.61
TMSB4XP1	1.44	-0.93
CFAP57	1.43	0.35
ESRP2	1.43	0.02
RP11-293I14.2	1.43	-0.87
ABC14-864958H18.2	1.42	0.3
ABCA4	1.42	-0.25
AC024592.12	1.42	-1.21
ART4	1.42	-0.45
