geneID	FC_X	FC_Y
ARL10	3.14	-1.16
LINC00888	2.89	-2.8
RFX7	2.82	-1.53
AMIGO3	2.77	-0.88
AC074141.1	2.76	0
VLDLR	2.66	-2.52
GALNT16	2.58	-2.21
KITLG	2.54	0.49
ABCB7	2.48	-2.96
THBS2	2.44	-1.03
ABCC4	2.42	0.2
GUSBP3	2.35	-0.89
BZW1P2	2.31	-2.17
RP5-1021I20.4	2.27	-1.03
CREB5	2.24	-0.36
FANCB	2.24	-2.48
DZANK1	2.23	-1.73
TMED7-TICAM2	2.21	-0.4
RAG1	2.19	-2.97
PRKY	2.18	-0.48
KIAA1109	2.15	-0.99
SRPK3	2.1	-0.3
ZNF347	2.1	-1.64
TMEM184A	2.06	-1.28
RSPH1	2.02	-0.29
LRRK2	2.01	-0.24
MAST3	2	-0.28
SYNCRIP	1.99	-1.08
ZNF382	1.99	-0.75
RNF112	1.98	0.67
TTPA	1.94	-0.21
ATP6V1G2-DDX39B	1.92	-0.03
PRUNE2	1.92	-1.74
BCAS1	1.87	0.43
AREL1	1.85	-1.19
CUL2	1.84	-0.53
PTPRU	1.84	-1.83
AMDHD1	1.83	-0.18
CYP39A1	1.83	-2.44
KIAA1958	1.83	-2.05
CNTN6	1.82	-1.48
RP11-561B11.2	1.82	-1.9
NUTM2D	1.81	-0.16
AC068533.7	1.78	-1.55
GPR158	1.78	-0.36
KCNJ16	1.78	-1.09
TSC1	1.78	-1.48
COQ2	1.76	-1.99
SACS	1.76	-1.71
KCP	1.75	-2.04
CFD	1.72	-0.91
SDK1	1.72	0.46
AC090094.1	1.71	-1.15
FAM184B	1.71	-0.35
AC009487.6	1.69	-1.05
FBXL17	1.69	-0.8
MIPEPP3	1.69	-1.04
GBP5	1.68	0.02
ATP11C	1.67	0.05
CRYAB	1.67	-1.16
C9orf131	1.66	-0.03
ADAM17	1.65	-0.05
PTMAP2	1.65	-1.04
RP11-235E17.2	1.65	-0.76
AC092835.2	1.64	-0.68
GSTT2	1.64	-0.75
NCMAP	1.64	-1.53
SORBS1	1.64	0.56
C4orf26	1.62	-1.33
SCNN1D	1.62	0.61
FAM86JP	1.61	-0.13
ABCC6	1.59	-1.39
TGFBR3L	1.59	0.02
ANKRD33B	1.57	-1.28
KLK2	1.57	-1.21
NPIPA7	1.57	-2.24
FAM133CP	1.56	-0.01
CNTNAP3B	1.55	-1.63
COL3A1	1.55	0.92
CTD-3105H18.18	1.55	0.19
HNRNPUL2-BSCL2	1.55	-1.35
TBCE	1.55	-1.21
TLL2	1.55	-0.16
EGF	1.54	-1.14
RP11-343C2.9	1.54	0
WASH1	1.54	-1.72
RP11-439C15.6	1.53	-1.17
ATXN1L	1.51	-2.01
GABRR2	1.51	-0.11
GREB1L	1.51	0.81
ALDH8A1	1.5	0.15
EEF2K	1.5	-0.02
ZBED1	1.5	-1.07
MYO7A	1.49	-0.51
RALGPS1	1.49	-0.49
RASGRP4	1.49	-0.81
TRANK1	1.49	-0.81
ABHD12B	1.48	0.27
ENOX1	1.47	0.06
FAM47E-STBD1	1.47	-2
RIMS3	1.47	-1.36
LZTFL1	1.46	-2.14
PAQR5	1.46	-0.51
SYTL3	1.46	0.92
LRRC37A5P	1.45	-1.21
UBE2L5P	1.45	-0.69
FILIP1L	1.44	0.3
FTH1P11	1.44	0.01
GABRA5	1.44	-4.17
PADI1	1.44	-0.23
SKIDA1	1.44	-0.46
STS	1.44	0
FRG1HP	1.43	-2.14
FTH1P12	1.43	-0.22
FUT1	1.43	-0.69
ACSBG1	1.42	-1.79
MMP11	1.42	0.62
RP11-577H5.1	1.42	0.05
SMAD1	1.42	-0.41
USHBP1	1.42	-1.48
AGPS	1.41	-2.88
ATE1	1.41	-1.59
LRFN3	1.41	0.52
M1AP	1.41	-1.22
ANKFN1	1.4	0.21
CD200	1.4	-0.74
EIF4A1P4	1.4	-0.57
PCYT1B	1.39	-0.57
AD000671.6	1.38	0
EEF1A1P5	1.38	-1.68
SLCO3A1	1.38	-0.02
CSMD1	1.37	-0.17
HERC2P8	1.37	-0.86
NOS1AP	1.37	-1.45
VPS37D	1.37	-1.32
ANTXR2	1.36	1.37
CLMP	1.36	0.2
HERC2P5	1.36	-0.86
OR7E126P	1.36	0.07
RP11-122K13.12	1.36	-0.75
RP11-290H9.2	1.36	0
SHANK1	1.36	0.79
TM6SF1	1.36	-0.35
CLEC17A	1.35	-0.45
KCTD16	1.35	-0.68
MAS1	1.35	-0.29
RP11-53B2.2	1.35	-0.32
ADAMTSL4-AS1	1.34	0
PSG11	1.34	0.11
DNER	1.33	2.32
SYNPO2	1.33	0.5
ANKRD44	1.32	-0.62
C22orf46	1.32	-0.84
CASQ2	1.32	-0.31
CSF2RB	1.32	1.59
DASS-161H22.6	1.32	1.19
KLHL15	1.32	1.25
NOS3	1.32	-0.66
FAM49A	1.31	0.9
PROM2	1.31	-0.37
RGCC	1.31	0.17
RIBC1	1.31	-0.56
SLC12A1	1.31	-1.08
ALPK3	1.3	0
CCDC38	1.3	0.82
ULK4P3	1.3	0.32
LDLRAD4	1.29	-1.31
LONRF2	1.29	-0.85
MTHFD1	1.29	-1.11
OLR1	1.29	0.08
RP5-874C20.8	1.29	-0.49
VAV1	1.29	-0.77
GUSBP1	1.28	0.35
ITIH4	1.28	-1.25
RP11-234B24.6	1.28	-0.09
TRPM8	1.28	-0.8
ITGB1P1	1.27	0.79
MYO16	1.27	-1.66
PCDHA10	1.27	0.55
PODN	1.27	-1.18
RARRES2P4	1.27	-0.86
TMEM110-MUSTN1	1.27	1.18
FAM221B	1.26	0
NSFP1	1.26	0.55
OVGP1	1.26	-0.24
RGS7	1.26	0.66
RP11-395G23.3	1.26	0.34
SELL	1.26	0.26
SLC7A5P2	1.26	-1.25
C1orf106	1.25	0.68
CBARP	1.25	-0.18
HOXA1	1.25	0.18
JAG2	1.25	-1.17
MMEL1	1.25	-0.42
MTMR7	1.25	-0.52
AASS	1.24	0.43
BARHL2	1.24	-0.86
CDH26	1.24	0.09
CEP78	1.24	-1.57
MED12	1.24	-2.32
PDPN	1.24	-0.09
PPFIBP2	1.24	-0.22
TRPV4	1.24	-0.26
ZNF816	1.24	-0.21
CTD-3074O7.11	1.23	0
IP6K3	1.23	0.37
LINC00672	1.23	0.05
RP11-442H21.2	1.23	0
RP3-509L4.3	1.23	0.5
SIGLEC18P	1.23	-0.49
VARS2	1.23	-0.97
ZIC4	1.23	-0.46
CROCCP4	1.22	-0.45
FRMD7	1.22	0
RHEBP2	1.22	-0.35
SLC15A1	1.22	-0.72
TNFSF12-TNFSF13	1.22	-0.69
DGKE	1.21	-0.1
DTX3	1.21	-1.47
IL23R	1.21	-1.27
JMJD7-PLA2G4B	1.21	-1.07
LINC01347	1.21	-0.47
MTTP	1.21	-1.22
PAMR1	1.21	-0.63
PRND	1.21	5.22
RP11-693N9.2	1.21	0.32
AIFM3	1.2	-0.93
C16orf89	1.2	-3.05
FAM131C	1.2	0.29
PDE1B	1.2	1.07
PHC1P1	1.2	-1.14
RP11-61N20.3	1.2	-3.49
RPS3AP44	1.2	-0.44
TCAM1P	1.2	0.44
ZNF609	1.2	-0.51
CRIP1	1.19	-0.29
RASGEF1C	1.19	0.39
RP11-288H12.3	1.19	-0.48
CDH12P2	1.18	0.25
EBI3	1.18	0.39
ECHDC3	1.18	-1
ENPP7P8	1.18	-1.96
GHRL	1.18	0.18
HECW1	1.18	0.07
NUFIP2	1.18	-0.37
REXO1L1P	1.18	0.05
SPDYE8P	1.18	-0.9
STAT4	1.18	0.7
TOP2B	1.18	-1.33
TRPV6	1.18	0.03
ADGRL2	1.17	-0.46
C2orf82	1.17	0.76
CYP2D6	1.17	-0.28
GLI2	1.17	1.4
HIST3H2BB	1.17	-1.78
KIAA1217	1.17	2.21
KLHL4	1.17	1.5
PAPPA	1.17	1.97
PRRG2	1.17	-0.69
RP11-423H2.1	1.17	0.38
RPA4	1.17	-0.06
SLC4A1	1.17	0.09
ANKRD20A4	1.16	-2.04
CHRM1	1.16	-0.6
DEFB109P3	1.16	-0.78
DGKH	1.16	-0.73
FBXL14	1.16	-0.56
MFSD8	1.16	-1.53
NOS2P3	1.16	-0.69
PLEKHA7	1.16	1.45
PTPDC1	1.16	-1.18
ZNF713	1.16	-2.41
AC092933.4	1.15	-0.69
AGPAT4	1.15	-0.73
CCDC88C	1.15	-0.08
