geneID	FC_X	FC_Y
LTBP1	5.28	2.07
STC1	4.91	-0.37
SLC7A8	4.69	0.8
SPOCK1	4.57	2.04
MTSS1	4.54	1.98
TYRP1	4.51	2.16
CEMIP	4.26	0.92
SORBS1	4.17	1.11
TACC3	4.13	-0.3
RGS2	4.01	0.32
SPP1	4	0.45
HECW1	3.98	3.03
RGS1	3.93	-0.55
NNMT	3.92	1.66
MYOF	3.89	1.86
CTSK	3.81	0.3
DDIT4	3.79	-0.45
HSPA5	3.79	-0.62
USP18	3.79	0.77
TK1	3.77	-0.11
UCN2	3.75	-0.74
CADM1	3.73	0.14
C1S	3.72	1.47
HSP90B1	3.7	-0.5
TTYH3	3.7	0.46
DAG1	3.67	0.75
ACSBG1	3.63	0.96
STAT1	3.63	0.43
ADM	3.62	0.41
ADD3	3.61	0.71
AURKA	3.61	0.46
SRSF6	3.6	0.19
HEXB	3.59	0.28
HMG20B	3.59	0.39
KANK2	3.59	0.72
BNIP3	3.58	-0.42
C21orf91	3.57	0.43
PGK1	3.57	-0.06
ST3GAL4	3.56	0.35
EIF4H	3.55	-0.06
HLA-E	3.55	0.48
WDFY1	3.55	0.2
CSDE1	3.54	-0.09
YWHAB	3.54	0.1
CTGF	3.53	1.12
TPX2	3.53	0.12
FLNB	3.52	0.31
LYST	3.52	0.17
TXLNA	3.52	0.06
CD164	3.51	0.03
RAB27A	3.51	0.29
MYH9	3.5	0.31
SQSTM1	3.5	0.08
RAB31	3.49	1.02
SRSF7	3.49	0.1
ARSG	3.48	0.45
DSTYK	3.48	0.42
ZBTB24	3.48	1.35
RAB27B	3.47	1.89
RPA1	3.47	0.04
ARL4C	3.46	2.13
MMP1	3.46	-0.19
EPHX1	3.45	0.55
PDGFRA	3.45	2.17
PECAM1	3.45	0.6
ANLN	3.44	-0.02
EEF2K	3.44	2.86
HJURP	3.44	0.14
UBC	3.44	0.35
E2F7	3.43	0.48
IDH1	3.43	0.01
PARP1	3.43	-0.12
PIGT	3.43	0.12
RAP2B	3.43	-0.01
MOB1A	3.42	0.17
PRDX3	3.42	-0.09
TULP3	3.42	0.33
ACTR2	3.41	0.18
CCDC171	3.41	0.89
