geneID	FC_X	FC_Y
BAAT	5.65	-4.63
RGS1	4.95	-1.75
TYRP1	4.89	3.84
NMRK2	4.35	-1.79
CHST9	4.3	-1.78
SCML4	4.27	-2.35
PLA1A	4.25	-2.98
LLpac-136A2.1	4.19	-1.21
TRPM1	4.09	-1.61
TYR	4.07	-3.44
RAPGEF4	3.99	-2.27
PMEL	3.89	-2.12
IRF4	3.87	-2.78
CCDC171	3.86	1.55
ISM1	3.84	-1.66
OSBPL10	3.84	-1.03
HOXD1	3.83	-0.08
DENND2D	3.72	-1.28
MYO16	3.72	-1.14
FGF14	3.69	-1.78
HSPE1-MOB4	3.65	-2.51
ANKRD44	3.64	-1.44
PLEKHF2	3.58	-0.55
FURIN	3.57	-1.28
LRRC39	3.57	1
CDK5R1	3.56	-1.27
ATP10A	3.54	-1.25
KCNJ13	3.51	0.36
POU3F1	3.51	-2.13
RPS3AP34	3.49	-2.3
GALNT3	3.47	0.34
NRG3	3.47	-1.72
RIMS2	3.45	-0.51
SLC24A5	3.45	-3.07
ABCB5	3.43	0.88
PLEKHB1	3.39	-1.53
XG	3.39	-1.3
PIK3CD	3.37	-1.95
CHCHD6	3.31	0.37
ACSBG1	3.28	0.19
MSH3	3.28	-1.22
RNF157	3.24	-3.18
IGSF11	3.22	-0.63
SULT1C2	3.21	-0.21
MYO1D	3.2	-0.23
GRID1	3.16	-2.94
DCT	3.15	-0.68
TEKT5	3.14	-1.83
SERPINF1	3.12	0.29
FABP7	3.1	-1.59
RP11-327P2.7	3.1	-1.13
SEPT4	3.1	-0.31
CEACAM1	3.09	-0.64
HTN1	3.09	1.28
MST1	3.09	-1.44
RLBP1	3.09	-2.62
ACCSL	3.07	-1
NME1-NME2	3.07	-0.69
APOE	3.06	-1.28
RXRG	3.05	-0.24
C10orf90	2.99	0.75
CBX3P7	2.99	-1.41
ADAM12	2.95	-1.4
FYTTD1P1	2.95	-1.38
MYEF2	2.94	-2.81
LAMC3	2.93	-0.96
ICK	2.91	-0.79
PRKY	2.91	-0.59
ARFGEF2	2.89	-0.98
PHACTR3	2.88	-1.57
RAB3C	2.88	0.44
OCA2	2.87	-0.71
SLC35B3	2.87	-1.56
MET	2.86	0.91
CDK2	2.85	-1.87
RP11-1070B7.3	2.84	-1.43
ST6GAL2	2.84	-0.27
PRDM7	2.8	-1.05
APOC1	2.77	-2.41
LINC00890	2.77	-0.55
LINC00473	2.76	-0.27
RP11-1035H13.3	2.73	0
ERO1B	2.72	-1.48
TENM4	2.72	-2.42
FAM212A	2.71	-1.6
C22orf46	2.7	1.65
RAB11FIP4	2.69	-0.54
RAB27A	2.69	1.12
RP11-632K20.7	2.69	-0.84
NR5A2	2.68	0.14
RHPN1	2.67	-1.18
MYADML	2.66	-0.85
CITED1	2.64	0.05
GRAP2	2.64	-1.02
KIF1A	2.62	0.39
PKLR	2.62	-0.24
RNF43	2.61	-1.71
FAM69C	2.6	-0.1
ACRC	2.59	1.14
BHLHE41	2.59	-1.48
HSD17B14	2.59	0.54
LRRN4CL	2.58	0.03
C21orf91	2.57	1.69
SIGLEC17P	2.57	0.3
PLEKHH1	2.56	-0.89
COL24A1	2.55	1.59
ETV5	2.53	-2.63
MMP9	2.52	0.59
NHSL1	2.52	-0.59
PMS2	2.52	-0.82
SARDH	2.52	-1.07
ETV4	2.51	-5.7
PLEKHA5	2.51	1.04
SPRY1	2.51	-0.86
ST8SIA6	2.51	-1.4
FBXL13	2.5	0.26
HIST2H2AA4	2.5	-1.25
RGS12	2.5	-0.28
PDE3B	2.49	-1.24
BTN2A2	2.48	-0.67
MERTK	2.48	0.05
ROBO2	2.48	-1
CSRNP3	2.46	-0.72
TGIF2-C20orf24	2.46	-0.41
CRTAC1	2.45	-1.26
CFAP74	2.44	-0.65
CH17-264B6.4	2.44	1.12
GDPD5	2.44	-0.1
ITGA9	2.44	-0.79
RAB38	2.43	-0.5
ATXN7L2	2.42	-0.31
CRB1	2.42	-0.6
FAM161A	2.4	0.02
GJA3	2.4	0.68
PRTG	2.4	-0.56
SCN4B	2.4	0.39
KRTAP19-1	2.39	-0.55
BGLAP	2.38	-1.46
ACP6	2.37	-1.66
AP1S2	2.37	-0.86
CASQ2	2.37	-0.39
GAPDHS	2.36	-2.35
RP11-62G11.1	2.36	-0.86
SEMA3E	2.36	0.46
TNRC6C-AS1	2.36	-1.31
ROPN1B	2.35	-0.78
ZDBF2	2.34	0.32
