geneID	FC_X	FC_Y
COL3A1	4.77	1.27
CTD-2207O23.3	4.55	-2.37
LBP	3.71	1.57
FLRT2	3.4	-0.76
HIST2H2AA3	3.26	-3.22
UGT1A8	3.2	0
LSP1	2.78	1.09
ZNF423	2.78	0.53
RP11-566K11.2	2.76	-3.33
AGPS	2.74	-1.66
SHC3	2.74	-1.44
COL6A3	2.72	2.95
SH3RF3	2.71	2.67
KIF6	2.7	-1.1
KIAA1462	2.66	1.31
AC037459.4	2.65	-0.31
IGF2	2.61	-0.16
PLEKHF2	2.6	-3.19
SFRP4	2.6	4.53
FAM156B	2.59	-3.24
POM121L9P	2.58	0.01
RP11-834C11.12	2.56	-0.69
POSTN	2.5	-0.71
RP11-745O10.4	2.43	-1.12
ITGB1P1	2.4	-0.64
ZRSR1	2.4	-1.05
SPDYE10P	2.39	-1.82
ATG9B	2.35	-1.95
CTC-429P9.4	2.34	0.01
SNED1	2.34	1.61
BCAS1	2.33	-0.52
PLEKHA7	2.29	1.12
PTGIR	2.28	0.57
GPRC5C	2.25	-0.78
PALM2-AKAP2	2.24	-0.38
CFH	2.2	0.8
CADM3	2.19	0
LTBP1	2.18	3.65
SPECC1L-ADORA2A	2.18	0
MEA1	2.17	-2.42
RAPGEF5	2.15	-1.32
ACSL5	2.14	0.47
RP1-152L7.5	2.14	0.16
TRANK1	2.14	0.68
C10orf54	2.13	1.39
SLC22A4	2.09	-0.62
CUL7	2.08	-1.03
BORCS8-MEF2B	2.07	-2.68
POC1B-GALNT4	2.07	-0.45
PHF8	2.05	-1.77
APCDD1	2.04	2.32
TGM2	2.04	4.35
GJA1	2.03	2.62
RAP1GAP2	2.03	-1.45
PDIA3P1	2.02	-0.43
AC005255.3	2.01	-0.56
DEPTOR	2.01	0.8
ADAM17	2	1.76
AMMECR1L	2	0.17
APOC1	1.99	-4.46
RASSF8	1.99	-0.05
IFITM10	1.98	0.88
PLEKHG1	1.98	-1.8
SLC25A25	1.98	-2.21
APOL3	1.97	0.41
CORO2B	1.97	2.06
ZNF287	1.97	0.36
BGN	1.96	4.7
PRR5L	1.96	0.35
ADAMTS6	1.95	-0.1
COL1A1	1.95	8.71
RP11-63A1.4	1.94	-1.57
RP4-539M6.19	1.94	-1.51
CH17-258A22.4	1.93	-2.36
INMT	1.93	0.85
COL6A1	1.92	2.42
FAM161B	1.9	-0.72
TMEM119	1.9	2.99
TNXB	1.89	0.61
WBP1LP2	1.89	-2.02
ABCA6	1.87	0.4
GPC6	1.86	-0.87
PHGDH	1.86	-3.13
ADAM12	1.84	-0.03
ARF6	1.84	-1.41
LY6K	1.84	-1.43
POMT1	1.84	-2.46
SUSD2	1.84	0.86
C3AR1	1.83	0.21
IP6K3	1.83	0.51
DNAJC5B	1.82	-0.71
FERMT3	1.82	-0.32
RP11-203J24.9	1.81	-0.94
RPL18AP3	1.81	-2.38
ZNF677	1.81	-0.68
IFNAR1	1.8	0.92
MASP1	1.8	0.91
CHST15	1.79	0
LRRC32	1.79	0.96
KCNK15	1.78	0.15
ZBED1	1.78	-2.61
AQP1	1.76	3.85
CCDC80	1.76	6.05
FAM72D	1.76	-1.28
NNMT	1.76	5.34
RP11-529K1.3	1.76	-0.86
ITGB4	1.75	-0.9
PAPPA	1.74	1.54
RP11-834C11.7	1.74	-2.53
SCD	1.74	-2.72
AL513122.1	1.73	-1.66
INTS2	1.73	-1.63
MMAA	1.72	-0.91
P2RY6	1.72	1.64
ABHD14A-ACY1	1.69	-1.68
SNAI1	1.69	-2.71
COL1A2	1.68	4.29
HEATR3	1.68	-2.03
CPA5	1.67	0.21
SNX10	1.67	-4.39
SPON1	1.67	1.55
ZNF600	1.67	-2.12
CMKLR1	1.66	2.32
S1PR1	1.66	1
COL14A1	1.65	-0.11
IGF1	1.65	0.68
IL4R	1.65	0.9
LPIN2	1.65	-0.99
PCOLCE	1.65	2.24
SLC12A8	1.65	5.73
ASB5	1.64	0.52
C14orf105	1.64	-0.04
MAOA	1.64	-0.63
SCNN1A	1.64	-1.9
CDK15	1.63	1.09
TBC1D26	1.63	-1.19
DNAH10	1.62	-0.08
TNFSF13	1.62	-2.17
ROR2	1.6	1.48
UBE2T	1.59	-1.71
IL1R1	1.58	1.88
OBFC1	1.58	1.28
ZBTB24	1.58	0.33
AGAP13P	1.57	0.02
