"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7 children,a594 children,cy5 children,cy3 children
"67926c087ddbe0f3a779ec7a",0,5,1,1,"DAPI_DMout blob","polygon","",5,1,2,0
"67926c087ddbe0f3a779ec7b",0,5,1,1,"DAPI_DMout blob","polygon","",10,0,0,0
"67926c087ddbe0f3a779ec7c",0,5,1,1,"DAPI_DMout blob","polygon","",8,0,3,0
"67926c087ddbe0f3a779ec7d",0,5,1,1,"DAPI_DMout blob","polygon","",5,1,3,0
"67926c097ddbe0f3a779ec84",0,6,1,1,"DAPI_DMout blob","polygon","",5,0,6,0
"67926c097ddbe0f3a779ec85",0,6,1,1,"DAPI_DMout blob","polygon","",0,1,0,2
"67926c097ddbe0f3a779ec86",0,6,1,1,"DAPI_DMout blob","polygon","",1,0,6,0
"67926c097ddbe0f3a779ec87",0,6,1,1,"DAPI_DMout blob","polygon","",11,0,3,0
"67926c097ddbe0f3a779ec88",0,6,1,1,"DAPI_DMout blob","polygon","",7,0,6,0
"67926c097ddbe0f3a779ec89",0,6,1,1,"DAPI_DMout blob","polygon","",3,1,5,0
"67926c097ddbe0f3a779ec92",0,7,1,1,"DAPI_DMout blob","polygon","",7,0,5,1
"67926c097ddbe0f3a779ec93",0,7,1,1,"DAPI_DMout blob","polygon","",10,8,5,0
"67926c097ddbe0f3a779ec94",0,7,1,1,"DAPI_DMout blob","polygon","",6,0,3,0
"67926c097ddbe0f3a779ec95",0,7,1,1,"DAPI_DMout blob","polygon","",7,2,3,0
"67926c097ddbe0f3a779ec96",0,7,1,1,"DAPI_DMout blob","polygon","",0,0,3,0
"67926c0a7ddbe0f3a779ec9e",0,8,1,1,"DAPI_DMout blob","polygon","",6,0,2,0
"67926c0a7ddbe0f3a779eca0",0,8,1,1,"DAPI_DMout blob","polygon","",2,1,1,1
"67926c0b7ddbe0f3a779eca6",0,9,1,1,"DAPI_DMout blob","polygon","",22,0,6,0
"67926c0b7ddbe0f3a779eca7",0,9,1,1,"DAPI_DMout blob","polygon","",12,0,7,2
