Id,Channel,XY,Z,Time,Tags,Shape,Name,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy3,cy7,cy5,a594
657731eb160d151ba2d3e11b,0,0,0,0,cell,polygon,,504.7033728,616.9014325826788,714.3068960468122,13478.925919171868,8,86,8,26
657731f2160d151ba2d3e13e,0,0,0,0,cell,polygon,,879.0220176854133,496.66282135926514,364.6274285517924,27729.848280747847,2,57,13,25
657731fa160d151ba2d3e141,0,0,0,0,cell,polygon,,1698.1758163685379,802.9292181479786,682.3216583406487,97329.88036,25,981,107,212
65773203160d151ba2d3e14e,0,1,0,0,cell,polygon,,474.6041029830377,358.9611097089546,380.91881622665727,8970.466695531893,1,53,3,0
65773207160d151ba2d3e151,0,1,0,0,cell,polygon,,423.43779595600273,265.73402848041303,733.5373658713936,8692.811906674066,1,54,6,0
6577321a160d151ba2d3e172,0,4,0,0,cell,polygon,,585.7024845618448,836.9732230156483,657.85478,19667.165756549228,5,131,29,16
6577321e160d151ba2d3e175,0,4,0,0,cell,polygon,,530.2579528008133,899.0532890599372,926.1590968653627,14040.477854921557,1,45,33,0
6577322b160d151ba2d3e182,0,5,0,0,cell,polygon,,1201.5960559346433,696.5619188549667,937.0247000211814,22869.890950784582,3,42,25,12
65773233160d151ba2d3e199,0,7,0,0,cell,polygon,,758.5220481840997,448.8255861953045,769.8383143825791,24959.53489678186,7,64,21,4
65773239160d151ba2d3e19c,0,7,0,0,cell,polygon,,903.3344336895899,615.1566145118728,570.7579999969473,26437.879111190217,5,88,13,0
6577323f160d151ba2d3e19f,0,7,0,0,cell,polygon,,759.1433796717305,791.6283191147095,826.0463123071895,21808.08000261525,0,45,12,8
65773245160d151ba2d3e1a2,0,7,0,0,cell,polygon,,963.6806629679988,939.0387000324744,527.1764865674613,42445.74096579129,4,120,28,6
6577324d160d151ba2d3e1af,0,8,0,0,cell,polygon,,714.3405444746151,883.307047,481.0919721161692,20041.529959418076,4,145,8,6
65773251160d151ba2d3e1b2,0,8,0,0,cell,polygon,,714.5396929499044,960.0260743271529,688.6101562642347,12631.303039422532,1,78,5,1
6577326c160d151ba2d3e1dd,0,12,0,0,cell,polygon,,1270.8510380460277,275.2729234067494,804.7433347462992,26233.176367646876,1,159,56,19
65773274160d151ba2d3e1e0,0,12,0,0,cell,polygon,,978.0543746674355,614.1888850503494,824.5520254,25191.227965314538,48,84,39,33
6577327b160d151ba2d3e1e3,0,12,0,0,cell,polygon,,834.0424939539922,796.0971931535039,287.0687873238626,15994.815713596947,0,49,16,2
65773281160d151ba2d3e1e6,0,12,0,0,cell,polygon,,809.0819938376726,257.5849282547322,304.25042121673863,15763.63116,0,134,22,3
6577328a160d151ba2d3e1f3,0,13,0,0,cell,polygon,,1251.8006767673053,194.9964339778131,747.2376249,21768.05828214848,2,223,34,3
65773290160d151ba2d3e1f6,0,13,0,0,cell,polygon,,606.0763778182068,71.96699055258651,909.9054965036856,11051.653110758647,0,128,20,4
6577329a160d151ba2d3e203,0,14,0,0,cell,polygon,,681.817997,741.9596530802875,666.3853793007906,22823.259296780507,5,135,12,2
6577329f160d151ba2d3e206,0,14,0,0,cell,polygon,,742.8227041166284,607.5134810265896,540.5448000749147,21866.537007440947,3,97,9,0
657732a5160d151ba2d3e209,0,14,0,0,cell,polygon,,640.9920711900418,334.60916779943966,824.5371278104034,17866.472598896606,0,175,23,15
657732ac160d151ba2d3e20c,0,14,0,0,cell,polygon,,1122.7279852794366,340.26256409652296,707.9467037769974,22464.262613621253,1,80,25,3
