"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"65b15a75d466a9f2783b438c",0,2,0,0,"cell","polygon","",126,7,10,0,758.6987461634493,537.9279113325719,747.9323276609265,26146.260985435885
"65b15a7ad466a9f2783b4392",0,2,0,0,"cell","polygon","",533,166,31,85,1119.087683156893,154.79127447658107,658.6862636140971,49721.35383334637
"65b15a85d466a9f2783b43a1",0,5,0,0,"cell","polygon","",128,29,62,1,1347.8701003796562,441.24291021354077,354.0561346128548,42215.494508663905
"65b15a89d466a9f2783b43a4",0,5,0,0,"cell","polygon","",460,294,36,6,1140.477991782314,795.2732173604702,543.8433998012675,72973.74579056306
"65b15a8dd466a9f2783b43ad",0,5,0,0,"cell","polygon","",277,133,23,1,999.711472087388,911.68840068754,782.9385269581844,56560.25259702383
"65b15a97d466a9f2783b43c1",0,6,2,0,"cell","polygon","",498,88,100,0,1221.004730235649,600.2284699876453,260.15745740886973,64698.805369845824
"65b15a9ad466a9f2783b43c7",0,6,2,0,"cell","polygon","",682,79,133,10,1258.83174180975,221.4553272568333,524.8777051452244,115344.4635124721
"65b15aa3d466a9f2783b43d3",0,7,1,0,"cell","polygon","",239,56,54,8,1473.2596304259841,450.6418809049639,398.3084141441977,101601.08190817594
"65b15aa8d466a9f2783b43d6",0,7,1,0,"cell","polygon","",183,38,11,6,1332.1336754857366,77.48164132234358,631.7053397304096,49758.57109500166
"65b15ab4d466a9f2783b43d9",0,9,1,0,"cell","polygon","",95,16,5,0,830.8035359203566,813.9495850150349,708.1259365629187,34044.94396819925
"65b15ab7d466a9f2783b43dc",0,9,1,0,"cell","polygon","",112,23,6,1,835.7077271031659,838.7031628139432,548.6149332030553,45310.654458152785
"65b15acdd466a9f2783b43eb",0,11,1,0,"cell","polygon","",352,317,27,23,1179.7735392212533,239.84432618280502,548.5483567772824,50454.579274859585
"65b15ad7d466a9f2783b43fa",0,11,1,0,"cell","polygon","",438,191,64,106,1025.5622480535583,355.1635691476961,78.80702517573613,38840.75122771598
"65b15addd466a9f2783b4403",0,12,1,0,"cell","polygon","",228,84,115,0,999.7962960336762,675.4020114168459,403.8845998246819,61349.47875539416
"65b15ae1d466a9f2783b4409",0,12,1,0,"cell","polygon","",265,179,20,7,859.0914825558422,130.11409459130923,724.5143095038004,42972.77500953966
"65b15ae5d466a9f2783b4412",0,12,1,0,"cell","polygon","",662,198,72,13,1231.042788395077,121.61721786172085,305.7546068373032,67498.49657131544
"65b15aeed466a9f2783b441b",0,13,1,0,"cell","polygon","",290,238,45,46,1407.5711677961817,580.0349291153962,825.7144129571028,57903.25109992543
"65b15af2d466a9f2783b4424",0,13,1,0,"cell","polygon","",299,255,20,63,1021.2431487678293,199.89463279042386,404.07373663632336,35771.234879245654
"65b15af7d466a9f2783b4427",0,13,1,0,"cell","polygon","",439,323,32,28,1024.1780720668505,154.990069193691,841.047628768528,55056.811386864436
"65b15affd466a9f2783b4436",0,16,1,0,"cell","polygon","",592,34,229,6,1115.6651070182847,295.88324808964745,777.5156617018062,76990.7137695866
"65b15b04d466a9f2783b443c",0,16,1,0,"cell","polygon","",627,108,80,2,1432.2723561297378,622.7428692242854,543.040085437445,91472.31337488633
"65b15b90d466a9f2783b44c2",0,17,1,0,"cell","polygon","",521,35,48,6,750.7962986977898,488.5416519452912,690.6814671617662,43152.28021666962
"65b15b94d466a9f2783b44cb",0,17,1,0,"cell","polygon","",319,40,37,2,786.009618304127,725.3688115876824,843.8851075836461,46854.71694780174
"65b15b9dd466a9f2783b44d7",0,20,1,0,"cell","polygon","",282,131,58,19,1498.282689790812,399.4506461179783,547.2882540578173,85630.11103309873
"65b15bfbd466a9f2783b450c",0,20,1,0,"cell","polygon","",431,30,109,5,1057.4493945491213,817.2022811485149,715.0691733941079,53595.579997850655
"65b15c2dd466a9f2783b453c",0,22,1,0,"cell","polygon","",316,35,17,4,901.8076506034538,493.15343197088197,931.619402556251,41029.08082614115
"65b15c3fd466a9f2783b454b",0,22,1,0,"cell","polygon","",375,50,18,0,1322.126354246631,232.56437786512765,386.4961051726916,52200.386554822806
"65b15c45d466a9f2783b4554",0,22,1,0,"cell","polygon","",278,51,32,41,879.6315362800866,164.14125310588562,579.4341621980396,42076.83751554582
"65b15c4bd466a9f2783b455d",0,23,1,0,"cell","polygon","",172,26,23,48,929.3066687943441,139.4928623701244,229.94681220714202,36831.24603285387
"65b15c50d466a9f2783b4566",0,23,1,0,"cell","polygon","",247,15,21,1,1252.0551917001378,167.82204275558544,751.6725934903141,33564.06971547056
"65b15c54d466a9f2783b456c",0,23,1,0,"cell","polygon","",190,60,21,2,883.0033470482068,797.4931110555511,914.075177659393,48790.241488397856
"65b15c5cd466a9f2783b4575",0,24,1,0,"cell","polygon","",163,21,5,2,1137.171866463885,665.5876188181797,316.82582070811566,34032.23563495112
"65b15d88d466a9f2783b4672",0,27,1,0,"cell","polygon","",397,164,182,24,1431.9799378493715,567.5194340931436,517.7155165296092,105389.75375777755
"65b15d8dd466a9f2783b4678",0,27,1,0,"cell","polygon","",375,112,113,10,941.7774020405354,127.31829012388327,322.6321241176131,47153.36277913303
"65b15d92d466a9f2783b4681",0,27,1,0,"cell","polygon","",377,24,69,0,951.2850337865939,794.6094994960185,902.57576949362,51518.22138082441
"65b15d9ed466a9f2783b4690",0,29,1,0,"cell","polygon","",565,420,106,12,1370.425632892477,361.9895096262016,902.6036622743195,94339.8579985201
"65b15daed466a9f2783b46ab",0,30,1,0,"cell","polygon","",747,178,61,28,1278.8528532078235,773.353685895308,500.01729611333604,87976.61399355876
"65b15db7d466a9f2783b46b7",0,33,1,0,"cell","polygon","",611,164,37,5,1319.370425862571,438.06831882880743,275.94365664365785,101026.48369774218
"65b15dc1d466a9f2783b46c3",0,33,1,0,"cell","polygon","",715,136,72,8,1181.246090419556,247.8168200409108,599.5571469109726,85111.79258419243
"65b15dcad466a9f2783b46d2",0,35,1,0,"cell","polygon","",474,50,29,15,1074.1271200379335,153.73385143235998,291.87711037501055,56032.856767225996
"65b15ddbd466a9f2783b46ea",0,36,1,0,"cell","polygon","",525,93,56,5,2207.3479964739195,442.53881798657227,580.0086544634481,207932.16006440492
"65b15de5d466a9f2783b46f9",0,36,1,0,"cell","polygon","",226,32,23,1,1067.9713168537044,667.9180465476836,105.26795916441291,51038.708735229404
"65b15decd466a9f2783b4705",0,37,1,0,"cell","polygon","",395,377,40,9,1126.0019313467008,177.1755275866246,577.8946969366307,60188.70867388994
"65b15df5d466a9f2783b4711",0,37,2,0,"cell","polygon","",401,402,42,6,961.9166825438438,158.5823715017669,845.9162062102882,48794.553244321345
"65b15e21d466a9f2783b4737",0,44,1,0,"cell","polygon","",241,238,55,8,1065.2910915889554,878.9661961254944,168.17137867957427,75783.42211101334
"65b15e28d466a9f2783b473d",0,44,1,0,"cell","polygon","",383,109,98,70,1492.7753374820004,573.9771368958619,176.3464833755808,114975.46797923146
"65b15e31d466a9f2783b4749",0,47,1,0,"cell","polygon","",236,16,12,2,844.3536461111538,734.4455152768697,765.2628804087559,50362.670793332894
"65b15e38d466a9f2783b4755",0,47,2,0,"cell","polygon","",286,11,17,3,995.608652197424,491.3388874970382,866.8044836173387,61578.22875386066
"65b15e44d466a9f2783b476a",0,51,2,0,"cell","polygon","",425,21,19,2,1691.1449456048417,841.5740013380604,479.3712733432378,120260.54606880149
"65b15e4ad466a9f2783b4776",0,51,2,0,"cell","polygon","",407,53,99,0,1275.3896263325266,677.4404628378137,89.05626369513043,69279.93257127788
"65b15e53d466a9f2783b4782",0,53,2,0,"cell","polygon","",99,13,14,0,609.0236164275397,644.5270606226738,356.23175638588384,19047.97606278303
"65b15e5fd466a9f2783b4791",0,56,1,0,"cell","polygon","",493,22,44,103,1166.6411236842157,113.5969369427989,171.67357128170016,69759.21828235056
"65b15e66d466a9f2783b479d",0,56,1,0,"cell","polygon","",416,57,56,94,1476.93548062049,113.96000680224311,737.1504163128512,105143.7567356171
"65b166d0d466a9f2783c3043",0,58,1,0,"cell","polygon","",216,33,16,5,1348.3139603035652,342.39375124102486,716.8279167028736,73612.56647080432
"65b166d5d466a9f2783c3072",0,58,1,0,"cell","polygon","",250,24,23,3,965.2131846999282,679.1445232607699,670.7325565845372,34065.36807520522
"65b166fdd466a9f2783c316a",0,59,1,0,"cell","polygon","",455,128,17,2,1310.8072836033016,523.7486609800221,812.2616007715241,69285.60593433511
"65b1670dd466a9f2783c31ea",0,60,1,0,"cell","polygon","",231,26,34,0,1104.937536858133,573.2735244607734,827.5285107203159,51294.46394184826
"65b16713d466a9f2783c3202",0,60,1,0,"cell","polygon","",187,67,45,4,1035.5591004188868,741.3851862119086,492.6176295620899,50448.22510823554
"65b16717d466a9f2783c321a",0,60,1,0,"cell","polygon","",472,24,58,1,990.337611427516,587.7088602429512,401.9537841212191,56476.28682377718
"65b16804d466a9f2783c3431",0,62,1,0,"cell","polygon","",182,31,1,1,1087.1408743258771,547.0824437442163,172.21615988099123,24050.520672104285
"65b1680ed466a9f2783c3434",0,63,1,0,"cell","polygon","",461,57,42,2,1329.2872324382838,468.17451538865697,133.08514024569715,59249.1997516168
"65b16813d466a9f2783c3437",0,63,1,0,"cell","polygon","",749,236,104,12,1351.0245214857266,310.83531992740177,614.333330061205,102040.88101237049
"65b16820d466a9f2783c343a",0,64,1,0,"cell","polygon","",374,49,79,6,1007.3459319125895,328.59472174346007,446.82823817636427,65074.15506971056
"65b16828d466a9f2783c343d",0,64,1,0,"cell","polygon","",533,207,67,4,1105.4008141796608,132.4418893312601,158.35156250736293,55225.877605969166
"65b1682ed466a9f2783c3440",0,64,1,0,"cell","polygon","",431,93,63,2,1132.2601513168718,873.7309662459594,144.01871068737833,79269.81717692707
