"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"65b191a1d466a9f27847fc63",0,212,1,0,"cell","polygon","",131,1,3,1,656.9181703791687,449.9112101723493,326.6557130370501,18527.61520317618
"65b191a5d466a9f278480aef",0,212,1,0,"cell","polygon","",96,7,1,4,568.7012326512311,511.81367445180035,499.0030613566568,16472.950038378738
"65b191a9d466a9f27848148a",0,212,1,0,"cell","polygon","",106,4,1,0,705.3119702770957,561.9052724876929,600.0610448235518,19801.85254582446
"65b191b6d466a9f278482c4b",0,212,1,0,"cell","polygon","",98,5,6,0,545.7637141902821,185.3328386176641,341.4743920484335,15002.86820299572
"65b191c0d466a9f2784832f5",0,212,1,0,"cell","polygon","",169,6,16,3,594.8248762514555,446.57767139551424,960.4269655088635,21477.310123878295
"65b191c6d466a9f27848484a",0,212,1,0,"cell","polygon","",170,6,7,1,922.7024921370177,782.7015000456224,777.4220176733095,40439.05106819185
"65b191d1d466a9f278484f0b",0,213,1,0,"cell","polygon","",76,7,1,0,780.9265561519647,584.7212646229915,784.4234985820428,20228.94331677086
"65b191d4d466a9f278485f25",0,213,1,0,"cell","polygon","",83,3,0,0,555.6734021127324,895.1657891150113,493.7518055819802,15981.863732147054
"65b191e0d466a9f2784868b2",0,213,1,0,"cell","polygon","",386,25,12,60,1296.4580731782492,256.8769697034741,796.7708900827434,60808.92072330361
"65b191eed466a9f278487d9d",0,210,1,0,"cell","polygon","",149,14,8,4,646.182015244443,94.12857504042194,462.22430043823493,18523.303447252692
"65b191f1d466a9f278488ddd",0,210,1,0,"cell","polygon","",80,3,3,0,671.7846527763861,303.79428621527603,724.5322538772276,12879.66881246725
"65b191f7d466a9f278489318",0,209,1,0,"cell","polygon","",220,0,45,0,831.9566866124669,870.588501707399,268.02058018890153,35490.516875175126
"65b191fdd466a9f278489682",0,208,1,0,"cell","polygon","",44,1,5,0,434.8042818218687,814.6828356557786,691.5124642697056,9988.29606399319
"65b19201d466a9f27848a44b",0,208,1,0,"cell","polygon","",77,2,7,0,429.8526710396131,754.7019052756827,939.8452941986683,12032.068371720787
"65b19206d466a9f27848a9d0",0,207,1,0,"cell","polygon","",113,16,9,1,639.2917735565785,402.4454371131805,527.8561376799955,15450.303807388013
"65b19209d466a9f27848aab3",0,207,1,0,"cell","polygon","",74,4,7,0,535.7933355834563,597.4642285696466,774.4082383118576,20780.6211404535
"65b1920dd466a9f27848b0b6",0,207,1,0,"cell","polygon","",96,0,11,0,542.0302928121246,776.6000478536996,752.2551146848398,17559.739465616964
"65b19211d466a9f27848bd36",0,207,1,0,"cell","polygon","",101,6,6,1,576.739259052846,229.41563086424648,193.550868609541,13190.569108002099
"65b19216d466a9f27848c035",0,207,1,0,"cell","polygon","",73,2,5,1,481.6178154507487,185.86959507184585,722.6106483841241,9027.909165669493
"65b1921cd466a9f27848c3c7",0,207,1,0,"cell","polygon","",78,2,7,0,528.5025058141866,569.6949963652064,251.53053579279606,12296.220155664261
"65b19221d466a9f27848d7d7",0,207,1,0,"cell","polygon","",32,0,2,1,447.1408259868645,411.3619501674282,111.70232911887044,10510.47239977836
"65b19226d466a9f27848d974",0,207,1,0,"cell","polygon","",119,13,16,4,696.4261691292722,154.8666190341336,502.39366884369355,18838.742433233303
"65b1922fd466a9f27848ea6b",0,206,1,0,"cell","polygon","",120,14,1,1,660.4025425819364,198.17773654680792,785.0158221101261,21916.655359028264
