"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7,cy5,a594,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
"65b80237d466a9f278a7ca8b",0,2,0,0,"cell","polygon","",128,15,2,0,729.3949377357608,176.18066505084323,427.6840851140169,13457.10370442959
"65b8023bd466a9f278a7eec8",0,2,0,0,"cell","polygon","",33,6,0,0,394.3262006179023,124.44809050984904,31.86703770318154,8462.615270649561
"65b80245d466a9f278a842b6",0,5,0,0,"cell","polygon","",81,12,44,1,907.393499232803,566.5312469619696,80.11243591299244,16173.850338002887
"65b80267d466a9f278a986cd",0,7,0,0,"cell","polygon","",123,3,0,0,837.1774799386817,465.8819676138934,903.0308450233935,16811.53634563273
"65b8026ad466a9f278a9a664",0,7,0,0,"cell","polygon","",100,2,1,1,803.8503651100596,717.0006670534042,883.4947560731019,18095.53187273944
"65b8026fd466a9f278a9daff",0,8,0,0,"cell","polygon","",93,8,22,1,496.9084407486386,830.060426020183,594.859254756218,9217.39949178015
"65b80278d466a9f278aa25f9",0,8,0,0,"cell","polygon","",166,3,17,1,926.4927575950209,68.55500971917776,111.49050789125316,24582.455192347836
"65b8027ed466a9f278aa3ffd",0,9,0,0,"cell","polygon","",133,3,0,0,666.6860722987346,184.85232496590112,106.60463199338791,17858.839165992827
"65b80284d466a9f278aa7580",0,10,0,0,"cell","polygon","",250,16,18,0,1073.9594466419667,820.3020421673078,666.1184625197303,32751.41719115646
"65b80288d466a9f278aa978c",0,10,0,0,"cell","polygon","",149,2,5,0,770.7815602167731,943.1211847014838,477.7859718929314,17682.96491121945
"65b80290d466a9f278aaaec7",0,11,1,0,"cell","polygon","",223,6,2,0,1031.1867658994593,323.04352313002755,835.1391321129109,23237.868147790225
"65b80295d466a9f278aaaeca",0,11,1,0,"cell","polygon","",217,10,15,0,919.5899591976256,480.01249496527413,673.7369072971835,29275.23417874571
"65b80298d466a9f278aaaecd",0,11,1,0,"cell","polygon","",92,4,3,0,709.633234124182,842.8825015463109,762.8943363605447,12793.660628520021
"65b8029ed466a9f278aaaed0",0,11,1,0,"cell","polygon","",83,1,0,0,548.9822284248928,121.4071696079284,355.7274382673761,11759.746944974933
"65b802a3d466a9f278aaaed3",0,12,1,0,"cell","polygon","",124,7,106,4,741.8818925956457,501.57087798638645,326.56969195779755,22960.100292509444
"65b802a7d466a9f278aaaed6",0,12,1,0,"cell","polygon","",168,16,9,0,1013.0232772421929,654.3472175328018,53.169368870733955,29215.096530339317
"65b802aed466a9f278aaaed9",0,13,1,0,"cell","polygon","",93,6,12,0,568.6710905973964,334.7183416511538,355.9521175281399,18073.746158599763
"65b802b5d466a9f278aaaedc",0,12,1,0,"cell","polygon","",120,1,76,4,767.6374468862014,913.4509997920405,659.4383095850967,15072.990970382778
"65b802bbd466a9f278aaaedf",0,15,1,0,"cell","polygon","",309,22,1,1,1209.4136014474354,307.26451077949946,438.4950907229097,42995.46846176848
"65b802c2d466a9f278aaaee3",0,15,0,0,"cell","polygon","",215,5,3,2,896.8337881796508,510.26426565060024,125.59796801993883,23829.94031644014
"65b802d3d466a9f278aaaee8",0,21,0,0,"cell","polygon","",72,10,0,0,557.4519958889495,461.280010791008,211.77076141442774,14450.736510268507
"65b802d9d466a9f278aaaeeb",0,21,0,0,"cell","polygon","",151,5,4,1,1068.2702127993596,442.3560154994769,710.2002282153446,20893.407598030735
"65b802e3d466a9f278aaaeee",0,25,0,0,"cell","polygon","",416,27,3,1,1202.6350591264827,726.5468302757986,475.65828687945043,54969.21466126122
"65b802ead466a9f278aaaef1",0,26,0,0,"cell","polygon","",414,4,38,0,1004.2394060718544,247.49604549980305,738.6257160573795,39887.37324450916
"65b802fdd466a9f278aaaef5",0,28,1,0,"cell","polygon","",190,6,30,0,840.9130126599349,399.36711787911895,268.08182490128945,24764.683613745292
"65b80301d466a9f278aaaef8",0,28,1,0,"cell","polygon","",99,10,51,0,691.6849528648441,226.0391724497398,294.3831735334385,29458.143403709997
"65b80307d466a9f278aaaefb",0,30,1,0,"cell","polygon","",123,2,1,0,679.5478042175707,736.6651577834725,109.2242818812432,18739.572046993355
"65b8030bd466a9f278aabcd9",0,31,1,0,"cell","polygon","",130,14,3,0,764.7354429103793,855.5358430780839,319.78178207417307,18573.909845722967
"65b80312d466a9f278aaea84",0,32,1,0,"cell","polygon","",296,17,5,0,1017.1523023625962,642.1373720353364,755.6444879366436,30395.60991528259
"65b80317d466a9f278ab051e",0,32,1,0,"cell","polygon","",301,6,0,0,784.6100903686547,436.5946883190633,930.916108209493,33869.97745151506
"65b8031bd466a9f278ab2122",0,32,1,0,"cell","polygon","",238,5,4,0,838.1923340080878,247.42091076101073,935.6683791718507,26107.90905116917
"65b80324d466a9f278ab5fe7",0,33,1,0,"cell","polygon","",105,27,12,0,1071.888929566648,798.4418602251135,643.3738004706299,31722.026597951368
"65b80329d466a9f278ab8040",0,33,1,0,"cell","polygon","",95,9,5,1,631.4621427627635,110.98362009955174,889.6959346332497,22980.82487030693
"65b80331d466a9f278abb0d1",0,34,1,0,"cell","polygon","",113,5,15,0,902.1058007874619,110.27271271379558,652.9697485516474,21362.450853003596
"65b80337d466a9f278abd4b2",0,34,1,0,"cell","polygon","",58,8,7,0,713.0433927314514,351.4309374962187,477.88179910417483,14991.934387127756
"65b8033ed466a9f278ac065d",0,35,1,0,"cell","polygon","",73,7,1,0,853.9237805284953,711.3165518783005,283.58669057710523,18771.156566512083
"65b80343d466a9f278ac2539",0,35,1,0,"cell","polygon","",85,10,1,2,753.043848411221,819.7948419041389,291.7888199092535,18960.096131631206
"65b8034ad466a9f278ac5454",0,35,1,0,"cell","polygon","",126,7,30,1,969.018514562892,435.73578431450727,670.0794055995252,21389.596104092554
"65b8034fd466a9f278ac705f",0,35,1,0,"cell","polygon","",42,3,1,0,783.9272961686434,630.8243338677328,868.53857811765,14301.023115363681
"65b80356d466a9f278ac9cd7",0,37,1,0,"cell","polygon","",175,21,7,2,862.8837585009416,469.9953561599629,263.111723876463,26522.849260413954
"65b8035bd466a9f278acbfdd",0,37,1,0,"cell","polygon","",235,12,5,0,946.9641480848123,151.58527854896528,103.16798033148297,26252.68938052865
"65b80be6d466a9f278ad86a3",0,40,1,0,"cell","polygon","",144,9,2,1,950.8408357941827,115.90398726997871,279.4270309093663,28520.825915961203
"65b80bebd466a9f278ad86a6",0,40,1,0,"cell","polygon","",200,20,2,0,906.2868717226258,358.29979409843304,518.8651867712894,30541.854491084006
"65b80bf0d466a9f278ad86a9",0,40,1,0,"cell","polygon","",106,9,2,0,761.8459608900644,212.25749673591872,622.8953530923948,25201.56493558416
"65b80bf6d466a9f278ad86ac",0,41,1,0,"cell","polygon","",71,7,7,0,528.4511349477725,215.92553771215694,235.8422564213995,15581.37412505931
"65b80bfdd466a9f278ad86af",0,42,1,0,"cell","polygon","",188,13,3,0,955.4706548673521,399.5094322443698,170.72884443782914,22859.96387141089
"65b80c03d466a9f278ad86b2",0,42,1,0,"cell","polygon","",134,10,7,0,859.5693613323538,927.517359161374,322.75736970831963,21639.073887910065
"65b80c0ad466a9f278ad86b5",0,43,1,0,"cell","polygon","",130,7,3,0,759.002152475294,300.9543782507467,475.81223479226117,24681.927271881337
"65b80c0fd466a9f278ad86b9",0,43,1,0,"cell","polygon","",164,9,3,0,714.7061989942139,353.8144211689329,683.3525225365815,17655.4005713558
"65b80c15d466a9f278ad86bc",0,43,1,0,"cell","polygon","",406,17,4,0,1056.2624805980008,530.0892536235556,569.7490571127131,44605.46437866971
"65b80c1cd466a9f278ad86bf",0,43,1,0,"cell","polygon","",142,9,1,0,763.1857810001823,359.5487564453417,940.596842432181,16128.157039851108
"65b80c21d466a9f278ad86c2",0,43,1,0,"cell","polygon","",209,10,7,0,737.9819870487092,181.98363375065665,909.8540950131135,22537.667874354713
"65b80c2cd466a9f278ad86c7",0,44,1,0,"cell","polygon","",729,22,7,2,1510.3713809869141,488.42930508125414,697.7404621302732,57011.05956482218
"65b80c2fd466a9f278ad86ca",0,44,1,0,"cell","polygon","",171,4,5,0,524.055034209299,766.5007590957542,761.0900370860182,16473.72039498349
"65b80c33d466a9f278ad86cd",0,44,1,0,"cell","polygon","",133,8,3,0,525.6843986875406,620.4196822985372,228.84661959434305,10817.81343594939
"65b80c37d466a9f278ad86d0",0,44,1,0,"cell","polygon","",149,10,3,0,606.0455361259578,376.0087260261997,139.10342817864023,23023.69713194741
"65b80c3dd466a9f278ad86d3",0,44,1,0,"cell","polygon","",494,11,60,3,754.6411615981139,97.01221642707382,304.29966827233693,32917.27939986812
"65b80c46d466a9f278ad86d7",0,44,0,0,"cell","polygon","",278,21,2,1,856.1930343348797,313.5035214634277,874.7149179140579,29258.62199144143
"65b80c51d466a9f278ad86da",0,46,0,0,"cell","polygon","",349,23,13,2,1108.7990725271677,414.45173912673823,624.4434485036746,43136.60468085632
"65b80c59d466a9f278ad86dd",0,46,0,0,"cell","polygon","",398,8,42,2,1121.2867012690356,752.9631932919017,741.162185902701,46753.60166920903
"65b80c63d466a9f278ad86e0",0,47,1,0,"cell","polygon","",137,15,8,0,1012.1471733926793,845.6449161062214,421.2570219599355,24236.615890922083
"65b80c68d466a9f278ad86e3",0,47,1,0,"cell","polygon","",146,9,1,3,652.2207616123212,143.68342359017652,588.3629697245951,16316.88116646955
"65b80c6fd466a9f278ad86e9",0,48,1,0,"cell","polygon","",204,2,0,0,759.4716892384713,605.4234616356463,753.5999535382983,17888.720467620366
"65b80c7ed466a9f278ad86ec",0,50,1,0,"cell","polygon","",162,7,0,0,823.7301430198011,688.7162665934823,366.99675664197906,15692.755829924323
"65b80c83d466a9f278ad86ef",0,52,1,0,"cell","polygon","",170,6,18,1,721.9330529443714,136.94015589969638,375.5145763794545,33785.06568071185
"65b80c89d466a9f278ad86f2",0,52,1,0,"cell","polygon","",59,2,1,0,703.3523112890075,828.3100776885041,737.9267887558334,16872.497059790265
"65b80c90d466a9f278ad86f5",0,55,1,0,"cell","polygon","",252,17,7,0,730.5484307741735,370.1892764258336,434.41690302837503,28707.826534574
"65b80c95d466a9f278ad86f8",0,55,1,0,"cell","polygon","",176,3,1,0,738.3427981558443,715.7437746955334,504.9980705154229,27213.114216675902
"65b80c9dd466a9f278ad86fb",0,55,1,0,"cell","polygon","",222,13,2,2,675.053195119259,230.77188318476306,645.6452742474332,21157.99971583361
"65b80cb0d466a9f278ad86ff",0,56,2,0,"cell","polygon","",228,3,30,10,581.3208127651562,630.3287182319095,406.1766737122703,10908.297606245902
"65b80cb7d466a9f278ad8702",0,56,2,0,"cell","polygon","",253,5,8,0,640.4290072342435,206.88921017760563,798.0048601657824,20548.955074337824
"65b80cc4d466a9f278ad8705",0,58,1,0,"cell","polygon","",273,11,5,0,613.2951614855339,450.6008675952757,714.8994294763753,22138.46033254654
"65b80cc7d466a9f278ad8708",0,58,1,0,"cell","polygon","",265,7,8,1,708.1582193416641,435.91917636786167,844.9106372781067,20861.55633886219
"65b80ccdd466a9f278ad870b",0,58,1,0,"cell","polygon","",161,11,3,0,1020.0219429467004,747.5681805078385,464.91517882826975,25471.94025397018
"65b80cdfd466a9f278ad8716",0,59,1,0,"cell","polygon","",264,9,11,0,622.8382092894683,442.2143443119998,877.3739868632045,17252.051681974634
"65b80ce4d466a9f278ad8719",0,59,1,0,"cell","polygon","",222,14,39,0,762.7713403318312,297.0460445516128,881.7929820284535,26610.639012140444
"65b80cebd466a9f278ad871c",0,61,1,0,"cell","polygon","",82,5,1,0,714.3350367437442,480.71154411861886,715.5252461364822,18544.544855909604
"65b80cefd466a9f278ad871f",0,61,1,0,"cell","polygon","",197,16,21,0,769.7334711026803,495.16589126032903,266.62800372177486,23652.06749320221
"65b80cf4d466a9f278ad8722",0,62,1,0,"cell","polygon","",65,12,2,1,978.1654714761147,928.4714934620816,617.5281584819206,23176.33186938799
"65b80cfdd466a9f278ad8725",0,63,0,0,"cell","polygon","",132,6,0,0,775.4918721530495,307.0297957924936,437.6378575582573,21499.770836002463
"65b80d0ad466a9f278ad8729",0,65,1,0,"cell","polygon","",186,18,3,0,812.8567604803396,528.9699825129125,909.7444619773688,24177.83093910797
"65b80d0dd466a9f278ad872c",0,65,1,0,"cell","polygon","",165,5,9,0,609.6817274051864,714.2053890753406,919.6569540670456,18944.72085514189
"65b93942b5f2399e12c9a3c9",0,77,1,0,"cell","polygon","",106,17,27,0,837.6851270636024,270.93466942534826,402.43301498713623,22400.025891502155
"65b93947b5f2399e12c9a3cc",0,77,1,0,"cell","polygon","",121,4,6,0,793.9373433817741,655.2520851238158,775.9591144552228,18851.45076648144
"65b9394bb5f2399e12c9a3cf",0,77,1,0,"cell","polygon","",101,2,1,0,750.0140049399521,594.8323959315749,249.31563063838124,17696.127113512168
"65b9396eb5f2399e12c9a3d2",0,81,1,0,"cell","polygon","",201,11,0,0,994.7560528301378,502.6710977796437,125.35624195695202,48832.678244065755
"65b9397bb5f2399e12c9a3d5",0,86,1,0,"cell","polygon","",66,3,3,0,674.1165931309035,79.49212606570806,606.492994264578,12581.249915658258
"65b9398bb5f2399e12c9a3d8",0,95,1,0,"cell","polygon","",86,14,3,0,512.6873264453797,273.4051239416175,54.46998321194534,14275.316124539728
