Id,Channel,XY,Z,Time,Tags,Shape,Name,cy5,a594
68c2be51b02a110850593037,0,1,4,1,DAPI blob,polygon,,23,3
68c2be51b02a110850593038,0,1,4,1,DAPI blob,polygon,,278,7
68c2be51b02a110850593039,0,1,4,1,DAPI blob,polygon,,7,3
68c2be51b02a11085059303a,0,1,4,1,DAPI blob,polygon,,17,0
68c2be51b02a11085059303b,0,1,4,1,DAPI blob,polygon,,8,1
68c2be51b02a11085059303c,0,1,4,1,DAPI blob,polygon,,68,3
68c2be51b02a11085059303d,0,1,4,1,DAPI blob,polygon,,48,0
68c2be51b02a11085059303e,0,1,4,1,DAPI blob,polygon,,5,3
68c2be51b02a11085059303f,0,1,4,1,DAPI blob,polygon,,31,1
68c2be51b02a110850593040,0,1,4,1,DAPI blob,polygon,,40,2
68c2be51b02a110850593041,0,1,4,1,DAPI blob,polygon,,150,4
68c2be51b02a110850593042,0,1,4,1,DAPI blob,polygon,,204,5
68c2be51b02a110850593043,0,1,4,1,DAPI blob,polygon,,75,0
68c2be51b02a110850593044,0,1,4,1,DAPI blob,polygon,,26,6
68c2be51b02a110850593045,0,1,4,1,DAPI blob,polygon,,38,3
68c2be51b02a110850593046,0,1,4,1,DAPI blob,polygon,,109,4
68c2be51b02a110850593047,0,1,4,1,DAPI blob,polygon,,103,10
68c2be51b02a110850593048,0,1,4,1,DAPI blob,polygon,,13,7
68c2be51b02a110850593049,0,1,4,1,DAPI blob,polygon,,12,0
68c2be51b02a11085059304a,0,1,4,1,DAPI blob,polygon,,4,0
68c2be51b02a11085059304b,0,1,4,1,DAPI blob,polygon,,26,14
68c2be51b02a11085059304c,0,1,4,1,DAPI blob,polygon,,9,2
68c2be51b02a11085059304d,0,1,4,1,DAPI blob,polygon,,49,11
68c2be51b02a11085059304e,0,1,4,1,DAPI blob,polygon,,29,3
68c2be51b02a11085059304f,0,1,4,1,DAPI blob,polygon,,23,9
68c2be51b02a110850593050,0,1,4,1,DAPI blob,polygon,,15,4
68c2be51b02a110850593051,0,1,4,1,DAPI blob,polygon,,7,2
68c2be51b02a110850593052,0,1,4,1,DAPI blob,polygon,,0,0
68c2be51b02a110850593053,0,1,4,1,DAPI blob,polygon,,0,0
68c2be51b02a110850593054,0,1,4,1,DAPI blob,polygon,,4,1
68c2be51b02a110850593055,0,1,4,1,DAPI blob,polygon,,1,1
68c2be51b02a110850593056,0,1,4,1,DAPI blob,polygon,,3,1
68c2be51b02a110850593057,0,1,4,1,DAPI blob,polygon,,21,2
68c2be51b02a110850593058,0,1,4,1,DAPI blob,polygon,,0,1
68c2be51b02a110850593059,0,1,4,1,DAPI blob,polygon,,3,0
68c2be51b02a11085059305a,0,1,4,1,DAPI blob,polygon,,1,4
68c2be51b02a11085059305b,0,1,4,1,DAPI blob,polygon,,13,2
68c2be51b02a11085059305c,0,1,4,1,DAPI blob,polygon,,28,6
68c2be51b02a11085059305d,0,1,4,1,DAPI blob,polygon,,16,4
68c2be51b02a11085059305e,0,1,4,1,DAPI blob,polygon,,12,3
68c2be51b02a11085059305f,0,1,4,1,DAPI blob,polygon,,5,1
68c2be51b02a110850593060,0,1,4,1,DAPI blob,polygon,,2,0
68c2be51b02a110850593061,0,1,4,1,DAPI blob,polygon,,2,2
68c2be51b02a110850593062,0,1,4,1,DAPI blob,polygon,,11,0
68c2be51b02a110850593063,0,1,4,1,DAPI blob,polygon,,6,4
68c2be51b02a110850593064,0,1,4,1,DAPI blob,polygon,,4,0
68c2be51b02a110850593065,0,1,4,1,DAPI blob,polygon,,3,2
68c2be51b02a110850593066,0,1,4,1,DAPI blob,polygon,,14,4
68c2be51b02a110850593067,0,1,4,1,DAPI blob,polygon,,18,3
68c2be51b02a110850593068,0,1,4,1,DAPI blob,polygon,,22,6
68c2be51b02a110850593069,0,1,4,1,DAPI blob,polygon,,9,2
68c2be51b02a11085059306a,0,1,4,1,DAPI blob,polygon,,14,8
68c2be51b02a11085059306b,0,1,4,1,DAPI blob,polygon,,18,14
68c2be51b02a11085059306c,0,1,4,1,DAPI blob,polygon,,5,2
68c2be51b02a11085059306d,0,1,4,1,DAPI blob,polygon,,17,2
68c2be51b02a11085059306e,0,1,4,1,DAPI blob,polygon,,2,0
68c2be51b02a11085059306f,0,1,4,1,DAPI blob,polygon,,6,6
68c2be51b02a110850593070,0,1,4,1,DAPI blob,polygon,,12,18
68c2be51b02a110850593071,0,1,4,1,DAPI blob,polygon,,4,4
68c2be51b02a110850593072,0,1,4,1,DAPI blob,polygon,,13,8
68c2be51b02a110850593073,0,1,4,1,DAPI blob,polygon,,26,7
68c2be51b02a110850593074,0,1,4,1,DAPI blob,polygon,,15,7
68c2be51b02a110850593075,0,1,4,1,DAPI blob,polygon,,14,8
68c2be51b02a110850593076,0,1,4,1,DAPI blob,polygon,,10,7
68c2be51b02a110850593077,0,1,4,1,DAPI blob,polygon,,13,9
68c2be51b02a110850593078,0,1,4,1,DAPI blob,polygon,,17,8
68c2be51b02a110850593079,0,1,4,1,DAPI blob,polygon,,16,4
68c2be51b02a11085059307a,0,1,4,1,DAPI blob,polygon,,9,5
68c2be51b02a11085059307b,0,1,4,1,DAPI blob,polygon,,76,7
