Id,Channel,XY,Z,Time,Tags,Shape,Name,cy5,a594
68c2b1ce2445b8180f7efd05,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd06,0,1,4,1,DAPI blob,polygon,,3,0
68c2b1ce2445b8180f7efd07,0,1,4,1,DAPI blob,polygon,,0,1
68c2b1ce2445b8180f7efd08,0,1,4,1,DAPI blob,polygon,,3,0
68c2b1ce2445b8180f7efd09,0,1,4,1,DAPI blob,polygon,,0,1
68c2b1ce2445b8180f7efd0a,0,1,4,1,DAPI blob,polygon,,3,7
68c2b1ce2445b8180f7efd0b,0,1,4,1,DAPI blob,polygon,,1,2
68c2b1ce2445b8180f7efd0c,0,1,4,1,DAPI blob,polygon,,0,2
68c2b1ce2445b8180f7efd0d,0,1,4,1,DAPI blob,polygon,,2,1
68c2b1ce2445b8180f7efd0e,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd0f,0,1,4,1,DAPI blob,polygon,,0,1
68c2b1ce2445b8180f7efd10,0,1,4,1,DAPI blob,polygon,,1,2
68c2b1ce2445b8180f7efd11,0,1,4,1,DAPI blob,polygon,,2,6
68c2b1ce2445b8180f7efd12,0,1,4,1,DAPI blob,polygon,,3,6
68c2b1ce2445b8180f7efd13,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd14,0,1,4,1,DAPI blob,polygon,,3,3
68c2b1ce2445b8180f7efd15,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd16,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd17,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd18,0,1,4,1,DAPI blob,polygon,,1,1
68c2b1ce2445b8180f7efd19,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd1a,0,1,4,1,DAPI blob,polygon,,2,1
68c2b1ce2445b8180f7efd1b,0,1,4,1,DAPI blob,polygon,,1,2
68c2b1ce2445b8180f7efd1c,0,1,4,1,DAPI blob,polygon,,1,3
68c2b1ce2445b8180f7efd1d,0,1,4,1,DAPI blob,polygon,,4,2
68c2b1ce2445b8180f7efd1e,0,1,4,1,DAPI blob,polygon,,1,3
68c2b1ce2445b8180f7efd1f,0,1,4,1,DAPI blob,polygon,,1,2
68c2b1ce2445b8180f7efd20,0,1,4,1,DAPI blob,polygon,,2,0
68c2b1ce2445b8180f7efd21,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd22,0,1,4,1,DAPI blob,polygon,,0,2
68c2b1ce2445b8180f7efd23,0,1,4,1,DAPI blob,polygon,,1,5
68c2b1ce2445b8180f7efd24,0,1,4,1,DAPI blob,polygon,,4,0
68c2b1ce2445b8180f7efd25,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd26,0,1,4,1,DAPI blob,polygon,,2,3
68c2b1ce2445b8180f7efd27,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd28,0,1,4,1,DAPI blob,polygon,,0,6
68c2b1ce2445b8180f7efd29,0,1,4,1,DAPI blob,polygon,,1,0
68c2b1ce2445b8180f7efd2a,0,1,4,1,DAPI blob,polygon,,0,6
68c2b1ce2445b8180f7efd2b,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd2c,0,1,4,1,DAPI blob,polygon,,2,1
68c2b1ce2445b8180f7efd2d,0,1,4,1,DAPI blob,polygon,,0,1
68c2b1ce2445b8180f7efd2e,0,1,4,1,DAPI blob,polygon,,0,6
68c2b1ce2445b8180f7efd2f,0,1,4,1,DAPI blob,polygon,,2,0
68c2b1ce2445b8180f7efd30,0,1,4,1,DAPI blob,polygon,,1,3
68c2b1ce2445b8180f7efd31,0,1,4,1,DAPI blob,polygon,,4,2
68c2b1ce2445b8180f7efd32,0,1,4,1,DAPI blob,polygon,,5,4
68c2b1ce2445b8180f7efd33,0,1,4,1,DAPI blob,polygon,,1,3
68c2b1ce2445b8180f7efd34,0,1,4,1,DAPI blob,polygon,,3,4
68c2b1ce2445b8180f7efd35,0,1,4,1,DAPI blob,polygon,,2,7
68c2b1ce2445b8180f7efd36,0,1,4,1,DAPI blob,polygon,,3,5
68c2b1ce2445b8180f7efd37,0,1,4,1,DAPI blob,polygon,,0,3
68c2b1ce2445b8180f7efd38,0,1,4,1,DAPI blob,polygon,,3,4
68c2b1ce2445b8180f7efd39,0,1,4,1,DAPI blob,polygon,,2,9
68c2b1ce2445b8180f7efd3a,0,1,4,1,DAPI blob,polygon,,1,1
68c2b1ce2445b8180f7efd3b,0,1,4,1,DAPI blob,polygon,,1,7
68c2b1ce2445b8180f7efd3c,0,1,4,1,DAPI blob,polygon,,2,3
68c2b1ce2445b8180f7efd3d,0,1,4,1,DAPI blob,polygon,,4,8
68c2b1ce2445b8180f7efd3e,0,1,4,1,DAPI blob,polygon,,1,1
68c2b1ce2445b8180f7efd3f,0,1,4,1,DAPI blob,polygon,,1,3
68c2b1ce2445b8180f7efd40,0,1,4,1,DAPI blob,polygon,,3,3
68c2b1ce2445b8180f7efd41,0,1,4,1,DAPI blob,polygon,,1,0
68c2b1ce2445b8180f7efd42,0,1,4,1,DAPI blob,polygon,,2,0
68c2b1ce2445b8180f7efd43,0,1,4,1,DAPI blob,polygon,,2,2
68c2b1ce2445b8180f7efd44,0,1,4,1,DAPI blob,polygon,,1,0
68c2b1ce2445b8180f7efd45,0,1,4,1,DAPI blob,polygon,,0,1
68c2b1ce2445b8180f7efd46,0,1,4,1,DAPI blob,polygon,,0,0
68c2b1ce2445b8180f7efd47,0,1,4,1,DAPI blob,polygon,,0,0
